dataset,seed,action,config_id,inner_fold,n_subjects,heldout_mean_safe_gain,heldout_harm_rate
eegmmidb,2,official_t3a,official_t3a-13d4c0513513,0,6,0.0,0.0
eegmmidb,2,official_t3a,official_t3a-13d4c0513513,1,9,0.0,0.0
eegmmidb,2,official_t3a,official_t3a-13d4c0513513,2,15,0.0,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-1031190f5df8,0,6,0.0,0.16666666666666666
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-1031190f5df8,1,9,0.0,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-1031190f5df8,2,15,0.0005555555555555536,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-211892d39d6a,0,6,0.0,0.16666666666666666
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-211892d39d6a,1,9,0.0,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-211892d39d6a,2,15,0.0005555555555555536,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-315c9d8282e6,0,6,0.0,0.16666666666666666
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-315c9d8282e6,1,9,-0.015740740740740736,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-315c9d8282e6,2,15,0.0011111111111111072,0.06666666666666667
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-6fed6ff5d282,0,6,0.0,0.16666666666666666
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-6fed6ff5d282,1,9,-0.015740740740740736,0.0
eegmmidb,2,robust_residual_adapter,robust_residual_adapter-6fed6ff5d282,2,15,0.0011111111111111072,0.06666666666666667
eegmmidb,3,official_t3a,official_t3a-06d8b003eb93,0,14,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-06d8b003eb93,1,8,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-06d8b003eb93,2,8,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-0ad43336d54d,0,14,0.0,0.0
eegmmidb,3,official_t3a,official_t3a-0ad43336d54d,1,8,0.0,0.0
