benchmark,family_id,subject_id,source_fold,baseline_BA,oracle_method,oracle_BA,oracle_NLL,oracle_delta_BA,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,14,0,0.82,B_STRONG_MATCHED_V7,0.82,0.4337352003397467,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,19,0,0.83,B_STRONG_MATCHED_V7,0.83,0.41295751830824623,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,2,0,0.8400000000000001,B_STRONG_MATCHED_V7,0.8400000000000001,0.38909323068085383,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,32,0,0.8500000000000001,B_STRONG_MATCHED_V7,0.8500000000000001,0.2860938746433446,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,33,0,0.98,SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50,0.98,0.07657618361263506,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,40,0,0.87,SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50,0.88,0.27580475128362125,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,47,0,0.97,SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50,0.98,0.10355407379416982,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,50,0,0.55,SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50,0.57,0.8730838054387486,0.019999999999999907,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,53,0,0.86,SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50,0.86,0.32353169837781515,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,1,1,0.83,B_STRONG_MATCHED_V7,0.83,0.406631713117694,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,10,1,0.85,SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50,0.86,0.3870894349309446,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,16,1,0.9199999999999999,SPD_TRANSPORT_K4_P8_D16__E2_RESIDUAL50,0.9199999999999999,0.20506732343840098,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,35,1,0.75,SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50,0.77,0.5269000808718404,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,43,1,0.95,SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50,0.95,0.15571780896886964,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,45,1,0.9299999999999999,SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50,0.94,0.1594954832204289,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,48,1,0.6599999999999999,B_STRONG_MATCHED_V7,0.6599999999999999,0.609470881819692,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,5,1,0.8899999999999999,SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50,0.8999999999999999,0.26605515907442456,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,6,1,0.98,B_STRONG_MATCHED_V7,0.98,0.07675794094419656,0.0,False
