benchmark,family_id,subject_id,source_fold,baseline_BA,oracle_method,oracle_BA,oracle_NLL,oracle_delta_BA,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-1,0,0.97,MULTISCALE_TCN_STAGED_BANK_K4__E0_HISTORY_RESIDUAL50,0.97,0.14976228396488744,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-5,0,0.825,MULTISCALE_TCN_STAGED_BANK_K4__E0_HISTORY_RESIDUAL50,0.83,0.3555886202614402,0.0050000000000000044,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-16,0,0.595,MULTISCALE_TCN_STAGED_BANK_K4__FEATURE_HEAD_BLEND50,0.645,0.6523675604109626,0.050000000000000044,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-28,0,0.72,MULTISCALE_TCN_STAGED_BANK_K4__E1_HISTORY_RESIDUAL50,0.76,0.5002833337767036,0.040000000000000036,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-37,0,0.865,MULTISCALE_TCN_STAGED_BANK_K4__E2_HISTORY_RESIDUAL50,0.865,0.33380486905021683,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-11,1,0.75,MULTISCALE_TCN_STAGED_BANK_K4__E2_HISTORY_RESIDUAL50,0.77,0.45961701427333423,0.020000000000000018,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-13,1,0.905,MULTISCALE_TCN_STAGED_BANK_K4__E3_GENERIC_BLEND50,0.9199999999999999,0.22151126894294085,0.014999999999999902,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-18,1,0.66,MULTISCALE_TCN_STAGED_BANK_K4__POPULATION_BLEND50,0.675,0.6284541151803027,0.015000000000000013,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-27,1,0.655,MULTISCALE_TCN_STAGED_BANK_K4__E1_GENERIC_BLEND50,0.73,0.6148983158683463,0.07499999999999996,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-36,1,0.98,MULTISCALE_TCN_STAGED_BANK_K4__E1_GENERIC_BLEND50,0.99,0.047284480134405095,0.010000000000000009,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-44,1,0.885,B_STRONG_MATCHED_V7,0.885,0.3128380241354206,0.0,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,sub-45,1,0.955,MULTISCALE_TCN_STAGED_BANK_K4__E1_GENERIC_BLEND50,0.965,0.12844321195249933,0.010000000000000009,False
