benchmark,family_id,subject_id,source_fold,baseline_BA,oracle_method,oracle_BA,oracle_NLL,oracle_delta_BA,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,14,0,0.82,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,0.8200000000000001,0.5006072093646505,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,19,0,0.83,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.86,0.37105250381814636,0.030000000000000027,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,2,0,0.8400000000000001,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,0.88,0.35589219973744446,0.039999999999999925,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,32,0,0.8500000000000001,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,0.87,0.30213714097995115,0.019999999999999907,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,33,0,0.98,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,0.98,0.06755952506920897,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,40,0,0.87,NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50,0.96,0.1999321209916126,0.08999999999999997,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,47,0,0.97,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.97,0.09813704766392582,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,50,0,0.55,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.6,0.8929852045491772,0.04999999999999993,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,53,0,0.86,B_STRONG_MATCHED_V7,0.86,0.3297427617981778,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,1,1,0.83,B_STRONG_MATCHED_V7,0.83,0.406631713117694,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,10,1,0.85,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.8500000000000001,0.4264089832773419,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,16,1,0.9199999999999999,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.94,0.19246508821871697,0.020000000000000018,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,35,1,0.75,NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50,0.8300000000000001,0.41006378042822633,0.08000000000000007,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,43,1,0.95,B_STRONG_MATCHED_V7,0.95,0.1657088417766763,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,45,1,0.9299999999999999,B_STRONG_MATCHED_V7,0.9299999999999999,0.1781717043851147,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,48,1,0.6599999999999999,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.6699999999999999,0.6168993335830009,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,5,1,0.8899999999999999,B_STRONG_MATCHED_V7,0.8899999999999999,0.2699113206019034,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,6,1,0.98,B_STRONG_MATCHED_V7,0.98,0.07675794094419656,0.0,False
