benchmark,family_id,subject_id,source_fold,baseline_BA,oracle_method,oracle_BA,oracle_NLL,oracle_delta_BA,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,14,0,0.82,META_SGD_CONFORMER_NORM_K4__E2_BLEND50,0.8200000000000001,0.46483313069697674,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,19,0,0.83,META_SGD_CONFORMER_NORM_K4__E3_BLEND50,0.8600000000000001,0.37051057881757854,0.030000000000000138,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,2,0,0.8400000000000001,B_STRONG_MATCHED_V7,0.8400000000000001,0.38909323068085383,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,32,0,0.8500000000000001,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,0.88,0.32366913131627073,0.029999999999999916,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,33,0,0.98,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,0.98,0.07047558190430762,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,40,0,0.87,META_SGD_CONFORMER_NORM_K4__E2_BLEND50,0.8999999999999999,0.30021518377583173,0.029999999999999916,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,47,0,0.97,META_SGD_CONFORMER_NORM_K4__E2_BLEND50,0.98,0.13473015763533536,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,50,0,0.55,META_SGD_CONFORMER_NORM_K4__E0_BLEND50,0.5900000000000001,0.832118478654296,0.040000000000000036,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,53,0,0.86,B_STRONG_MATCHED_V7,0.86,0.3297427617981778,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,1,1,0.83,B_STRONG_MATCHED_V7,0.83,0.406631713117694,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,10,1,0.85,META_SGD_CONFORMER_NORM_K4__E1_BLEND50,0.8500000000000001,0.4081065190289776,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,16,1,0.9199999999999999,B_STRONG_MATCHED_V7,0.9199999999999999,0.20898614675993302,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,35,1,0.75,B_STRONG_MATCHED_V7,0.75,0.5952452601070624,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,43,1,0.95,META_SGD_CONFORMER_NORM_K4__E3_BLEND50,0.95,0.16049310317275528,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,45,1,0.9299999999999999,B_STRONG_MATCHED_V7,0.9299999999999999,0.1781717043851147,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,48,1,0.6599999999999999,META_SGD_CONFORMER_NORM_K4__E1_BLEND50,0.66,0.706764570081673,1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,5,1,0.8899999999999999,B_STRONG_MATCHED_V7,0.8899999999999999,0.2699113206019034,0.0,False
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_CONFORMER_NORM_K4,6,1,0.98,B_STRONG_MATCHED_V7,0.98,0.07675794094419656,0.0,False
