benchmark,family_id,expert_left,expert_right,correctness_correlation,correctness_disagreement,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E0_HISTORY_RESIDUAL50,0.6444887383575281,0.118,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E1_GENERIC_BLEND50,0.8190149595752518,0.061,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E1_HISTORY_RESIDUAL50,0.6167031033005357,0.126,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E2_GENERIC_BLEND50,0.8346271538765687,0.055,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E2_HISTORY_RESIDUAL50,0.6540969683175253,0.115,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E3_GENERIC_BLEND50,0.719272129699642,0.101,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50,MULTISCALE_TCN_BANK_K4__E3_HISTORY_RESIDUAL50,0.46907194969904115,0.178,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_HISTORY_RESIDUAL50,MULTISCALE_TCN_BANK_K4__E1_GENERIC_BLEND50,0.5535266829799792,0.149,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_HISTORY_RESIDUAL50,MULTISCALE_TCN_BANK_K4__E1_HISTORY_RESIDUAL50,0.9447401150664196,0.018,False
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,MULTISCALE_TCN_BANK_K4__E0_HISTORY_RESIDUAL50,MULTISCALE_TCN_BANK_K4__E2_GENERIC_BLEND50,0.6381776477322657,0.119,False
