model,future BA,future Macro-F1,WS-BA,subjects,metric,mean,CI95_low,CI95_high,bootstrap_draws
EEGNet,0.7189655172413792,0.7070907590814781,0.6206896551724137,29,,,,,
SIRE-EEG,0.7000000000000001,0.6879344903279647,0.606896551724138,29,,,,,
SIRE-EEG minus EEGNet,,,,29,future BA contrast,-0.018965517241379314,-0.06724137931034482,0.027586206896551738,20000
SIRE-EEG minus EEGNet,,,,29,WS-BA contrast,-0.013793103448275853,-0.06206896551724137,0.036206896551724155,20000
