fold,subject,role
0,1,train
0,2,train
0,4,train
0,5,train
0,6,train
0,7,train
0,9,train
0,10,train
0,11,train
0,13,train
0,15,train
0,16,train
0,17,train
0,18,train
0,19,train
0,20,train
0,23,train
0,28,train
0,8,inner_val
0,22,inner_val
0,25,inner_val
0,27,inner_val
0,29,inner_val
0,3,outer_test
0,12,outer_test
0,14,outer_test
0,21,outer_test
0,24,outer_test
0,26,outer_test
1,2,train
1,3,train
1,4,train
1,5,train
1,7,train
1,10,train
1,11,train
1,12,train
1,13,train
1,14,train
1,16,train
1,18,train
1,21,train
1,22,train
1,23,train
1,24,train
1,25,train
1,29,train
1,1,inner_val
1,8,inner_val
1,19,inner_val
1,20,inner_val
1,26,inner_val
1,6,outer_test
1,9,outer_test
1,15,outer_test
1,17,outer_test
1,27,outer_test
1,28,outer_test
2,1,train
2,3,train
2,4,train
2,5,train
2,6,train
2,8,train
2,12,train
2,13,train
2,14,train
2,15,train
2,16,train
2,17,train
2,19,train
2,20,train
2,21,train
2,22,train
2,24,train
2,26,train
2,9,inner_val
2,10,inner_val
2,25,inner_val
2,27,inner_val
2,28,inner_val
2,2,outer_test
2,7,outer_test
2,11,outer_test
2,18,outer_test
2,23,outer_test
2,29,outer_test
3,3,train
3,6,train
3,9,train
3,11,train
3,12,train
3,14,train
3,15,train
3,16,train
3,17,train
3,18,train
3,21,train
3,22,train
3,23,train
3,24,train
3,26,train
3,27,train
3,28,train
3,29,train
3,1,inner_val
3,2,inner_val
3,4,inner_val
3,7,inner_val
3,13,inner_val
3,5,outer_test
3,8,outer_test
3,10,outer_test
3,19,outer_test
3,20,outer_test
3,25,outer_test
4,2,train
4,3,train
4,6,train
4,7,train
4,9,train
4,10,train
4,11,train
4,12,train
4,14,train
4,15,train
4,18,train
4,19,train
4,21,train
4,23,train
4,25,train
4,26,train
4,27,train
4,28,train
4,29,train
4,5,inner_val
4,8,inner_val
4,17,inner_val
4,20,inner_val
4,24,inner_val
4,1,outer_test
4,4,outer_test
4,13,outer_test
4,16,outer_test
4,22,outer_test
