model,fold,seed,checkpoint_sha256,selected_epoch,normalizer_sha256,subject,session,BA,Macro_F1,trials
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-03,S1,0.75,0.7442455242966752,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-12,S1,0.95,0.949874686716792,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-14,S1,0.6,0.595959595959596,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-21,S1,0.75,0.7442455242966752,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-24,S1,0.6000000000000001,0.5833333333333333,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-26,S1,0.35,0.3483709273182957,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-03,S2,0.9,0.9,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-12,S2,0.6,0.6,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-14,S2,0.65,0.6419437340153453,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-21,S2,0.85,0.8465473145780051,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-24,S2,0.65,0.6419437340153453,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-26,S2,0.75,0.7493734335839599,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-03,S3,0.6,0.595959595959596,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-12,S3,0.55,0.52,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-14,S3,0.75,0.7493734335839599,20
EEGNet,0,0,26f037789b00a543929663373222f06e935e3d5b710e422d16f1aa8a4c00650f,54,4c1af6bdfaf9bf678b3c2a7c25e9c672ef9f9a301d34c1efc54be06d6b151a97,sub-21,S3,0.65,0.6419437340153453,20
