method,subject_id,BA,macro_f1,source_model_noadapt_BA,adaptation_delta_BA,adaptation_time_s,target_trainable_parameters,strongest_baseline_method,Delta_BA_vs_strongest_baseline
A10_FULL_PUD_FREEZE,1,0.69,0.6889528260139625,0.69,0.0,0.699454999975084,24050.0,B2_STRONG_GENERIC,-0.036666666666666736
A10_FULL_PUD_FREEZE,2,0.7466666666666667,0.7460202224371081,0.7433333333333333,0.0033333333333333335,1.0687396999953005,26146.0,B2_STRONG_GENERIC,-0.046666666666666634
A10_FULL_PUD_FREEZE,3,0.89,0.8898526444123109,0.8533333333333334,0.03666666666666663,0.669656133337412,98.0,B2_STRONG_GENERIC,-0.036666666666666736
A10_FULL_PUD_FREEZE,5,0.75,0.7467313923494535,0.7200000000000001,0.03,0.6533295333501883,24050.0,B2_STRONG_GENERIC,-0.036666666666666736
A10_FULL_PUD_FREEZE,6,0.9566666666666667,0.956628279817085,0.96,-0.0033333333333333335,0.687087333353702,24050.0,B2_STRONG_GENERIC,-0.019999999999999907
A10_FULL_PUD_FREEZE,7,0.77,0.7685152937844127,0.77,-1.1564823173178713e-18,0.7725085333222523,24050.0,B2_STRONG_GENERIC,-0.043333333333333335
A10_FULL_PUD_FREEZE,8,0.75,0.7491298727339503,0.7366666666666667,0.0133333333333333,0.655964466665561,98.0,B2_STRONG_GENERIC,-0.020000000000000018
A10_FULL_PUD_FREEZE,9,0.56,0.5575797878806038,0.5666666666666668,-0.006666666666666665,1.2974196999954681,19622.0,B2_STRONG_GENERIC,-0.1366666666666666
A10_FULL_PUD_FREEZE,10,0.6833333333333332,0.6790716136671385,0.6699999999999999,0.013333333333333334,1.3493454999988899,19622.0,B2_STRONG_GENERIC,-0.040000000000000036
A10_FULL_PUD_FREEZE,11,0.7666666666666666,0.7663701070002477,0.7366666666666667,0.03,0.5569112333469093,98.0,B2_STRONG_GENERIC,0.04999999999999993
A10_FULL_PUD_FREEZE,14,0.7600000000000001,0.7564767974670753,0.7833333333333333,-0.023333333333333334,1.0936223666455287,26146.0,B2_STRONG_GENERIC,0.030000000000000138
A10_FULL_PUD_FREEZE,15,0.8233333333333334,0.8231353584076356,0.7833333333333333,0.04,1.2198721333406866,26146.0,B2_STRONG_GENERIC,-0.026666666666666727
A10_FULL_PUD_FREEZE,16,0.8300000000000001,0.829874686716792,0.8366666666666668,-0.006666666666666667,1.2889327333347562,19622.0,B2_STRONG_GENERIC,-0.043333333333333335
