method,seed,BA,Macro_F1,baseline_BA,Delta_BA_vs_strongest_baseline
A10_FULL_PUD_FREEZE,0,0.76,0.757689531629467,0.785,-0.025000000000000022
A10_FULL_PUD_FREEZE,1,0.7655000000000001,0.7638230388503562,0.8019999999999999,-0.036499999999999866
A10_FULL_PUD_FREEZE,2,0.76625,0.762732157368269,0.79025,-0.02400000000000002
A2_DUAL_CONTROL,0,0.78025,0.7779962895414229,0.785,-0.004750000000000032
A2_DUAL_CONTROL,1,0.7705,0.766626345885322,0.8019999999999999,-0.03149999999999997
A2_DUAL_CONTROL,2,0.77825,0.7709555802378565,0.79025,-0.01200000000000001
A3_P_ONLY,0,0.764,0.7599936349646961,0.785,-0.02100000000000002
A4_P_PLUS_U,0,0.76,0.757689531629467,0.785,-0.025000000000000022
A5_P_PLUS_D,0,0.7542500000000001,0.7524508787130257,0.785,-0.030749999999999944
A6_PUD_ALL_ADAPT,0,0.75925,0.7572757298991155,0.785,-0.02575000000000005
A6_PUD_ALL_ADAPT,1,0.757,0.7551030736047677,0.8019999999999999,-0.04499999999999993
A6_PUD_ALL_ADAPT,2,0.7697499999999999,0.7653331798487585,0.79025,-0.020500000000000074
A7_IDENTITY_PROTECTED,0,0.7745,0.7721590877994309,0.785,-0.010500000000000065
A7_IDENTITY_PROTECTED,1,0.7695000000000001,0.7671565402254011,0.8019999999999999,-0.03249999999999986
A7_IDENTITY_PROTECTED,2,0.7655000000000001,0.7602980577666236,0.79025,-0.02474999999999994
A8_RANDOM_PROTECTED,0,0.77,0.7678557222693873,0.785,-0.015000000000000013
A8_RANDOM_PROTECTED,1,0.7695000000000001,0.7674325656219595,0.8019999999999999,-0.03249999999999986
A8_RANDOM_PROTECTED,2,0.7615000000000001,0.7568973139346038,0.79025,-0.028749999999999942
A9_PCA_PROTECTED,0,0.76675,0.7625496718497667,0.785,-0.01824999999999999
B0_VANILLA_EEGNET,0,0.78425,0.779531131290679,0.785,-0.0007500000000000284
B0_VANILLA_EEGNET,1,0.78625,0.7820347464217627,0.8019999999999999,-0.01574999999999993
B0_VANILLA_EEGNET,2,0.788,0.7854676016654367,0.79025,-0.0022499999999999742
B1_STRONG_EEGNET,0,0.77975,0.7758376322959885,0.785,-0.005249999999999977
B1_STRONG_EEGNET,1,0.8035,0.8010547769724417,0.8019999999999999,0.0015000000000000568
B1_STRONG_EEGNET,2,0.79125,0.7889229661545519,0.79025,0.0010000000000000009
B2_STRONG_GENERIC,0,0.785,0.7818750080378967,0.785,0.0
B2_STRONG_GENERIC,1,0.8019999999999999,0.7996782968443068,0.8019999999999999,0.0
B2_STRONG_GENERIC,2,0.79025,0.7876507141221387,0.79025,0.0
