method,fold,BA,Macro_F1,baseline_BA,Delta_BA_vs_strongest_baseline
A10_FULL_PUD_FREEZE,0,0.7591666666666667,0.7577457921540717,0.7725,-0.013333333333333308
A10_FULL_PUD_FREEZE,1,0.7370833333333334,0.7314556022602883,0.7675000000000001,-0.030416666666666647
A10_FULL_PUD_FREEZE,2,0.7316666666666666,0.7294084620240988,0.7883333333333334,-0.056666666666666865
A10_FULL_PUD_FREEZE,3,0.7958333333333334,0.7940697511142756,0.8295833333333333,-0.03374999999999995
A10_FULL_PUD_FREEZE,4,0.7958333333333334,0.7943949388607524,0.8041666666666667,-0.008333333333333304
A2_DUAL_CONTROL,0,0.78875,0.7868327032553499,0.7725,0.016249999999999987
A2_DUAL_CONTROL,1,0.7362500000000001,0.7236022244268195,0.7675000000000001,-0.03125
A2_DUAL_CONTROL,2,0.7483333333333334,0.7442079973768423,0.7883333333333334,-0.040000000000000036
A2_DUAL_CONTROL,3,0.7983333333333333,0.7964562702773192,0.8295833333333333,-0.03125
A2_DUAL_CONTROL,4,0.81,0.8081978307713378,0.8041666666666667,0.005833333333333357
A3_P_ONLY,0,0.75375,0.753082101799559,0.7762500000000001,-0.022500000000000075
A3_P_ONLY,1,0.74,0.7249959252678098,0.76,-0.020000000000000018
A3_P_ONLY,2,0.735,0.7342455364988338,0.79,-0.05500000000000005
A3_P_ONLY,3,0.79125,0.7895310328585652,0.8075,-0.016249999999999987
A3_P_ONLY,4,0.8,0.7981135783987124,0.79125,0.008750000000000036
A4_P_PLUS_U,0,0.75375,0.7526087735906605,0.7762500000000001,-0.022500000000000075
A4_P_PLUS_U,1,0.7424999999999999,0.7374465205349388,0.76,-0.01750000000000007
A4_P_PLUS_U,2,0.7375,0.7358033429395742,0.79,-0.05249999999999999
A4_P_PLUS_U,3,0.78375,0.7820209888575219,0.8075,-0.02375000000000005
A4_P_PLUS_U,4,0.7825,0.7805680322246393,0.79125,-0.008750000000000036
A5_P_PLUS_D,0,0.73875,0.7380211459402575,0.7762500000000001,-0.03750000000000009
A5_P_PLUS_D,1,0.73625,0.732441066990937,0.76,-0.02375000000000005
A5_P_PLUS_D,2,0.73,0.729739919780559,0.79,-0.06000000000000005
A5_P_PLUS_D,3,0.78375,0.7816063206506128,0.8075,-0.02375000000000005
A5_P_PLUS_D,4,0.7825,0.7804459402027627,0.79125,-0.008750000000000036
A6_PUD_ALL_ADAPT,0,0.7566666666666667,0.7550214377016403,0.7725,-0.015833333333333255
A6_PUD_ALL_ADAPT,1,0.735,0.7289124349477972,0.7675000000000001,-0.032500000000000084
A6_PUD_ALL_ADAPT,2,0.7225,0.7196599054783995,0.7883333333333334,-0.06583333333333341
A6_PUD_ALL_ADAPT,3,0.7987500000000001,0.7973960975770588,0.8295833333333333,-0.030833333333333268
A6_PUD_ALL_ADAPT,4,0.7970833333333333,0.7951967632161739,0.8041666666666667,-0.007083333333333441
