method,subject_id,fold,seed,protected_representation_drift,adaptive_representation_drift,protected_decision_logit_drift,adaptive_decision_logit_drift,protected_D_finite_after,combined_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_parameter_update_l2,adaptive_parameter_update_l2,protected_buffer_update_l2,adaptation_seed,target_future_labels_used_for_fit,internal_holdout_used,outer_test_used,functional_distillation_RMSE_before,functional_distillation_correlation_before,functional_distillation_RMSE_after,functional_distillation_correlation_after
A10_FULL_PUD_FREEZE,1,3.0,1.0,0.0,0.2642736782630284,0.0,0.269792785828714,1.584460585946719,0.69,0.1133333333333333,0.013333333333333301,0.0,0.18751481342983836,0.0,1923522106.3333333,0.0,0.0,0.0,0.8588202497573767,0.7436434125808921,0.8588202497573767,0.7436434125808921
A10_FULL_PUD_FREEZE,2,1.0,1.0,0.0,0.45476879676183063,0.0,0.24247981032427082,1.8472943788267815,0.7466666666666667,0.1466666666666666,0.01,0.0,0.067243239948434,0.0,2352431086.6666665,0.0,0.0,0.0,0.7568524096123461,0.8485708641347713,0.7568524096123461,0.8485708641347713
A10_FULL_PUD_FREEZE,3,4.0,1.0,0.0,0.31137034296989435,0.0,0.6557053127345677,2.1750789542170774,0.89,0.17666666666666664,0.0433333333333333,0.0,0.16336589288969308,0.0,1799297842.0,0.0,0.0,0.0,0.7066919156722588,0.8964678216444675,0.7066919156722588,0.8964678216444675
A10_FULL_PUD_FREEZE,5,3.0,1.0,0.0,0.22046999633312217,0.0,0.25668617257494886,1.5974925324397073,0.75,0.04,0.06333333333333334,0.0,0.2045078085563893,0.0,2061810281.0,0.0,0.0,0.0,0.8312025771212385,0.7634821674277235,0.8312025771212385,0.7634821674277235
A10_FULL_PUD_FREEZE,6,3.0,1.0,0.0,0.1534763152400652,0.0,0.2852411997524607,2.14248702496336,0.9566666666666667,0.1566666666666666,0.023333333333333334,0.0,0.1936647547298708,0.0,1866097328.3333333,0.0,0.0,0.0,0.5744638604760594,0.9287243628584099,0.5744638604760594,0.9287243628584099
A10_FULL_PUD_FREEZE,7,3.0,1.0,0.0,0.20389348268508908,0.0,0.23211457301987956,1.5043936090289523,0.77,0.14666666666666667,0.023333333333333334,0.0,0.173780810429781,0.0,2898510408.6666665,0.0,0.0,0.0,0.8348365012203716,0.7813445888605562,0.8348365012203716,0.7813445888605562
A10_FULL_PUD_FREEZE,8,4.0,1.0,0.0,0.21585495273272193,0.0,0.35348631478163334,1.7579230803210233,0.75,0.14333333333333323,0.05333333333333323,0.0,0.1394094997712311,0.0,1611535580.3333333,0.0,0.0,0.0,0.7309624490960194,0.8265563212905787,0.7309624490960194,0.8265563212905787
A10_FULL_PUD_FREEZE,9,2.0,1.0,0.0,0.24971255163351688,0.0,0.19092500827788905,1.2683184148888647,0.56,0.04666666666666667,-0.0133333333333333,0.0,0.05602219367327,0.0,1539718714.0,0.0,0.0,0.0,0.8966657653293048,0.6383551807977209,0.8966657653293048,0.6383551807977209
A10_FULL_PUD_FREEZE,10,2.0,1.0,0.0,0.24203247825304666,0.0,0.2118893600670504,1.0418591456256252,0.6833333333333332,0.059999999999999935,0.05333333333333327,0.0,0.05192034049029953,0.0,2056993607.6666667,0.0,0.0,0.0,0.7124293029887876,0.708874163574607,0.7124293029887876,0.708874163574607
A10_FULL_PUD_FREEZE,11,4.0,1.0,0.0,0.3000119576851527,0.0,0.596956424434615,1.6212348841409703,0.7666666666666666,0.13666666666666663,0.04666666666666667,0.0,0.16944745714461473,0.0,978848596.3333334,0.0,0.0,0.0,0.646774345662923,0.8494173035960451,0.646774345662923,0.8494173035960451
