method,display_name,seeds,subjects,BA,Macro_F1,Delta_BA_vs_strongest_baseline,CI95_L,CI95_U,Negative_Transfer_Rate,Worst_Quartile_Adaptation_Delta,harmed_subjects,rescued_subjects,Params,Target_Trainable_Params,Approximate_MACs,Capacity_Ratio_vs_B1
B0_VANILLA_EEGNET,Vanilla EEGNet,3,40,0.7861666666666667,0.7823444931259594,-0.00625,-0.01933333333333335,0.005749999999999996,,,0,0,34162.0,0.0,32895872.0,0.6991680532445924
B1_STRONG_EEGNET,Strong EEGNet,3,40,0.7915,0.7886051251409941,-0.0009166666666666684,-0.008083333333333331,0.006083333333333335,,,0,0,54773.2,0.0,52710118.4,1.0
B2_STRONG_GENERIC,Strong Generic,3,40,0.7924166666666668,0.7897346730014474,0.0,0.0,0.0,0.425,-0.027666666666666635,17,21,54773.2,47026.0,52710118.4,1.0
A2_DUAL_CONTROL,Dual capacity control,3,40,0.7763333333333333,0.7718594052215337,-0.016083333333333356,-0.02791666666666668,-0.004666666666666689,0.375,-0.024999999999999984,15,21,47072.8,19212.4,59188646.4,0.9174432363522693
A3_P_ONLY,P-only,1,40,0.764,0.759993634964696,-0.02100000000000003,-0.037250000000000026,-0.004500000000000034,0.275,-0.02199999999999998,11,22,47072.8,19212.4,59188646.4,0.9174432363522692
A4_P_PLUS_U,P+U,1,40,0.76,0.757689531629467,-0.025000000000000022,-0.043500000000000025,-0.007500000000000026,0.35,-0.017999999999999995,14,18,47072.8,19212.4,59188646.4,0.9174432363522692
A5_P_PLUS_D,P+D,1,40,0.75425,0.7524508787130259,-0.03075000000000002,-0.04900625000000003,-0.013250000000000026,0.35,-0.032999999999999974,14,16,47072.8,19212.4,59188646.4,0.9174432363522692
A7_IDENTITY_PROTECTED,Identity-protected,3,40,0.7698333333333333,0.7665378952638184,-0.022583333333333365,-0.03491875000000006,-0.010583333333333353,0.425,-0.0223333333333333,17,21,47072.8,19212.4,59188646.4,0.9174432363522693
A8_RANDOM_PROTECTED,Random-protected,3,40,0.767,0.7640618672753169,-0.025416666666666678,-0.03716666666666667,-0.014083333333333333,0.475,-0.019333333333333307,19,17,47072.8,19212.4,59188646.4,0.9174432363522693
A9_PCA_PROTECTED,PCA-protected,1,40,0.76675,0.7625496718497667,-0.018250000000000023,-0.035250000000000024,-0.0017500000000000321,0.15,-0.011999999999999969,6,20,47072.8,19212.4,59188646.4,0.9174432363522692
A6_PUD_ALL_ADAPT,PUD all-adapt,3,40,0.7620000000000001,0.7592373277842139,-0.030416666666666682,-0.042833333333333334,-0.018833333333333348,0.375,-0.021999999999999974,15,24,47072.8,38424.8,59188646.4,0.9174432363522693
A10_FULL_PUD_FREEZE,PUD protected-freeze FULL,3,40,0.7639166666666666,0.7614149092826974,-0.028500000000000015,-0.04091875000000003,-0.01625000000000001,0.25,-0.008999999999999982,10,26,47072.8,19212.4,59188646.4,0.9174432363522693
