task,dataset,LiteBN_BA,Original_XS_BA,XS_FT_BA,delta_vs_LiteBN_pp,delta_vs_XS_pp,ci_low_pp,ci_high_pp,LiteBN_macro_F1,Original_XS_macro_F1,XS_FT_macro_F1,LiteBN_accuracy,Original_XS_accuracy,XS_FT_accuracy,positive_folds,harmed_folds,positive_subjects,harmed_subjects,tied_subjects
OpenBMI_MI,OpenBMI,0.7915,0.799,0.8,0.85,0.10000000000000035,-0.7750000000000006,2.4749999999999988,0.7876279401445143,0.7946242792530841,0.7960498556045188,0.7915,0.799,0.8,3,2,22,14,5
OpenBMI_ERP,OpenBMI,0.8325530303030302,0.8317272727272729,0.8308181818181819,-0.17348484848484866,-0.0909090909090915,-1.3984848484848493,0.9189583333333339,0.7849007785444034,0.7924249627265182,0.8009607420632012,0.8631439393939395,0.8741919191919191,0.8834848484848485,3,2,23,16,1
OpenBMI_SSVEP,OpenBMI,0.8919999999999998,0.9332499999999999,0.9329999999999998,4.1,-0.025000000000000022,1.2999999999999985,7.875,0.888035442269619,0.9323425278470869,0.9321128190686714,0.8919999999999998,0.9332499999999999,0.9329999999999998,5,0,21,7,12
WBCIC_MI,WBCIC,0.7870401596611274,0.7899348321928968,0.7949399234278267,0.789976376669924,0.5005091234929948,-0.8064516129032268,2.5319205156402735,0.7820686835833355,0.7869972150768386,0.7927293546479792,0.7870306038047974,0.7899379652605459,0.7949379652605459,3,2,20,11,0
