task,dataset,fold,regime,absolute_l2_drift,component,relative_l2_drift
OpenBMI_ERP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0733520416801092,channel_mlp,0.027709576078761348
OpenBMI_ERP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.3220752658681407,classifier_head,0.33118914826670764
OpenBMI_ERP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_ERP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_ERP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.11379251802998389,channel_mlp,0.04472773205394643
OpenBMI_ERP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.2072185590019896,classifier_head,0.2321969272622831
OpenBMI_ERP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_ERP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_ERP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.12561670393052857,channel_mlp,0.05422929742158015
OpenBMI_ERP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.36566826171690975,classifier_head,0.3870066085808602
OpenBMI_ERP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_ERP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_ERP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0553891170241658,channel_mlp,0.020151323299680758
OpenBMI_ERP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.276892022590846,classifier_head,0.28076846447054093
OpenBMI_ERP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_ERP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_ERP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.08532204599091348,channel_mlp,0.03195419216505462
OpenBMI_ERP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.3110135597175045,classifier_head,0.3162094238036873
OpenBMI_ERP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_ERP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_MI,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.024058581219600854,channel_mlp,0.011174929930381168
OpenBMI_MI,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.03005177793901322,classifier_head,0.03456194608746686
OpenBMI_MI,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_MI,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_MI,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.015271129922505297,channel_mlp,0.0056915897486875845
OpenBMI_MI,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.025132635896556035,classifier_head,0.0293247161654085
OpenBMI_MI,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_MI,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_MI,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.022189973616408776,channel_mlp,0.008966568416737044
OpenBMI_MI,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.044873637122489596,classifier_head,0.05031448970248204
OpenBMI_MI,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_MI,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_MI,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.033130866902633935,channel_mlp,0.01291349498742584
OpenBMI_MI,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.06299028883181733,classifier_head,0.07065607647804283
OpenBMI_MI,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_MI,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_MI,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.019174106978837188,channel_mlp,0.007647217129254281
OpenBMI_MI,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.022635514301631604,classifier_head,0.026427890152394152
OpenBMI_MI,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_MI,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_SSVEP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.009625144040821874,channel_mlp,0.0038886425084676195
OpenBMI_SSVEP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.06580562872919145,classifier_head,0.04226242532175119
OpenBMI_SSVEP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_SSVEP,OpenBMI,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_SSVEP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.015366149063180104,channel_mlp,0.007438319243275861
OpenBMI_SSVEP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.06221029320995494,classifier_head,0.040719324268967794
OpenBMI_SSVEP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_SSVEP,OpenBMI,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_SSVEP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0178019625764022,channel_mlp,0.007471902280649934
OpenBMI_SSVEP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.06328786481092852,classifier_head,0.04341908136668742
OpenBMI_SSVEP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_SSVEP,OpenBMI,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_SSVEP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0278130624701392,channel_mlp,0.012225709704888496
OpenBMI_SSVEP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.06573909070298176,classifier_head,0.04494632680038457
OpenBMI_SSVEP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_SSVEP,OpenBMI,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
OpenBMI_SSVEP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.015529190014769614,channel_mlp,0.006480636163590043
OpenBMI_SSVEP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.06048432805619273,classifier_head,0.04175924803183018
OpenBMI_SSVEP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
OpenBMI_SSVEP,OpenBMI,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
WBCIC_MI,WBCIC,0,FT1_GATE_HEAD_WEAK_SHRINK,0.04641956136048239,channel_mlp,0.011450461929415744
WBCIC_MI,WBCIC,0,FT1_GATE_HEAD_WEAK_SHRINK,0.09019877735631908,classifier_head,0.10174981446503126
WBCIC_MI,WBCIC,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
WBCIC_MI,WBCIC,0,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
WBCIC_MI,WBCIC,1,FT1_GATE_HEAD_WEAK_SHRINK,0.030630747173693133,channel_mlp,0.011051503777953196
WBCIC_MI,WBCIC,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0451786625842184,classifier_head,0.05435306833800101
WBCIC_MI,WBCIC,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
WBCIC_MI,WBCIC,1,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
WBCIC_MI,WBCIC,2,FT1_GATE_HEAD_WEAK_SHRINK,0.05527348486776985,channel_mlp,0.019276905084920245
WBCIC_MI,WBCIC,2,FT1_GATE_HEAD_WEAK_SHRINK,0.04747703859173353,classifier_head,0.05674897674961715
WBCIC_MI,WBCIC,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
WBCIC_MI,WBCIC,2,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
WBCIC_MI,WBCIC,3,FT1_GATE_HEAD_WEAK_SHRINK,0.10789582429190259,channel_mlp,0.040560115199627426
WBCIC_MI,WBCIC,3,FT1_GATE_HEAD_WEAK_SHRINK,0.07053990932443571,classifier_head,0.08472040398528266
WBCIC_MI,WBCIC,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
WBCIC_MI,WBCIC,3,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
WBCIC_MI,WBCIC,4,FT1_GATE_HEAD_WEAK_SHRINK,0.13597653292061393,channel_mlp,0.04342299920320144
WBCIC_MI,WBCIC,4,FT1_GATE_HEAD_WEAK_SHRINK,0.1303674029535962,classifier_head,0.1487678519686981
WBCIC_MI,WBCIC,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,embedding,0.0
WBCIC_MI,WBCIC,4,FT1_GATE_HEAD_WEAK_SHRINK,0.0,last_residual_temporal_mixer,0.0
