task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials
OpenBMI_ERP,OpenBMI,0,0,15,XS_FT_GATE_OFF,0.6893939393939394,0.7010026687987083,0.843939393939394,1980
OpenBMI_ERP,OpenBMI,0,0,3,XS_FT_GATE_OFF,0.9363636363636363,0.8704670563532149,0.9161616161616162,1980
OpenBMI_ERP,OpenBMI,0,0,32,XS_FT_GATE_OFF,0.9342424242424242,0.8855496490607389,0.9287878787878788,1980
OpenBMI_ERP,OpenBMI,0,0,33,XS_FT_GATE_OFF,0.6633333333333333,0.6871302381313303,0.851010101010101,1980
OpenBMI_ERP,OpenBMI,0,0,38,XS_FT_GATE_OFF,0.6415151515151516,0.6674102866747826,0.848989898989899,1980
OpenBMI_ERP,OpenBMI,0,0,47,XS_FT_GATE_OFF,0.8833333333333333,0.8642337698298139,0.9207070707070707,1980
OpenBMI_ERP,OpenBMI,0,0,5,XS_FT_GATE_OFF,0.6881818181818182,0.6472243410458514,0.7611111111111111,1980
OpenBMI_ERP,OpenBMI,0,0,6,XS_FT_GATE_OFF,0.9018181818181819,0.8341963126823073,0.8909090909090909,1980
OpenBMI_ERP,OpenBMI,1,0,14,XS_FT_GATE_OFF,0.7551515151515151,0.7329809040888984,0.8383838383838383,1980
OpenBMI_ERP,OpenBMI,1,0,2,XS_FT_GATE_OFF,0.9781818181818183,0.9487410490998618,0.9696969696969697,1980
OpenBMI_ERP,OpenBMI,1,0,26,XS_FT_GATE_OFF,0.9396969696969697,0.9010132675494336,0.9398989898989899,1980
OpenBMI_ERP,OpenBMI,1,0,28,XS_FT_GATE_OFF,0.9284848484848485,0.8725251448980282,0.9191919191919192,1980
OpenBMI_ERP,OpenBMI,1,0,31,XS_FT_GATE_OFF,0.9199999999999999,0.8611111111111112,0.9111111111111111,1980
OpenBMI_ERP,OpenBMI,1,0,35,XS_FT_GATE_OFF,0.8927272727272727,0.8736050117265587,0.9262626262626262,1980
OpenBMI_ERP,OpenBMI,1,0,40,XS_FT_GATE_OFF,0.7963636363636364,0.8029440097344983,0.8929292929292929,1980
OpenBMI_ERP,OpenBMI,1,0,43,XS_FT_GATE_OFF,0.94,0.8735883321037399,0.9181818181818182,1980
OpenBMI_ERP,OpenBMI,2,0,1,XS_FT_GATE_OFF,0.7645454545454546,0.7542524815252087,0.8580808080808081,1980
OpenBMI_ERP,OpenBMI,2,0,11,XS_FT_GATE_OFF,0.9709090909090909,0.964155370177268,0.9797979797979798,1980
OpenBMI_ERP,OpenBMI,2,0,23,XS_FT_GATE_OFF,0.54,0.5426341713042921,0.803030303030303,1980
OpenBMI_ERP,OpenBMI,2,0,30,XS_FT_GATE_OFF,0.9203030303030303,0.9088817710374137,0.947979797979798,1980
OpenBMI_ERP,OpenBMI,2,0,48,XS_FT_GATE_OFF,0.7803030303030303,0.7911511030694459,0.8883838383838384,1980
OpenBMI_ERP,OpenBMI,2,0,50,XS_FT_GATE_OFF,0.5130303030303031,0.511946331877985,0.7661616161616162,1980
OpenBMI_ERP,OpenBMI,2,0,52,XS_FT_GATE_OFF,0.7836363636363637,0.8055357142857142,0.9,1980
OpenBMI_ERP,OpenBMI,2,0,8,XS_FT_GATE_OFF,0.7575757575757576,0.760725075528701,0.8686868686868687,1980
OpenBMI_ERP,OpenBMI,3,0,10,XS_FT_GATE_OFF,0.7515151515151515,0.7449270798480585,0.8545454545454545,1980
OpenBMI_ERP,OpenBMI,3,0,16,XS_FT_GATE_OFF,0.8024242424242425,0.8076272722346887,0.8949494949494949,1980
OpenBMI_ERP,OpenBMI,3,0,19,XS_FT_GATE_OFF,0.9690909090909091,0.9342216225333109,0.9606060606060606,1980
OpenBMI_ERP,OpenBMI,3,0,22,XS_FT_GATE_OFF,0.9172727272727272,0.8599235227039724,0.9106060606060606,1980
OpenBMI_ERP,OpenBMI,3,0,27,XS_FT_GATE_OFF,0.9696969696969697,0.9357709196948691,0.9616161616161616,1980
OpenBMI_ERP,OpenBMI,3,0,34,XS_FT_GATE_OFF,0.896060606060606,0.8043945428199076,0.8631313131313131,1980
OpenBMI_ERP,OpenBMI,3,0,45,XS_FT_GATE_OFF,0.7306060606060606,0.742456646965614,0.8641414141414141,1980
OpenBMI_ERP,OpenBMI,3,0,49,XS_FT_GATE_OFF,0.9042424242424243,0.8199903422538317,0.8767676767676768,1980
OpenBMI_ERP,OpenBMI,4,0,20,XS_FT_GATE_OFF,0.8787878787878789,0.8611744084136722,0.9191919191919192,1980
OpenBMI_ERP,OpenBMI,4,0,21,XS_FT_GATE_OFF,0.843030303030303,0.8058436432374885,0.8797979797979798,1980
OpenBMI_ERP,OpenBMI,4,0,41,XS_FT_GATE_OFF,0.8939393939393939,0.8515274918874911,0.908080808080808,1980
OpenBMI_ERP,OpenBMI,4,0,44,XS_FT_GATE_OFF,0.9203030303030303,0.8689939846993222,0.9176767676767676,1980
OpenBMI_ERP,OpenBMI,4,0,46,XS_FT_GATE_OFF,0.7015151515151514,0.6817351550513011,0.8055555555555556,1980
OpenBMI_ERP,OpenBMI,4,0,53,XS_FT_GATE_OFF,0.6781818181818182,0.6944222528869199,0.8454545454545455,1980
OpenBMI_ERP,OpenBMI,4,0,7,XS_FT_GATE_OFF,0.8496969696969696,0.817569299375648,0.8888888888888888,1980
OpenBMI_ERP,OpenBMI,4,0,9,XS_FT_GATE_OFF,0.7293939393939395,0.7567944507299639,0.8803030303030303,1980
OpenBMI_MI,OpenBMI,0,0,15,XS_FT_GATE_OFF,0.87,0.8696741854636592,0.87,100
OpenBMI_MI,OpenBMI,0,0,3,XS_FT_GATE_OFF,0.9199999999999999,0.9198717948717949,0.92,100
OpenBMI_MI,OpenBMI,0,0,32,XS_FT_GATE_OFF,0.74,0.7373737373737375,0.74,100
OpenBMI_MI,OpenBMI,0,0,33,XS_FT_GATE_OFF,0.9299999999999999,0.9299929992999301,0.93,100
OpenBMI_MI,OpenBMI,0,0,38,XS_FT_GATE_OFF,0.77,0.7688674505074866,0.77,100
OpenBMI_MI,OpenBMI,0,0,47,XS_FT_GATE_OFF,0.87,0.8696741854636592,0.87,100
OpenBMI_MI,OpenBMI,0,0,5,XS_FT_GATE_OFF,0.74,0.7390606182256123,0.74,100
OpenBMI_MI,OpenBMI,0,0,6,XS_FT_GATE_OFF,0.96,0.959983993597439,0.96,100
OpenBMI_MI,OpenBMI,1,0,14,XS_FT_GATE_OFF,0.82,0.82,0.82,100
OpenBMI_MI,OpenBMI,1,0,2,XS_FT_GATE_OFF,0.77,0.7699769976997699,0.77,100
OpenBMI_MI,OpenBMI,1,0,26,XS_FT_GATE_OFF,0.9,0.898989898989899,0.9,100
OpenBMI_MI,OpenBMI,1,0,28,XS_FT_GATE_OFF,0.9099999999999999,0.9095568284594513,0.91,100
OpenBMI_MI,OpenBMI,1,0,31,XS_FT_GATE_OFF,0.8300000000000001,0.8291628982011858,0.83,100
