regime,trainable_modules,frozen_modules,gate_shrinkage,worst_task_delta_pp,equal_task_mean_delta_pp,positive_tasks,positive_folds,eligible_4_of_4,simplicity_rank,OpenBMI_ERP_delta_pp,OpenBMI_MI_delta_pp,OpenBMI_SSVEP_delta_pp,WBCIC_MI_delta_pp
FT1_GATE_HEAD_WEAK_SHRINK,lambda_channel;channel_mlp;classifier_head,temporal_multi_scale_stems;spatial_blocks;scale_gate;temporal_feature_blocks;pooling;embedding_projection;all_residual_temporal_mixers,0.0001,-0.8464646464646531,1.5550568181818147,2,12,False,1,-0.8464646464646531,2.9666666666666575,4.300000000000003,-0.1999747474747493
FT2_GATE_EMBEDDING_HEAD_WEAK_SHRINK,lambda_channel;channel_mlp;embedding;classifier_head,temporal_multi_scale_stems;spatial_blocks;scale_gate;temporal_feature_blocks;pooling;all_residual_temporal_mixers,0.0001,-0.9494949494949555,1.447582070707067,2,12,False,2,-0.9494949494949555,2.6333333333333275,4.2666666666666675,-0.1601767676767718
FT3_GATE_LAST_MIXER_EMBEDDING_HEAD_WEAK_SHRINK,lambda_channel;channel_mlp;embedding;last_residual_temporal_mixer;classifier_head,temporal_multi_scale_stems;spatial_blocks;scale_gate;temporal_feature_blocks;pooling;residual_temporal_mixers_0_to_1,0.0001,-0.9737373737373843,1.4281881313131266,2,12,False,3,-0.9737373737373843,2.6333333333333275,4.233333333333333,-0.1801767676767696
