task,dataset,fold,selected_epoch,lambda_before,lambda_after,signed_amplitude_before,signed_amplitude_after,absolute_amplitude_before,absolute_amplitude_after,amplitude_change,amplitude_percent_change,mean_correction_before,mean_correction_after,median_correction_before,median_correction_after,max_correction_before,max_correction_after
OpenBMI_ERP,OpenBMI,0,9,-0.3681192398071289,-0.3669821321964264,-0.3523454964160919,-0.3513491749763489,0.3523454964160919,0.3513491749763489,0.000996321439743042,-0.2827683196967745,0.15077167749404907,0.1583486646413803,0.15685638785362244,0.16477060317993164,0.3523131012916565,0.3512639105319977
OpenBMI_ERP,OpenBMI,1,6,-0.38524359464645386,-0.3614810109138489,-0.36725252866744995,-0.3465178608894348,0.36725252866744995,0.3465178608894348,0.020734667778015137,-5.645888362770278,0.14928266406059265,0.12458929419517517,0.15547411143779755,0.12930724024772644,0.3672524094581604,0.3465174734592438
OpenBMI_ERP,OpenBMI,2,14,0.3088686466217041,0.3412992060184479,0.2994074821472168,0.3286367356777191,0.2994074821472168,0.3286367356777191,0.02922925353050232,9.762365763501688,0.18139775097370148,0.2064899504184723,0.1925627589225769,0.2187120020389557,0.2994074821472168,0.3286367356777191
OpenBMI_ERP,OpenBMI,3,6,-0.42203640937805176,-0.42626768350601196,-0.3986445963382721,-0.4021974503993988,0.3986445963382721,0.4021974503993988,-0.003552854061126709,0.8912334680467899,0.12182778120040894,0.12942661345005035,0.12215908616781235,0.13059185445308685,0.39693424105644226,0.39916783571243286
OpenBMI_ERP,OpenBMI,4,5,-0.41113436222076416,-0.4261991083621979,-0.38943541049957275,-0.40213996171951294,0.38943541049957275,0.40213996171951294,-0.012704551219940186,3.2622999546041855,0.14980649948120117,0.18649864196777344,0.1528628170490265,0.19117657840251923,0.3893764317035675,0.4018484055995941
OpenBMI_MI,OpenBMI,0,5,-0.24295373260974884,-0.2421434223651886,-0.23828372359275818,-0.2375192791223526,0.23828372359275818,0.2375192791223526,0.0007644444704055786,-0.3208127096889178,0.06254437565803528,0.05751984566450119,0.04643198102712631,0.04022720828652382,0.23745957016944885,0.2365548312664032
OpenBMI_MI,OpenBMI,1,3,0.25207215547561646,0.2541494071483612,0.24686552584171295,0.24881517887115479,0.24686552584171295,0.24881517887115479,0.0019496530294418335,0.7897631809035687,0.0775110125541687,0.0792471393942833,0.06945487856864929,0.07268594205379486,0.2467484325170517,0.2486877143383026
OpenBMI_MI,OpenBMI,2,3,0.21513916552066803,0.21592599153518677,0.21188026666641235,0.21263164281845093,0.21188026666641235,0.21263164281845093,0.0007513761520385742,0.35462299715789614,0.059885233640670776,0.06321296095848083,0.06337633728981018,0.06761810183525085,0.20512895286083221,0.2047373354434967
OpenBMI_MI,OpenBMI,3,4,0.2216212898492813,0.22531236708164215,0.21806280314922333,0.2215755134820938,0.21806280314922333,0.2215755134820938,0.0035127103328704834,1.6108709427470251,0.06361281871795654,0.06723232567310333,0.06361573189496994,0.06909804046154022,0.2176978588104248,0.221050426363945
OpenBMI_MI,OpenBMI,4,4,0.2151532620191574,0.21798478066921234,0.2118937224149704,0.2145964801311493,0.2118937224149704,0.2145964801311493,0.002702757716178894,1.2755251478785399,0.08103614300489426,0.08487403392791748,0.07847180962562561,0.08340737968683243,0.2118930220603943,0.21459558606147766
OpenBMI_SSVEP,OpenBMI,0,3,0.21013866364955902,0.21000845730304718,0.20709922909736633,0.206974595785141,0.20709922909736633,0.206974595785141,-0.0001246333122253418,-0.060180481003503046,0.06260634958744049,0.06173419952392578,0.0618063285946846,0.06019013375043869,0.20709922909736633,0.206974595785141
OpenBMI_SSVEP,OpenBMI,1,3,-0.1812230497598648,-0.18038372695446014,-0.1792648881673813,-0.17845240235328674,0.1792648881673813,0.17845240235328674,0.0008124858140945435,-0.45323198669887765,0.039786748588085175,0.037395551800727844,0.03256070613861084,0.030125770717859268,0.1772533506155014,0.1762152910232544
OpenBMI_SSVEP,OpenBMI,2,3,0.1560928374528885,0.15507632493972778,0.15483735501766205,0.15384505689144135,0.15483735501766205,0.15384505689144135,-0.0009922981262207031,-0.6408648133439849,0.030537402257323265,0.029220784083008766,0.030806617811322212,0.028877966105937958,0.15472868084907532,0.15380053222179413
OpenBMI_SSVEP,OpenBMI,3,3,0.1439836174249649,0.14872248470783234,0.14299681782722473,0.14763560891151428,0.14299681782722473,0.14763560891151428,0.004638791084289551,3.2439820373446,0.04491953179240227,0.05066864937543869,0.047649260610342026,0.053341448307037354,0.1292557418346405,0.129988893866539
OpenBMI_SSVEP,OpenBMI,4,3,0.18066880106925964,0.18442955613136292,0.178728386759758,0.18236654996871948,0.178728386759758,0.18236654996871948,0.003638163208961487,2.0355821897792934,0.06521270424127579,0.0682167336344719,0.06747600436210632,0.0706094354391098,0.17232882976531982,0.17598719894886017
WBCIC_MI,WBCIC,0,3,0.3717688322067261,0.38268721103668213,0.35553789138793945,0.36503884196281433,0.35553789138793945,0.36503884196281433,0.009500950574874878,2.6722751090707426,0.13499441742897034,0.15836885571479797,0.13770315051078796,0.16106829047203064,0.28093600273132324,0.2823292315006256
WBCIC_MI,WBCIC,1,3,0.2274724841117859,0.23398137092590332,0.22362859547138214,0.2298029065132141,0.22362859547138214,0.2298029065132141,0.00617431104183197,2.7609666951658247,0.05046238750219345,0.05737101286649704,0.05376792699098587,0.061428286135196686,0.22362859547138214,0.2298029065132141
WBCIC_MI,WBCIC,2,4,0.2736920416355133,0.27834558486938477,0.2670569121837616,0.2713731825351715,0.2670569121837616,0.2713731825351715,0.004316270351409912,1.616236148360725,0.07593043148517609,0.08882273733615875,0.0810394138097763,0.09582679718732834,0.2670569121837616,0.2713731825351715
WBCIC_MI,WBCIC,3,5,-0.04557416960597038,-0.07203701883554459,-0.0455426424741745,-0.07191266864538193,0.0455426424741745,0.07191266864538193,-0.026370026171207428,57.90183603457104,0.011179990135133266,0.023784089833498,0.011235094629228115,0.023874036967754364,0.02776939980685711,0.028354929760098457
WBCIC_MI,WBCIC,4,12,0.3717145025730133,0.3858362138271332,0.35549041628837585,0.3677650988101959,0.35549041628837585,0.3677650988101959,0.012274682521820068,3.4528870426320513,0.1058969795703888,0.13904190063476562,0.11045734584331512,0.15097010135650635,0.35549041628837585,0.3677650988101959
