task,dataset,fold,seed,checkpoint_path,checkpoint_sha256,training_architecture,selected_epoch,stored_inner_val_BA,stored_checkpoint_sha256,stored_result_source,split_sha256,normalizer_path,normalizer_sha256,code_source_path,code_source_sha256,code_commit_before_ft,total_parameter_count
OpenBMI_ERP,OpenBMI,0,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold0_litebn_xs/selected_best.pt,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,LiteBN_XS,,,,,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold0.npz,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_ERP,OpenBMI,1,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold1_litebn_xs/selected_best.pt,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,LiteBN_XS,,,,,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold1.npz,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_ERP,OpenBMI,2,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold2_litebn_xs/selected_best.pt,7b640572273476f2c9529630a706194e5d0bec75d8d42c7f2d9c40bd06c68086,LiteBN_XS,,,,,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold2.npz,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_ERP,OpenBMI,3,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold3_litebn_xs/selected_best.pt,1230cf93472f7bb3f81a4c38e1ca3c3463be40d50e8a18d7be07a2ffbfcdf823,LiteBN_XS,,,,,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold3.npz,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_ERP,OpenBMI,4,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_erp/fold4_litebn_xs/selected_best.pt,ea1b30eee85289707c1151d2380f683c7d617a435c313470a2b989d94c3da2f1,LiteBN_XS,,,,,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold4.npz,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_MI,OpenBMI,0,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold0_litebn_xs/selected_best.pt,5211f4faca2be10f67b149e8e3186e19962eaa3687f69b2ac02c9c0fc81e6857,LiteBN_XS,58.0,0.7683333333333332,5211f4faca2be10f67b149e8e3186e19962eaa3687f69b2ac02c9c0fc81e6857,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/outputs/STAGE_A_INNERVAL_RESULTS.csv,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_MI,OpenBMI,1,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold1_litebn_xs/selected_best.pt,ecbadf46786c166497f0d1c790cb0597dc7e9146465e97b797f34142401f968c,LiteBN_XS,53.0,0.8099999999999999,ecbadf46786c166497f0d1c790cb0597dc7e9146465e97b797f34142401f968c,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/outputs/STAGE_A_INNERVAL_RESULTS.csv,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold1.npz,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_MI,OpenBMI,2,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold2_litebn_xs/selected_best.pt,a08650e49617551c705b49a346ea5745bd0bc05b4b731791a4ad25a64bd37d4d,LiteBN_XS,58.0,0.805,a08650e49617551c705b49a346ea5745bd0bc05b4b731791a4ad25a64bd37d4d,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/outputs/STAGE_A_INNERVAL_RESULTS.csv,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold2.npz,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_MI,OpenBMI,3,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold3_litebn_xs/selected_best.pt,13d7c17d04ccd9096d1df47988876f23fedabf1b9092ee47e7f9c426f661fdbc,LiteBN_XS,60.0,0.8266666666666667,13d7c17d04ccd9096d1df47988876f23fedabf1b9092ee47e7f9c426f661fdbc,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/outputs/STAGE_A_INNERVAL_RESULTS.csv,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold3.npz,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
OpenBMI_MI,OpenBMI,4,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_mi/fold4_litebn_xs/selected_best.pt,4738b01561d03d42a89344e23f72ff932eb2b8e938d0f579985d1b199b4c0061,LiteBN_XS,47.0,0.7516666666666666,4738b01561d03d42a89344e23f72ff932eb2b8e938d0f579985d1b199b4c0061,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/outputs/STAGE_A_INNERVAL_RESULTS.csv,d313f8e1f2c105d0b387c607fb781b61d9a05d92875759e51ed0d4c6d889f42a,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold4.npz,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,/root/rivermind-data/CRCICLR_TASK_GENERALITY_WORK/experiments/persist_eeg_litebn_x_singlemodel_seed0_v1/code/litebn_x.py,5fa225c30f1938146a71f7655d56c487f457b8ab4a35c1a724a527e606c7dbf5,bcb73cd323d265801d8c2f6eb4ec064b92a41ae8,219767
