fold,seed,draw,rank,dims,BA,delta_BA_vs_KEEP,rescue_prevalence,harm_prevalence,pair_oracle_headroom,outer_test_used
0,0,0,4,"[0, 7, 12, 15]",0.7873529411764706,-0.047647058823529376,0.039264705882352945,0.08691176470588236,0.03926470588235298,False
0,0,1,4,"[7, 12, 13, 19]",0.723970588235294,-0.11102941176470593,0.06161764705882353,0.1726470588235294,0.061617647058823555,False
0,0,2,4,"[12, 13, 14, 16]",0.7055882352941176,-0.12941176470588234,0.06338235294117647,0.1927941176470588,0.06338235294117656,False
0,0,3,4,"[0, 2, 3, 15]",0.7904411764705882,-0.04455882352941176,0.042352941176470586,0.08691176470588236,0.04235294117647059,False
0,0,4,4,"[3, 14, 17, 19]",0.8247058823529412,-0.010294117647058787,0.02426470588235294,0.03455882352941177,0.024264705882352966,False
0,0,5,4,"[7, 10, 11, 19]",0.8126470588235294,-0.022352941176470575,0.03294117647058824,0.05529411764705883,0.03294117647058825,False
0,0,6,4,"[1, 3, 8, 10]",0.8186764705882352,-0.016323529411764737,0.031911764705882355,0.04823529411764706,0.03191176470588242,False
0,0,7,4,"[2, 6, 14, 15]",0.7798529411764705,-0.05514705882352944,0.04470588235294118,0.09985294117647059,0.04470588235294115,False
0,0,8,4,"[6, 10, 14, 19]",0.8141176470588236,-0.020882352941176352,0.03602941176470588,0.056911764705882356,0.036029411764705976,False
0,0,9,4,"[3, 7, 13, 14]",0.7155882352941176,-0.11941176470588233,0.06382352941176471,0.18323529411764705,0.06382352941176472,False
0,0,10,4,"[8, 16, 18, 19]",0.8295588235294118,-0.0054411764705881716,0.021176470588235293,0.02661764705882353,0.021176470588235352,False
0,0,11,4,"[1, 5, 14, 19]",0.8269117647058823,-0.008088235294117618,0.027205882352941177,0.03529411764705882,0.02720588235294119,False
0,0,12,4,"[2, 14, 16, 19]",0.819264705882353,-0.01573529411764696,0.026911764705882354,0.04264705882352941,0.026911764705882413,False
0,0,13,4,"[4, 8, 15, 18]",0.7944117647058824,-0.04058823529411759,0.040882352941176474,0.08147058823529411,0.04088235294117648,False
0,0,14,4,"[4, 8, 11, 13]",0.7277941176470588,-0.10720588235294115,0.06088235294117647,0.16808823529411765,0.06088235294117661,False
0,0,15,4,"[7, 10, 11, 16]",0.8108823529411765,-0.024117647058823466,0.03720588235294118,0.06132352941176471,0.0372058823529412,False
0,0,16,4,"[6, 9, 15, 17]",0.789264705882353,-0.045735294117646985,0.0413235294117647,0.08705882352941176,0.04132352941176465,False
0,0,17,4,"[2, 6, 8, 11]",0.8332352941176471,-0.0017647058823528905,0.010735294117647058,0.0125,0.010735294117647065,False
0,0,18,4,"[0, 1, 2, 14]",0.8276470588235294,-0.007352941176470562,0.022647058823529412,0.03,0.022647058823529465,False
0,0,19,4,"[2, 3, 10, 18]",0.8164705882352941,-0.018529411764705905,0.03073529411764706,0.04926470588235294,0.030735294117647083,False
0,0,20,4,"[5, 10, 15, 17]",0.776470588235294,-0.05852941176470594,0.043823529411764706,0.10235294117647059,0.04382352941176482,False
0,0,21,4,"[2, 3, 16, 18]",0.8300000000000001,-0.004999999999999893,0.019852941176470587,0.024852941176470588,0.01985294117647063,False
0,0,22,4,"[6, 10, 14, 15]",0.7638235294117647,-0.07117647058823529,0.04735294117647059,0.11852941176470588,0.0473529411764706,False
0,0,23,4,"[7, 8, 13, 18]",0.7280882352941176,-0.10691176470588237,0.0611764705882353,0.16808823529411765,0.06117647058823539,False
