action,variant,classifier,mean_AUROC,mean_AUPRC,mean_deployable_delta_BA,positive_runs,mean_action_rate,total_net_rescues,mean_routing_precision,mean_positive_router_folds,n_runs
amplify,counterfactual_only,logistic,0.9735581231813155,0.4117798931309095,-0.0008333333333333711,2,0.010392156862745097,-34,0.45985915492957746,1.8333333333333333,6
amplify,counterfactual_only,shallow_mlp,0.9454847605742355,0.2772697119517115,-7.352941176471302e-05,1,0.0001715686274509804,-3,0.19444444444444445,0.16666666666666666,6
amplify,entropy_only,logistic,0.9131861215582023,0.1846041204960649,-0.0007107843137255284,0,0.021666666666666667,-29,0.16032795113018708,1.0,6
amplify,entropy_only,shallow_mlp,0.9013270610298997,0.15988642150245755,-0.0005882352941176302,1,0.014509803921568629,-24,0.15766582580534558,1.1666666666666667,6
amplify,full_protected,logistic,0.9782753093256303,0.42651097564281154,-0.0018137254901960571,0,0.013455882352941177,-74,0.4304133677359951,1.6666666666666667,6
amplify,full_protected,shallow_mlp,0.9636336747909259,0.34880926931672257,-0.00017156862745097237,1,0.000661764705882353,-7,0.2261904761904762,0.3333333333333333,6
amplify,geometry_only,logistic,0.9585289432347756,0.30920827024708336,-0.0011274509803922046,1,0.01178921568627451,-46,0.3439698735703809,1.0,6
amplify,geometry_only,shallow_mlp,0.9323294926839386,0.23214158240145874,-0.0007352941176470748,0,0.003137254901960784,-30,0.12817460317460316,0.0,6
erase,counterfactual_only,logistic,0.9326296673097633,0.4153611837591977,-0.0010539215686274546,1,0.015171568627450982,-43,0.4675853234050981,2.1666666666666665,6
erase,counterfactual_only,shallow_mlp,0.8989606444804553,0.32111325169760596,0.00031862745098036144,1,0.004313725490196078,13,0.2677469135802469,0.8333333333333334,6
erase,entropy_only,logistic,0.7947156843961145,0.19149392489751416,-0.0015686274509803904,1,0.025098039215686273,-64,0.17228868663002342,1.1666666666666667,6
erase,entropy_only,shallow_mlp,0.7917544991056809,0.19165365527577782,-0.0018872549019607516,0,0.02713235294117647,-77,0.18548337228999848,1.5,6
erase,full_protected,logistic,0.9299188961772228,0.39637067480993804,-0.0010784313725490195,2,0.019166666666666665,-44,0.45584485433476646,1.5,6
erase,full_protected,shallow_mlp,0.9061369371974702,0.35361541028465887,-0.0003431372549019633,1,0.003946078431372549,-14,0.20623563218390806,0.6666666666666666,6
erase,geometry_only,logistic,0.882129417562007,0.3291305736293772,-0.00044117647058827814,2,0.01269607843137255,-18,0.4579092522347472,1.6666666666666667,6
erase,geometry_only,shallow_mlp,0.8241839902832219,0.2764664218693864,-2.450980392156484e-05,2,0.003137254901960784,-1,0.2947772657450076,1.0,6
geometry,counterfactual_only,logistic,0.91194026400075,0.2607698478540173,-0.0005637254901961023,0,0.0011029411764705882,-23,0.041666666666666664,0.0,6
geometry,counterfactual_only,shallow_mlp,0.9003960520046231,0.2586074168788917,-0.00019607843137255573,0,0.0005882352941176471,-8,0.05555555555555555,0.0,6
geometry,entropy_only,logistic,0.8575017514789343,0.1867072201065825,-0.0010294117647059269,0,0.025588235294117648,-42,0.1653969452789736,0.8333333333333334,6
geometry,entropy_only,shallow_mlp,0.854965266441137,0.18633768983291196,-0.0004166666666666763,2,0.019901960784313725,-17,0.2321612030858714,1.5,6
geometry,full_protected,logistic,0.9603584566055564,0.4090772606090547,-0.0028676470588235117,1,0.020024509803921568,-117,0.4267952061334132,1.8333333333333333,6
geometry,full_protected,shallow_mlp,0.9529784123226919,0.3712125191866269,-0.0002450980392156854,0,0.0011274509803921569,-10,0.1388235294117647,0.16666666666666666,6
geometry,geometry_only,logistic,0.9604858076439924,0.4092234183238548,-0.0020833333333333446,1,0.01698529411764706,-85,0.44715133789027317,1.3333333333333333,6
geometry,geometry_only,shallow_mlp,0.946473632852928,0.33125287372028034,0.0,0,0.0,0,0.0,0.0,6
