version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,max_epochs,early_stopping_patience,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,median_pair_epoch,stage1_rank,selected,fold,seed
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,24,5,0.8377857142857144,0.8355714285714285,0.0022142857142857684,0.0012037356818823382,5,0,0,0,1,True,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,24,5,0.8361904761904763,0.8362142857142857,-2.380952380949264e-05,0.0004902681019517508,1,3,3,3,2,True,0,1
V2,V2__lg0.1__ld0.01__lr0.0003__b8,stage2,0.1,0.01,0.0003,8,24,5,0.8418095238095239,0.8410714285714287,0.0007380952380952044,0.0007839084587216457,4,0,0,0,1,True,1,0
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,24,5,0.821595238095238,0.8210476190476189,0.0005476190476190856,0.0011703053073756318,3,4,5,4,1,True,1,1
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,24,5,0.8099523809523811,0.8097857142857142,0.00016666666666671494,0.0009630356388646092,2,2,2,2,1,True,2,0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,24,5,0.835095238095238,0.8354285714285714,-0.00033333333333336325,0.0009233675918888501,2,2,4,3,1,True,2,1
