version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,max_epochs,early_stopping_patience,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,median_pair_epoch,stage1_rank,fold,seed
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,24,5,0.8365952380952381,0.8355714285714285,0.0010238095238095,0.00072060695002,4,0,0,0.0,4,0,0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,24,5,0.8373333333333333,0.8355714285714285,0.0017619047619047,0.0011527350892295,4,0,0,0.0,3,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,24,5,0.8377857142857144,0.8355714285714285,0.0022142857142857,0.0012037356818823,5,0,0,0.0,1,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,24,5,0.8386428571428572,0.8368571428571429,0.0017857142857143,0.0018070158058105,4,2,2,2.0,2,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,24,5,0.8384761904761906,0.8369047619047618,0.0015714285714285,0.001884415136896,3,2,2,2.0,1,0,0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,24,5,0.8377857142857144,0.8358571428571426,0.0019285714285714,0.0014914723584158,4,0,2,1.0,1,0,0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,24,5,0.8379047619047618,0.8369047619047618,0.0009999999999999,0.0009689042833035,3,2,2,2.0,1,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,24,5,0.8377857142857144,0.8355714285714285,0.0022142857142857,0.0012037356818823,5,0,0,0.0,1,0,0
V2,V2__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,24,5,0.8384761904761906,0.8369047619047618,0.0015714285714285,0.001884415136896,3,2,2,2.0,2,0,0
V2,V2__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,24,5,0.8386428571428572,0.837142857142857,0.0015,0.0020503857277725,3,2,4,3.0,2,0,0
V2,V2__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,24,5,0.8384761904761906,0.8369047619047618,0.0015714285714285,0.001884415136896,3,2,2,2.0,2,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,24,5,0.8386428571428572,0.8368571428571429,0.0017857142857143,0.0018070158058105,4,2,2,2.0,2,0,0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,24,5,0.8361428571428572,0.8365714285714286,-0.0004285714285714,0.0007284313590847,1,4,4,,1,0,1
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,24,5,0.8361666666666666,0.8371428571428572,-0.0009761904761904,0.0025157102746423,2,4,7,,4,0,1
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,24,5,0.8359285714285715,0.8365714285714286,-0.0006428571428571,0.0025990579140943,2,3,4,,2,0,1
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,24,5,0.8357857142857142,0.8365714285714286,-0.0007857142857143,0.0023299294900428,2,3,4,,3,0,1
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,24,5,0.8360476190476189,0.8367857142857142,-0.0007380952380952,0.0007839084587216,0,3,3,,1,0,1
