version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds,fold,seed
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8528571428571429,0.8521428571428571,0.0007142857142857,5,4,4.503091812133789,0,0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.7885714285714286,0.0014285714285714,0,0,2.2923028469085693,0,0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8207142857142857,0.8185714285714285,0.0021428571428572,0,0,2.217693328857422,0,0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8835714285714286,0.8835714285714286,0.0,0,0,2.1765079498291016,0,0
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8358333333333333,0.835,0.0008333333333333,2,2,3.159622430801392,0,0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8557142857142856,0.8521428571428571,0.0035714285714285,5,4,4.307147979736328,0,0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.7885714285714286,0.0014285714285714,0,0,2.3551137447357178,0,0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8207142857142857,0.8185714285714285,0.0021428571428572,0,0,2.564396858215332,0,0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8835714285714286,0.8835714285714286,0.0,0,0,2.8147754669189453,0,0
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8366666666666667,0.835,0.0016666666666667,2,2,3.5931198596954346,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8564285714285714,0.8521428571428571,0.0042857142857143,5,4,4.605474472045898,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.7885714285714286,0.0014285714285714,0,0,2.596703052520752,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8207142857142857,0.8185714285714285,0.0021428571428572,0,0,2.533792495727539,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8835714285714286,0.0007142857142857,0,0,2.4467642307281494,0,0
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8375,0.835,0.0025,2,2,3.5304105281829834,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8571428571428572,0.8521428571428571,0.0050000000000001,5,4,4.543428421020508,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.7892857142857143,0.7885714285714286,0.0007142857142856,0,0,2.2601778507232666,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.825,0.825,0.0,10,11,6.259637117385864,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8835714285714286,0.0007142857142857,0,0,2.1826579570770264,0,0
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8375,0.835,0.0025,2,2,3.0227866172790527,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8557142857142856,0.8507142857142858,0.0049999999999998,20,11,8.874186992645264,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.7942857142857143,0.7921428571428571,0.0021428571428571,3,3,3.3409535884857178,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8214285714285714,0.8207142857142857,0.0007142857142856,0,0,2.195600986480713,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8842857142857143,0.0,0,0,2.225548505783081,0,0
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8366666666666667,0.8366666666666667,0.0,2,2,3.122896671295166,0,0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8564285714285714,0.8521428571428571,0.0042857142857143,5,4,4.041560888290405,0,0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.79,0.0,0,6,4.4731409549713135,0,0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8207142857142857,0.8185714285714285,0.0021428571428572,0,0,2.2243123054504395,0,0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8835714285714286,0.0007142857142857,0,0,2.216578483581543,0,0
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8375,0.835,0.0025,2,2,3.0773091316223145,0,0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8528571428571428,0.8507142857142858,0.002142857142857,12,11,6.6259765625,0,0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.7942857142857143,0.7921428571428571,0.0021428571428571,3,3,3.3454084396362305,0,0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8214285714285714,0.8207142857142857,0.0007142857142856,0,0,2.2528083324432373,0,0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8842857142857143,0.0,0,0,2.2181615829467773,0,0
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8366666666666667,0.8366666666666667,0.0,2,2,3.039057970046997,0,0
