block,dataset,task,subject_id,future_session,fold,seed_i,seed_j,family,fusion_rule,trials,trial_identity_sha256,label_sha256,class_order,BA_A,BA_B,macro_F1_A,macro_F1_B,ensemble_BA,ensemble_macro_F1,gain_over_best_pp,gain_over_mean_pp,exclusive_correct_fraction,correct_A,correct_B,ensemble_correct,orientation_count,orientation_BA_difference_pp,G_EE_pp,G_LL_pp,G_EL_pp,D_avg_pp,D_best_pp
OpenBMI_MI,OpenBMI,MI,12,2,0,0,1,Heterogeneous_B,LOGIT50,100,353ce0c48fce052253e6b14eaa93d3f104636c10b94334617ba32f0f664f08fd,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.71,0.7,0.7092731829573935,0.6875,0.73,0.7266929851199515,2.0000000000000018,2.500000000000002,0.27,71,70,73,,,,,,,
OpenBMI_MI,OpenBMI,MI,12,2,0,0,1,EEGNet_homogeneous,PROB50,100,353ce0c48fce052253e6b14eaa93d3f104636c10b94334617ba32f0f664f08fd,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.7,0.71,0.696969696969697,0.7092731829573935,0.72,0.7198879551820728,1.0000000000000009,1.5000000000000013,0.19,70,71,72,,,,,,,
OpenBMI_MI,OpenBMI,MI,12,2,0,0,1,LiteBN_homogeneous,PROB50,100,353ce0c48fce052253e6b14eaa93d3f104636c10b94334617ba32f0f664f08fd,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.7,0.79,0.6875,0.7874278773155178,0.76,0.7552019583843329,-3.0000000000000027,1.5000000000000013,0.17,70,79,76,,,,,,,
OpenBMI_MI,OpenBMI,MI,12,2,0,0,1,Heterogeneous_A,PROB50,100,353ce0c48fce052253e6b14eaa93d3f104636c10b94334617ba32f0f664f08fd,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.7,0.79,0.696969696969697,0.7874278773155178,0.8200000000000001,0.8193496587715776,3.0000000000000027,7.500000000000007,0.21,70,79,82,,,,,,,
OpenBMI_MI,OpenBMI,MI,12,2,0,0,1,Heterogeneous_B,PROB50,100,353ce0c48fce052253e6b14eaa93d3f104636c10b94334617ba32f0f664f08fd,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.71,0.7,0.7092731829573935,0.6875,0.73,0.7266929851199515,2.0000000000000018,2.500000000000002,0.27,71,70,73,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,EEGNet_homogeneous,LOGIT50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.68,0.64,0.6604414261460102,0.6279454319966928,0.6799999999999999,0.6567996567996568,-1.1102230246251565e-14,1.9999999999999907,0.24,68,64,68,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,LiteBN_homogeneous,LOGIT50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.6799999999999999,0.66,0.6794871794871795,0.6427070197562001,0.69,0.6807743795695603,1.0000000000000009,2.0000000000000018,0.3,68,66,69,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,Heterogeneous_A,LOGIT50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.68,0.66,0.6604414261460102,0.6427070197562001,0.7,0.6989160979526294,1.9999999999999907,2.9999999999999916,0.48,68,66,70,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,Heterogeneous_B,LOGIT50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.64,0.6799999999999999,0.6279454319966928,0.6794871794871795,0.6699999999999999,0.6624040920716112,-1.0000000000000009,1.0000000000000009,0.28,64,68,67,,,,,,,
OpenBMI_MI,OpenBMI,MI,13,2,0,0,1,EEGNet_homogeneous,PROB50,100,04a5104ef2755a2212336c7ad3884215ec53d6ebb26c1b9c09fb608b91bf7305,46ee1885ee229f2ab7485e29c2c152b8604fbe9a691a2c5fa4af42543bf01728,"[0, 1]",0.68,0.64,0.6604414261460102,0.6279454319966928,0.6799999999999999,0.6567996567996568,-1.1102230246251565e-14,1.9999999999999907,0.24,68,64,68,,,,,,,
