version,status,mean_delta_BA,positive_runs,ci_lower
V0,PERSIST_ICG_REPRESENTATION_ONLY,-0.001481481481481454,1,-0.006759259259259249
V1,PERSIST_ICG_REPRESENTATION_ONLY,-0.001296296296296277,2,-0.006388888888888898
V2,PERSIST_ICG_REPRESENTATION_ONLY,-0.0009259259259259226,2,-0.00462962962962962
