seed,task,dataset,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256,baseline_reused
1,OpenBMI_ERP,OpenBMI,1,14,LiteBN_XS,0.7687878787878788,0.7481185045381811,0.848989898989899,1980,7b64b161735a355fe4f5cd7bea45e629898cb29ccc0f42af6c02f3ccbc531bf3,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,2,LiteBN_BASELINE,0.9727272727272727,0.9375948726598078,0.9626262626262626,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,2,LiteBN_XS,0.9760606060606061,0.9431940561439358,0.9661616161616161,1980,7b64b161735a355fe4f5cd7bea45e629898cb29ccc0f42af6c02f3ccbc531bf3,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,26,LiteBN_BASELINE,0.9321212121212121,0.8857903783749932,0.9292929292929293,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,26,LiteBN_XS,0.9327272727272727,0.8871945782058142,0.9303030303030303,1980,7b64b161735a355fe4f5cd7bea45e629898cb29ccc0f42af6c02f3ccbc531bf3,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,28,LiteBN_BASELINE,0.9299999999999999,0.8834603316898253,0.9277777777777778,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,28,LiteBN_XS,0.9203030303030304,0.8714511984535924,0.9196969696969697,1980,7b64b161735a355fe4f5cd7bea45e629898cb29ccc0f42af6c02f3ccbc531bf3,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,31,LiteBN_BASELINE,0.9278787878787879,0.8687537435610749,0.9161616161616162,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,31,LiteBN_XS,0.933030303030303,0.8704039928422702,0.9166666666666666,1980,7b64b161735a355fe4f5cd7bea45e629898cb29ccc0f42af6c02f3ccbc531bf3,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,35,LiteBN_BASELINE,0.8972727272727272,0.8470882354011477,0.9035353535353535,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
1,OpenBMI_ERP,OpenBMI,1,35,LiteBN_XS,0.9048484848484848,0.886950365325121,0.9343434343434344,1980,7b64b161735a355fe4f5cd7bea45e629898cb29ccc0f42af6c02f3ccbc531bf3,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,False
1,OpenBMI_ERP,OpenBMI,1,40,LiteBN_BASELINE,0.8200000000000001,0.7062349408315629,0.7727272727272727,1980,edb5e38a084b4b4359d005da7791c226e0705b769c6e5e46038ff7f5ba8d9ad1,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,True
