seed,n_subjects,LiteBN_BA,XS_BA,delta_pp,LiteBN_macro_F1,XS_macro_F1,positive_folds,negative_folds,positive_subjects,harmed_subjects
0,40,0.8325530303030304,0.8349848484848487,0.24318181818181903,0.7849007785444034,0.7965488342503371,3,2,22,18
1,40,0.8318333333333333,0.8423863636363637,1.0553030303030309,0.7842297556349649,0.800767732494634,3,2,28,12
2,40,0.8349242424242422,0.8339772727272727,-0.09469696969696878,0.792683273335233,0.8005163740428618,3,2,19,21
