seed,fold,n_subjects,LiteBN_BA,XS_BA,delta_pp,LiteBN_macro_F1,XS_macro_F1,positive_subjects,harmed_subjects
1,0,8,0.801590909090909,0.8174621212121213,1.587121212121212,0.7508526519739847,0.7674150342846051,7,1
1,1,8,0.8988636363636364,0.8963636363636364,-0.2500000000000002,0.8397542204497881,0.8541002836059506,4,4
1,2,8,0.7551136363636364,0.7750757575757575,1.9962121212121238,0.7303834287125965,0.7405065250928453,6,2
1,3,8,0.8746969696969698,0.8954924242424243,2.0795454545454493,0.8230428764153838,0.861419467735038,7,1
1,4,8,0.8289015151515151,0.8275378787878789,-0.1363636363636303,0.7771156006230716,0.7803973517547305,4,4
2,0,8,0.8175378787878788,0.8112121212121213,-0.6325757575757527,0.7693001437195484,0.7736885452768613,5,3
2,1,8,0.8847348484848485,0.885719696969697,0.09848484848484773,0.8455500379589623,0.83961689628402,2,6
2,2,8,0.7617045454545455,0.7737121212121212,1.2007575757575786,0.7349001640364234,0.7586953549268984,5,3
2,3,8,0.8826136363636363,0.8862121212121212,0.3598484848484837,0.8288848847242258,0.8500603718282906,5,3
2,4,8,0.8280303030303031,0.813030303030303,-1.5000000000000013,0.7847811362370047,0.7805207018982385,2,6
