dataset,comparison,delta_BA,CI95_L,CI95_U,subjects
OpenBMI,full_pda-population,-0.04358333333333333,-0.06183333333333334,-0.026666666666666644,40
OpenBMI,full_pda-ordinary_adapter,-0.013500000000000007,-0.030916666666666686,0.0031687499999999836,40
OpenBMI,full_pda-mean_pooled,0.007916666666666659,0.0019166666666666666,0.016999999999999987,40
OpenBMI,full_pda-no_crossfit,0.009166666666666651,0.0019166666666666635,0.01725208333333331,40
OpenBMI,correct_adapter-wrong_adapter,-0.0014166666666666744,-0.015250000000000019,0.01141666666666665,40
OpenBMI,correct_adapter-shuffled_adapter,0.00966666666666667,-0.010416666666666654,0.02883333333333335,40
OpenBMI,full_pda-single_session,0.07633333333333334,0.05808124999999997,0.09433541666666664,40
WBCIC,full_pda-population,-0.01177342531001069,-0.020353555884043712,-0.003602693602693621,41
WBCIC,full_pda-ordinary_adapter,-0.0012544140592921204,-0.004756939311817381,0.002003377268621161,41
WBCIC,full_pda-mean_pooled,0.0006499958938983233,-0.0001634228463496826,0.0015443048369877586,41
WBCIC,full_pda-no_crossfit,0.00016342284634967305,-0.0008125975199145886,0.0012199228052886509,41
WBCIC,correct_adapter-wrong_adapter,0.00182598341134925,-0.005122033341545545,0.00958460622485012,41
WBCIC,correct_adapter-shuffled_adapter,0.0034901864170156804,-0.0056155559661657155,0.012729736388272957,41
WBCIC,full_pda-single_session,0.007882072760121532,0.0011611131641619391,0.016212275190933725,41
