dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_id,matched_subject,assigned_subject
OpenBMI,outcome,0,1,15,wrong_adapter,pda_r1_lx0.5_lp0.01,0.82,0.8173701298701299,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,41,
OpenBMI,outcome,0,1,15,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7241086587436333,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,19
OpenBMI,outcome,0,1,19,correct_adapter,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6788438378161381,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,19,wrong_adapter,pda_r1_lx0.5_lp0.01,0.66,0.6532027743778049,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,49,
OpenBMI,outcome,0,1,19,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6440513428972063,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,32
OpenBMI,outcome,0,1,32,correct_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7291666666666667,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,32,wrong_adapter,pda_r1_lx0.5_lp0.01,0.69,0.6656239887822242,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,15,
OpenBMI,outcome,0,1,32,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.51,0.45011783189316573,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,33
OpenBMI,outcome,0,1,33,correct_adapter,pda_r1_lx0.5_lp0.01,0.5,0.37996031746031744,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,33,wrong_adapter,pda_r1_lx0.5_lp0.01,0.8400000000000001,0.839421918908069,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,19,
OpenBMI,outcome,0,1,33,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.87,0.8696741854636592,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,41
OpenBMI,outcome,0,1,41,correct_adapter,pda_r1_lx0.5_lp0.01,0.77,0.7699769976997699,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,41,wrong_adapter,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6440513428972063,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,15,
OpenBMI,outcome,0,1,41,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.74,0.7373737373737375,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,46
OpenBMI,outcome,0,1,46,correct_adapter,pda_r1_lx0.5_lp0.01,0.73,0.7175436761167486,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,,
OpenBMI,outcome,0,1,46,wrong_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7028862478777589,False,False,bc3be33d79d8276f082cffe2ad63ced23ab7ef78ebaef0cde2573e358505d438,41,
