dataset,role,fold,seed,subject,method,recipe,BA,macro_F1,future_session_used_for_fit,future_labels_used_for_fit,matched_subject,assigned_subject
OpenBMI,outcome,0,0,41,intercept_only,pda_r1_lx0.5_lp0.01,0.7,0.696969696969697,False,False,,
OpenBMI,outcome,0,0,41,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.71,0.7033248081841432,False,False,,
OpenBMI,outcome,0,0,41,single_session,pda_r1_lx0.5_lp0.01,0.6699999999999999,0.6601791782514674,False,False,,
OpenBMI,outcome,0,0,41,mean_pooled,pda_r1_lx0.5_lp0.01,0.72,0.7181964573268921,False,False,,
OpenBMI,outcome,0,0,41,no_crossfit,pda_r1_lx0.5_lp0.01,0.75,0.74997499749975,False,False,,
OpenBMI,outcome,0,0,41,crossfit_mean,pda_r1_lx0.5_lp0.01,0.72,0.7181964573268921,False,False,,
OpenBMI,outcome,0,0,41,full_pda,pda_r1_lx0.5_lp0.01,0.72,0.7189883580891208,False,False,,
OpenBMI,outcome,0,0,41,correct_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7189883580891208,False,False,,
OpenBMI,outcome,0,0,41,wrong_adapter,pda_r1_lx0.5_lp0.01,0.75,0.742559983523839,False,False,47,
OpenBMI,outcome,0,0,41,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.72,0.7181964573268921,False,False,,46
OpenBMI,outcome,0,0,46,population,pda_r1_lx0.5_lp0.01,0.71,0.6906666666666667,False,False,,
OpenBMI,outcome,0,0,46,intercept_only,pda_r1_lx0.5_lp0.01,0.63,0.5783475783475784,False,False,,
OpenBMI,outcome,0,0,46,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.63,0.5783475783475784,False,False,,
OpenBMI,outcome,0,0,46,single_session,pda_r1_lx0.5_lp0.01,0.59,0.5071523019593701,False,False,,
OpenBMI,outcome,0,0,46,mean_pooled,pda_r1_lx0.5_lp0.01,0.64,0.5989304812834224,False,False,,
OpenBMI,outcome,0,0,46,no_crossfit,pda_r1_lx0.5_lp0.01,0.6799999999999999,0.6527777777777778,False,False,,
OpenBMI,outcome,0,0,46,crossfit_mean,pda_r1_lx0.5_lp0.01,0.64,0.5989304812834224,False,False,,
OpenBMI,outcome,0,0,46,full_pda,pda_r1_lx0.5_lp0.01,0.65,0.612789025334661,False,False,,
OpenBMI,outcome,0,0,46,correct_adapter,pda_r1_lx0.5_lp0.01,0.65,0.612789025334661,False,False,,
OpenBMI,outcome,0,0,46,wrong_adapter,pda_r1_lx0.5_lp0.01,0.75,0.742559983523839,False,False,47,
OpenBMI,outcome,0,0,46,shuffled_adapter,pda_r1_lx0.5_lp0.01,0.75,0.742559983523839,False,False,,47
OpenBMI,outcome,0,0,47,population,pda_r1_lx0.5_lp0.01,0.96,0.959983993597439,False,False,,
OpenBMI,outcome,0,0,47,intercept_only,pda_r1_lx0.5_lp0.01,0.96,0.96,False,False,,
OpenBMI,outcome,0,0,47,ordinary_adapter,pda_r1_lx0.5_lp0.01,0.95,0.9499949994999499,False,False,,
OpenBMI,outcome,0,0,47,single_session,pda_r1_lx0.5_lp0.01,0.9299999999999999,0.9299369432489241,False,False,,
OpenBMI,outcome,0,0,47,mean_pooled,pda_r1_lx0.5_lp0.01,0.8999999999999999,0.8993558776167472,False,False,,
OpenBMI,outcome,0,0,47,no_crossfit,pda_r1_lx0.5_lp0.01,0.9099999999999999,0.9095568284594513,False,False,,
OpenBMI,outcome,0,0,47,crossfit_mean,pda_r1_lx0.5_lp0.01,0.8999999999999999,0.8993558776167472,False,False,,
OpenBMI,outcome,0,0,47,full_pda,pda_r1_lx0.5_lp0.01,0.8999999999999999,0.8993558776167472,False,False,,
