dataset,role,fold,seed,method,BA,macro_F1,subjects
OpenBMI,outcome,0,0,correct_adapter,0.7787499999999999,0.7728541550110948,8
OpenBMI,outcome,0,0,crossfit_mean,0.78,0.7731701114264965,8
OpenBMI,outcome,0,0,full_pda,0.7787499999999999,0.7728541550110948,8
OpenBMI,outcome,0,0,intercept_only,0.7725,0.7639142087054278,8
OpenBMI,outcome,0,0,mean_pooled,0.74625,0.728450646843528,8
OpenBMI,outcome,0,0,no_crossfit,0.77875,0.7735598283987355,8
OpenBMI,outcome,0,0,ordinary_adapter,0.7725,0.7617781130008155,8
OpenBMI,outcome,0,0,population,0.8025,0.7969124193611099,8
OpenBMI,outcome,0,0,shuffled_adapter,0.75875,0.7478086472530079,8
OpenBMI,outcome,0,0,single_session,0.7075,0.6688333429668648,8
OpenBMI,outcome,0,0,wrong_adapter,0.79875,0.793294191587606,8
OpenBMI,outcome,0,1,correct_adapter,0.73875,0.719964996219742,8
OpenBMI,outcome,0,1,crossfit_mean,0.73625,0.7126784994668719,8
OpenBMI,outcome,0,1,full_pda,0.73875,0.719964996219742,8
OpenBMI,outcome,0,1,intercept_only,0.7875,0.7837337175186128,8
OpenBMI,outcome,0,1,mean_pooled,0.69625,0.65042406749274,8
OpenBMI,outcome,0,1,no_crossfit,0.69875,0.6948168668476654,8
OpenBMI,outcome,0,1,ordinary_adapter,0.735,0.7237024190260193,8
OpenBMI,outcome,0,1,population,0.785,0.7807932870787357,8
OpenBMI,outcome,0,1,shuffled_adapter,0.72875,0.7109015946943488,8
OpenBMI,outcome,0,1,single_session,0.66625,0.6143632885517434,8
OpenBMI,outcome,0,1,wrong_adapter,0.75,0.7379604824804034,8
OpenBMI,outcome,0,2,correct_adapter,0.6275,0.5968139778942124,8
OpenBMI,outcome,0,2,crossfit_mean,0.62875,0.5943287742454277,8
OpenBMI,outcome,0,2,full_pda,0.6275,0.5968139778942124,8
OpenBMI,outcome,0,2,intercept_only,0.7949999999999999,0.7893995461416141,8
OpenBMI,outcome,0,2,mean_pooled,0.62875,0.5943287742454277,8
OpenBMI,outcome,0,2,no_crossfit,0.585,0.5770228083762238,8
OpenBMI,outcome,0,2,ordinary_adapter,0.7625,0.7494244786959375,8
OpenBMI,outcome,0,2,population,0.78125,0.7763417098013039,8
OpenBMI,outcome,0,2,shuffled_adapter,0.59,0.5515539764483239,8
OpenBMI,outcome,0,2,single_session,0.5975,0.5233303216983471,8
OpenBMI,outcome,0,2,wrong_adapter,0.56875,0.5310734034514961,8
OpenBMI,outcome,1,0,correct_adapter,0.69375,0.6911910057932372,8
OpenBMI,outcome,1,0,crossfit_mean,0.6975,0.693976456598072,8
OpenBMI,outcome,1,0,full_pda,0.69375,0.6911910057932372,8
OpenBMI,outcome,1,0,intercept_only,0.68125,0.6707115382135573,8
OpenBMI,outcome,1,0,mean_pooled,0.6975,0.693976456598072,8
OpenBMI,outcome,1,0,no_crossfit,0.70125,0.6996777004362029,8
OpenBMI,outcome,1,0,ordinary_adapter,0.675,0.6607655793378283,8
OpenBMI,outcome,1,0,population,0.6925,0.684750514526761,8
OpenBMI,outcome,1,0,shuffled_adapter,0.6725,0.6566203430958147,8
OpenBMI,outcome,1,0,single_session,0.65625,0.6292461622211298,8
OpenBMI,outcome,1,0,wrong_adapter,0.675,0.6624945199666291,8
OpenBMI,outcome,1,1,correct_adapter,0.74375,0.7396436043539121,8
OpenBMI,outcome,1,1,crossfit_mean,0.73,0.725282905073066,8
OpenBMI,outcome,1,1,full_pda,0.74375,0.7396436043539121,8
OpenBMI,outcome,1,1,intercept_only,0.73875,0.7321806635203482,8
OpenBMI,outcome,1,1,mean_pooled,0.73,0.725282905073066,8
OpenBMI,outcome,1,1,no_crossfit,0.7225,0.7181921631907046,8
OpenBMI,outcome,1,1,ordinary_adapter,0.73625,0.729386370931362,8
OpenBMI,outcome,1,1,population,0.73625,0.7290782458881176,8
OpenBMI,outcome,1,1,shuffled_adapter,0.73125,0.7273943373705029,8
OpenBMI,outcome,1,1,single_session,0.68125,0.664451312853326,8
OpenBMI,outcome,1,1,wrong_adapter,0.73375,0.7280194873704358,8
OpenBMI,outcome,1,2,correct_adapter,0.69875,0.6940602003191864,8
OpenBMI,outcome,1,2,crossfit_mean,0.69875,0.6920070712592302,8
OpenBMI,outcome,1,2,full_pda,0.69875,0.6940602003191864,8
OpenBMI,outcome,1,2,intercept_only,0.6812499999999999,0.6723045914503984,8
OpenBMI,outcome,1,2,mean_pooled,0.6975,0.6907935275445667,8
OpenBMI,outcome,1,2,no_crossfit,0.6975,0.6924030016538405,8
OpenBMI,outcome,1,2,ordinary_adapter,0.6975,0.6903173980883336,8
OpenBMI,outcome,1,2,population,0.7125,0.7047964255974095,8
OpenBMI,outcome,1,2,shuffled_adapter,0.70375,0.6946675750759321,8
OpenBMI,outcome,1,2,single_session,0.58875,0.5250713713643668,8
OpenBMI,outcome,1,2,wrong_adapter,0.7012499999999999,0.6940009474466508,8
OpenBMI,outcome,2,0,correct_adapter,0.62125,0.6073412999237997,8
OpenBMI,outcome,2,0,crossfit_mean,0.6175,0.6000093042551922,8
OpenBMI,outcome,2,0,full_pda,0.62125,0.6073412999237997,8
OpenBMI,outcome,2,0,intercept_only,0.6825,0.676323724228394,8
OpenBMI,outcome,2,0,mean_pooled,0.6175,0.6000093042551922,8
OpenBMI,outcome,2,0,no_crossfit,0.61875,0.6096127411318513,8
OpenBMI,outcome,2,0,ordinary_adapter,0.635,0.6114417599485046,8
OpenBMI,outcome,2,0,population,0.68875,0.6841664340071119,8
OpenBMI,outcome,2,0,shuffled_adapter,0.6175,0.5921520360841545,8
OpenBMI,outcome,2,0,single_session,0.5775,0.47975570592886635,8
OpenBMI,outcome,2,0,wrong_adapter,0.64875,0.6241244049758234,8
OpenBMI,outcome,2,1,correct_adapter,0.7537499999999999,0.7468024029995988,8
OpenBMI,outcome,2,1,crossfit_mean,0.75125,0.7452334739854123,8
OpenBMI,outcome,2,1,full_pda,0.7537499999999999,0.7468024029995988,8
OpenBMI,outcome,2,1,intercept_only,0.77,0.7666415080465269,8
OpenBMI,outcome,2,1,mean_pooled,0.7525,0.7464933538749619,8
