dataset,role,fold,seed,subject,recipe,persistent_norm,transient_norm,persistent_transient_ratio,transient_mean_norm,historical_crossfit_gain,n_historical_blocks,fisher_a_sum,fisher_c_sum,adapter_collapse,transient_zero_center_error
OpenBMI,outcome,0,0,15,pda_r1_lx0.5_lp0.01,0.18038846854565646,0.06516994146801189,2.767970393746611,0.0,-0.020000000000000018,2,4.0459510507941046,7.522252662197722,False,0.0
OpenBMI,outcome,0,0,19,pda_r1_lx0.5_lp0.01,0.8039391405791357,0.36676905947381444,2.1919491838611136,0.0,-0.09999999999999998,2,12.276811608115262,29.64387604721406,False,0.0
OpenBMI,outcome,0,0,32,pda_r1_lx0.5_lp0.01,0.3741773108669736,0.22605057304896575,1.6552814081383527,0.0,-0.05999999999999994,2,10.584881403899253,18.591728247219706,False,0.0
OpenBMI,outcome,0,0,33,pda_r1_lx0.5_lp0.01,0.6216623333698783,0.23311502689077448,2.6667621631322667,0.0,-0.21999999999999997,2,2.133597193542066,3.88879984985609,False,0.0
OpenBMI,outcome,0,0,41,pda_r1_lx0.5_lp0.01,0.13691109573388266,0.0009581245472495281,142.89488368387077,0.0,-0.26,2,11.401125676865187,20.763337154765694,False,0.0
OpenBMI,outcome,0,0,46,pda_r1_lx0.5_lp0.01,0.07951821424525937,0.0627465040301996,1.2672931420527846,0.0,-0.18,2,15.447534034080187,19.782986590957048,False,0.0
OpenBMI,outcome,0,0,47,pda_r1_lx0.5_lp0.01,0.08118934740567514,0.06706349050200275,1.2106340841780454,0.0,-0.03999999999999998,2,6.714354127681947,16.89312600625848,False,0.0
OpenBMI,outcome,0,0,49,pda_r1_lx0.5_lp0.01,0.4652643998790796,0.14213542753067926,3.2733879790712592,0.0,-0.02999999999999997,2,7.710215353779723,24.51590379035722,False,0.0
OpenBMI,outcome,0,1,15,pda_r1_lx0.5_lp0.01,0.2470498042145352,0.2814885470060403,0.8776549058290244,0.0,-0.010000000000000009,2,13.906136691239551,7.0346432147759455,False,0.0
OpenBMI,outcome,0,1,19,pda_r1_lx0.5_lp0.01,0.49113096932389483,0.15607792754948244,3.146703554019118,0.0,-0.28,2,35.54775225760859,27.54984909401358,False,0.0
OpenBMI,outcome,0,1,32,pda_r1_lx0.5_lp0.01,0.411974580726094,0.08804637510412011,4.679063507599369,0.0,-0.21,2,33.28380229720467,19.526717235578246,False,0.0
OpenBMI,outcome,0,1,33,pda_r1_lx0.5_lp0.01,1.070394687396591,0.059639376459176274,17.947784684323224,0.0,-0.61,2,33.44801780128008,21.215730172326946,False,0.0
OpenBMI,outcome,0,1,41,pda_r1_lx0.5_lp0.01,0.29017678520644924,0.07572439066037259,3.8320121519089616,0.0,-0.4,2,28.04611865646821,20.145674799930518,False,0.0
OpenBMI,outcome,0,1,46,pda_r1_lx0.5_lp0.01,0.17592725764609174,0.1481415415903694,1.1875619475633206,0.0,-0.2,2,26.81744707555821,15.012310547106033,False,0.0
OpenBMI,outcome,0,1,47,pda_r1_lx0.5_lp0.01,0.06242353228685087,0.11406575599298945,0.5472591817187226,0.0,-0.12,2,22.002108928306132,12.373445888458798,False,0.0
OpenBMI,outcome,0,1,49,pda_r1_lx0.5_lp0.01,0.4757133252597991,0.0853697390846603,5.572388182984125,0.0,-0.35,2,31.298328855607096,26.287978607388517,False,0.0
OpenBMI,outcome,0,2,15,pda_r1_lx0.5_lp0.01,1.2083984817296862,0.2509441119853907,4.815408786319864,0.0,-0.5700000000000001,2,97.88268977364478,21.722733908240755,False,0.0
OpenBMI,outcome,0,2,19,pda_r1_lx0.5_lp0.01,1.0116975801932857,0.1455272669666986,6.951945166570023,0.0,-0.31,2,146.135338691092,29.022289375835783,False,0.0
