dataset,role,fold,seed,subject,recipe,fisher_a_sum,fisher_c_sum
OpenBMI,outcome,0,0,15,pda_r1_lx0.5_lp0.01,4.0459510507941046,7.522252662197722
OpenBMI,outcome,0,0,19,pda_r1_lx0.5_lp0.01,12.276811608115262,29.64387604721406
OpenBMI,outcome,0,0,32,pda_r1_lx0.5_lp0.01,10.584881403899251,18.591728247219702
OpenBMI,outcome,0,0,33,pda_r1_lx0.5_lp0.01,2.133597193542066,3.88879984985609
OpenBMI,outcome,0,0,41,pda_r1_lx0.5_lp0.01,11.401125676865188,20.763337154765694
OpenBMI,outcome,0,0,46,pda_r1_lx0.5_lp0.01,15.447534034080189,19.782986590957048
OpenBMI,outcome,0,0,47,pda_r1_lx0.5_lp0.01,6.714354127681947,16.89312600625848
OpenBMI,outcome,0,0,49,pda_r1_lx0.5_lp0.01,7.710215353779723,24.51590379035722
OpenBMI,outcome,0,1,15,pda_r1_lx0.5_lp0.01,13.906136691239553,7.0346432147759455
OpenBMI,outcome,0,1,19,pda_r1_lx0.5_lp0.01,35.54775225760859,27.54984909401358
OpenBMI,outcome,0,1,32,pda_r1_lx0.5_lp0.01,33.28380229720467,19.526717235578246
OpenBMI,outcome,0,1,33,pda_r1_lx0.5_lp0.01,33.44801780128008,21.215730172326943
OpenBMI,outcome,0,1,41,pda_r1_lx0.5_lp0.01,28.04611865646821,20.14567479993052
OpenBMI,outcome,0,1,46,pda_r1_lx0.5_lp0.01,26.81744707555821,15.012310547106033
OpenBMI,outcome,0,1,47,pda_r1_lx0.5_lp0.01,22.00210892830613,12.373445888458798
OpenBMI,outcome,0,1,49,pda_r1_lx0.5_lp0.01,31.298328855607096,26.28797860738852
OpenBMI,outcome,0,2,15,pda_r1_lx0.5_lp0.01,97.88268977364478,21.722733908240755
OpenBMI,outcome,0,2,19,pda_r1_lx0.5_lp0.01,146.135338691092,29.022289375835783
OpenBMI,outcome,0,2,32,pda_r1_lx0.5_lp0.01,89.94807319876129,25.841295235766104
OpenBMI,outcome,0,2,33,pda_r1_lx0.5_lp0.01,96.10124040840752,23.91859261086562
OpenBMI,outcome,0,2,41,pda_r1_lx0.5_lp0.01,53.19902603560165,17.175960312191158
OpenBMI,outcome,0,2,46,pda_r1_lx0.5_lp0.01,110.72181812894476,31.574062357212707
OpenBMI,outcome,0,2,47,pda_r1_lx0.5_lp0.01,109.2158273014628,31.73142107444055
OpenBMI,outcome,0,2,49,pda_r1_lx0.5_lp0.01,119.93733483959298,31.374667283978283
OpenBMI,outcome,1,0,2,pda_r1_lx0.5_lp0.01,19.672384983223832,23.103604506583466
OpenBMI,outcome,1,0,14,pda_r1_lx0.5_lp0.01,12.522662464474074,19.42714212605605
OpenBMI,outcome,1,0,34,pda_r1_lx0.5_lp0.01,16.40395388803011,21.79210203196884
OpenBMI,outcome,1,0,40,pda_r1_lx0.5_lp0.01,10.467118133432518,15.679818581141696
OpenBMI,outcome,1,0,43,pda_r1_lx0.5_lp0.01,10.427034580259802,12.758904437024537
OpenBMI,outcome,1,0,44,pda_r1_lx0.5_lp0.01,25.453085157089262,29.18491439140893
OpenBMI,outcome,1,0,48,pda_r1_lx0.5_lp0.01,16.19982172102884,18.544000871953152
OpenBMI,outcome,1,0,50,pda_r1_lx0.5_lp0.01,26.0784118203044,24.081261973640327
OpenBMI,outcome,1,1,2,pda_r1_lx0.5_lp0.01,2.54181222703078,13.226652172301772
OpenBMI,outcome,1,1,14,pda_r1_lx0.5_lp0.01,1.6356527296134975,13.190415690609337
OpenBMI,outcome,1,1,34,pda_r1_lx0.5_lp0.01,3.993114298390285,19.55416906979724
OpenBMI,outcome,1,1,40,pda_r1_lx0.5_lp0.01,5.327498807200441,16.023245454969597
OpenBMI,outcome,1,1,43,pda_r1_lx0.5_lp0.01,1.6465260267519413,10.078454576029372
OpenBMI,outcome,1,1,44,pda_r1_lx0.5_lp0.01,2.0432807721189734,10.436854126109544
OpenBMI,outcome,1,1,48,pda_r1_lx0.5_lp0.01,2.827343978372157,19.103213579971325
OpenBMI,outcome,1,1,50,pda_r1_lx0.5_lp0.01,5.031757929913013,22.088121629309843
OpenBMI,outcome,1,2,2,pda_r1_lx0.5_lp0.01,3.54785577464368,10.652283439931525
OpenBMI,outcome,1,2,14,pda_r1_lx0.5_lp0.01,8.466384100568536,15.779328887756495
OpenBMI,outcome,1,2,34,pda_r1_lx0.5_lp0.01,6.432163136739824,20.7623551229896
OpenBMI,outcome,1,2,40,pda_r1_lx0.5_lp0.01,6.637635157890236,17.21027077499125
OpenBMI,outcome,1,2,43,pda_r1_lx0.5_lp0.01,5.7547106119322535,15.029170774272297
OpenBMI,outcome,1,2,44,pda_r1_lx0.5_lp0.01,4.458567425818991,13.495599033335704
OpenBMI,outcome,1,2,48,pda_r1_lx0.5_lp0.01,5.237262864914863,17.216395205974777
OpenBMI,outcome,1,2,50,pda_r1_lx0.5_lp0.01,5.930461387893362,18.91766234787593
OpenBMI,outcome,2,0,9,pda_r1_lx0.5_lp0.01,55.75295591535424,24.105657495957857
OpenBMI,outcome,2,0,10,pda_r1_lx0.5_lp0.01,75.980492915431,29.988186040563413
OpenBMI,outcome,2,0,16,pda_r1_lx0.5_lp0.01,111.72812234561218,29.50898278018792
OpenBMI,outcome,2,0,21,pda_r1_lx0.5_lp0.01,83.93239097568139,27.177630370544584
OpenBMI,outcome,2,0,22,pda_r1_lx0.5_lp0.01,62.12489246577236,21.06445602254336
OpenBMI,outcome,2,0,31,pda_r1_lx0.5_lp0.01,74.76993328083569,20.2248165541316
OpenBMI,outcome,2,0,45,pda_r1_lx0.5_lp0.01,66.87280808844874,24.12618050282027
OpenBMI,outcome,2,0,53,pda_r1_lx0.5_lp0.01,91.99619619168988,27.021084534725414
