model,fold,seed,protected_rank,active_rank,protected_coordinates,subject,protected_BA_S1,protected_BA_S2,random_BA_S1,random_BA_S2,protected_only_WSBA,random_only_WSBA,PSWA_pp,random_draws,checkpoint_sha256
EEGNet,0,0,3,20,"[0, 1, 3]",sub-03,0.625,0.6950000000000001,0.56335,0.57645,0.625,0.5534500000000001,7.154999999999989,100,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f
EEGNet,0,0,3,20,"[0, 1, 3]",sub-08,0.55,0.56,0.53425,0.5331999999999999,0.55,0.5154500000000001,3.454999999999997,100,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f
EEGNet,0,0,3,20,"[0, 1, 3]",sub-10,0.53,0.5,0.5266000000000001,0.5237,0.5,0.5082000000000001,-0.8200000000000096,100,10d313fd65a39f38db1a148b7ce7793192a778292f3ef4026e3c6086b238d64f
SIRE-EEG,0,0,6,20,"[3, 4, 5, 6, 7, 8]",sub-03,0.6950000000000001,0.6950000000000001,0.6292,0.6204500000000001,0.6950000000000001,0.6094499999999999,8.555000000000012,100,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a
SIRE-EEG,0,0,6,20,"[3, 4, 5, 6, 7, 8]",sub-08,0.585,0.575,0.5257000000000001,0.52915,0.575,0.516,5.899999999999994,100,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a
SIRE-EEG,0,0,6,20,"[3, 4, 5, 6, 7, 8]",sub-10,0.6100000000000001,0.65,0.5406000000000001,0.5475999999999999,0.6100000000000001,0.52825,8.17500000000001,100,3171ab8927c0a5d9f9e829dc139b2a9969e87a5b6794af0a1a704f10979d2e1a
EEGNet,1,0,3,20,"[0, 1, 2]",sub-05,0.49,0.495,0.5231500000000001,0.49715,0.49,0.48839999999999995,0.16000000000000458,100,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5
EEGNet,1,0,3,20,"[0, 1, 2]",sub-06,0.5249999999999999,0.59,0.5420500000000001,0.5608499999999998,0.5249999999999999,0.5283000000000001,-0.33000000000001917,100,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5
EEGNet,1,0,3,20,"[0, 1, 2]",sub-12,0.5549999999999999,0.54,0.49555,0.51025,0.54,0.4826499999999999,5.735000000000012,100,a5aa49416b6db3c99f205bb9a0a1b3b05bd466b8f7f17066e9ad12bbb21b8ab5
SIRE-EEG,1,0,1,20,[3],sub-05,0.62,0.53,0.5073500000000001,0.49269999999999997,0.53,0.47715,5.285000000000001,100,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767
SIRE-EEG,1,0,1,20,[3],sub-06,0.62,0.6499999999999999,0.51705,0.50095,0.62,0.48719999999999997,13.280000000000003,100,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767
SIRE-EEG,1,0,1,20,[3],sub-12,0.56,0.59,0.5115500000000001,0.51685,0.56,0.5005999999999999,5.940000000000012,100,ba653ad48822c5bd538525816de52a16cc18861e9cc56aca38ea343a0bd5d767
EEGNet,2,0,2,20,"[0, 3]",sub-01,0.855,0.85,0.6081,0.6195499999999999,0.85,0.5900500000000001,25.99499999999999,100,d2a19fb6287b0275c7a7a3b2cef15737a75699aa17076958a053587c87e559b3
EEGNet,2,0,2,20,"[0, 3]",sub-04,0.8300000000000001,0.67,0.5570499999999999,0.5478000000000001,0.67,0.531,13.900000000000002,100,d2a19fb6287b0275c7a7a3b2cef15737a75699aa17076958a053587c87e559b3
SIRE-EEG,2,0,3,20,"[0, 1, 2]",sub-01,0.75,0.81,0.6121500000000001,0.6168,0.75,0.5884,16.159999999999997,100,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f
SIRE-EEG,2,0,3,20,"[0, 1, 2]",sub-04,0.815,0.6950000000000001,0.59875,0.5775,0.6950000000000001,0.5637,13.130000000000008,100,88c609ef3b1f7edf22903cdfbbf93048428c1d003b6ef63dfda3fb6878061c3f
EEGNet,3,0,2,20,"[0, 1]",sub-07,0.535,0.56,0.5111000000000001,0.5072,0.535,0.49339999999999995,4.160000000000008,100,6c7e788bf233aee9562bb433e7e99392b6bfe054e53c09e9716ab359916096ce
EEGNet,3,0,2,20,"[0, 1]",sub-11,0.56,0.5,0.51055,0.5151,0.5,0.49729999999999996,0.27000000000000357,100,6c7e788bf233aee9562bb433e7e99392b6bfe054e53c09e9716ab359916096ce
SIRE-EEG,3,0,3,20,"[0, 2, 3]",sub-07,0.485,0.45999999999999996,0.5189,0.5198,0.45999999999999996,0.4993,-3.930000000000006,100,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87
SIRE-EEG,3,0,3,20,"[0, 2, 3]",sub-11,0.525,0.53,0.5191,0.51175,0.525,0.49689999999999995,2.8100000000000067,100,3cbb46e820f8fc9e63688e430c6af718a3f4829a43164e476db35a5e86b03a87
EEGNet,4,0,2,20,"[0, 1]",sub-02,0.765,0.7949999999999999,0.5308999999999999,0.5579,0.765,0.5224,24.260000000000005,100,8fac1376e380ed4fe9bf74366bd5cf6200b7b7d475fe59cf5c2e870ef87082c6
EEGNet,4,0,2,20,"[0, 1]",sub-09,0.54,0.6,0.5347000000000002,0.5291,0.54,0.5115,2.850000000000008,100,8fac1376e380ed4fe9bf74366bd5cf6200b7b7d475fe59cf5c2e870ef87082c6
SIRE-EEG,4,0,2,20,"[4, 5]",sub-02,0.7749999999999999,0.69,0.6106999999999999,0.63035,0.69,0.596,9.399999999999997,100,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c
SIRE-EEG,4,0,2,20,"[4, 5]",sub-09,0.565,0.605,0.5225,0.5422499999999999,0.565,0.50545,5.954999999999999,100,cf36ebcc84618627a4e93bcc247b89987a1bebe7441837ede658f2956e8c1b6c
EEGNet,0,1,3,20,"[0, 1, 3]",sub-03,0.685,0.79,0.5954,0.6103000000000001,0.685,0.5827,10.230000000000006,100,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700
EEGNet,0,1,3,20,"[0, 1, 3]",sub-08,0.52,0.51,0.5151000000000001,0.52195,0.51,0.49985000000000007,1.0149999999999937,100,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700
EEGNet,0,1,3,20,"[0, 1, 3]",sub-10,0.52,0.585,0.5238999999999999,0.5286,0.52,0.50945,1.055000000000006,100,aac0399076861bf8edf8338789e21a964430febce2de2d7cb53cf49eaba1c700
SIRE-EEG,0,1,3,20,"[1, 2, 3]",sub-03,0.54,0.61,0.58015,0.5811000000000001,0.54,0.5630999999999999,-2.30999999999999,100,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4
SIRE-EEG,0,1,3,20,"[1, 2, 3]",sub-08,0.59,0.6,0.5337,0.5114500000000001,0.59,0.5068,8.319999999999993,100,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4
SIRE-EEG,0,1,3,20,"[1, 2, 3]",sub-10,0.5700000000000001,0.53,0.5238499999999999,0.51585,0.53,0.5057,2.429999999999999,100,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4
EEGNet,1,1,2,20,"[0, 2]",sub-05,0.575,0.54,0.5232500000000001,0.5079499999999999,0.54,0.4997999999999999,4.020000000000012,100,82f8ef6af0907cc184d619e4b3927848f40b3f54b34c76911b4bfcac6e7613df
EEGNet,1,1,2,20,"[0, 2]",sub-06,0.5800000000000001,0.56,0.5342,0.5428499999999999,0.56,0.5213499999999999,3.8650000000000184,100,82f8ef6af0907cc184d619e4b3927848f40b3f54b34c76911b4bfcac6e7613df
EEGNet,1,1,2,20,"[0, 2]",sub-12,0.48,0.51,0.49815000000000004,0.5203000000000001,0.48,0.4932500000000002,-1.3250000000000206,100,82f8ef6af0907cc184d619e4b3927848f40b3f54b34c76911b4bfcac6e7613df
SIRE-EEG,1,1,3,20,"[3, 4, 5]",sub-05,0.64,0.54,0.5278499999999999,0.5197,0.54,0.5086999999999999,3.1300000000000106,100,794bedf5afc2654c331e8a6928094ca70515f37870610533cd552154a1d059ef
SIRE-EEG,1,1,3,20,"[3, 4, 5]",sub-06,0.6699999999999999,0.7150000000000001,0.5442499999999999,0.58465,0.6699999999999999,0.5386500000000001,13.134999999999986,100,794bedf5afc2654c331e8a6928094ca70515f37870610533cd552154a1d059ef
SIRE-EEG,1,1,3,20,"[3, 4, 5]",sub-12,0.52,0.5349999999999999,0.5353,0.5314,0.52,0.5208999999999999,-0.08999999999999009,100,794bedf5afc2654c331e8a6928094ca70515f37870610533cd552154a1d059ef
EEGNet,2,1,5,20,"[0, 3, 4, 5, 6]",sub-01,0.895,0.915,0.7208,0.7148000000000002,0.895,0.70115,19.384999999999998,100,a0e020014c1883c555d32ae06c80cf88c52c79e7c1386869aeff026db8d002a4
EEGNet,2,1,5,20,"[0, 3, 4, 5, 6]",sub-04,0.795,0.675,0.6263,0.5759,0.675,0.57375,10.125000000000007,100,a0e020014c1883c555d32ae06c80cf88c52c79e7c1386869aeff026db8d002a4
SIRE-EEG,2,1,5,20,"[2, 5, 6, 7, 8]",sub-01,0.66,0.69,0.6254500000000001,0.6336499999999999,0.66,0.61165,4.835000000000001,100,7e3365260fe9ff505957e6a5e02e636e8ee072aa7900c99ccddf639fae67edc9
SIRE-EEG,2,1,5,20,"[2, 5, 6, 7, 8]",sub-04,0.7749999999999999,0.66,0.63395,0.607,0.66,0.59575,6.4250000000000025,100,7e3365260fe9ff505957e6a5e02e636e8ee072aa7900c99ccddf639fae67edc9
EEGNet,3,1,3,20,"[0, 1, 2]",sub-07,0.595,0.6,0.53925,0.5303,0.595,0.51615,7.884999999999998,100,5647e78b439b3e6523ef0aee372070f799855fc7e0db999b23e1c551a7b7f8ca
EEGNet,3,1,3,20,"[0, 1, 2]",sub-11,0.52,0.515,0.5246,0.51415,0.515,0.4992000000000001,1.5799999999999925,100,5647e78b439b3e6523ef0aee372070f799855fc7e0db999b23e1c551a7b7f8ca
SIRE-EEG,3,1,2,20,"[0, 3]",sub-07,0.5700000000000001,0.53,0.5050000000000001,0.5092500000000001,0.53,0.4893000000000001,4.0699999999999905,100,b2f3add3295b06cccc17661b71ff5862e92afbcfcd9b8ac903ecb2489dda7ace
SIRE-EEG,3,1,2,20,"[0, 3]",sub-11,0.56,0.5,0.5118,0.5073,0.5,0.4877500000000001,1.2249999999999928,100,b2f3add3295b06cccc17661b71ff5862e92afbcfcd9b8ac903ecb2489dda7ace
EEGNet,4,1,2,20,"[0, 1]",sub-02,0.8200000000000001,0.825,0.5408999999999999,0.5402999999999999,0.8200000000000001,0.5193,30.070000000000007,100,b779c30f98ebf5d8100cb68fe4ff6d0520f1f61920d49c79befd350437055c9c
EEGNet,4,1,2,20,"[0, 1]",sub-09,0.575,0.5800000000000001,0.50585,0.5199999999999999,0.575,0.49225,8.274999999999993,100,b779c30f98ebf5d8100cb68fe4ff6d0520f1f61920d49c79befd350437055c9c
SIRE-EEG,4,1,3,20,"[3, 4, 5]",sub-02,0.64,0.7150000000000001,0.6264500000000001,0.6239500000000002,0.64,0.6036,3.639999999999999,100,962cae1415cff1e5ef03cd9fe1fb114c245fb5a620f4a9c49064613c04a07937
SIRE-EEG,4,1,3,20,"[3, 4, 5]",sub-09,0.62,0.65,0.5253,0.5509499999999999,0.62,0.5186499999999998,10.135000000000016,100,962cae1415cff1e5ef03cd9fe1fb114c245fb5a620f4a9c49064613c04a07937
EEGNet,0,2,3,20,"[0, 1, 3]",sub-03,0.73,0.7150000000000001,0.5650000000000001,0.5930000000000001,0.7150000000000001,0.5584500000000001,15.654999999999998,100,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b
EEGNet,0,2,3,20,"[0, 1, 3]",sub-08,0.485,0.495,0.5052499999999999,0.5211000000000001,0.485,0.49325,-0.8250000000000035,100,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b
EEGNet,0,2,3,20,"[0, 1, 3]",sub-10,0.565,0.53,0.5204,0.5332,0.53,0.5075999999999999,2.2400000000000087,100,95e76cf8dbfbaa16af02202a37a708e93512d47ada7ff04c1d63d2778858579b
SIRE-EEG,0,2,5,20,"[0, 1, 2, 3, 4]",sub-03,0.62,0.64,0.6225499999999999,0.64545,0.62,0.6174999999999999,0.2500000000000058,100,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3
SIRE-EEG,0,2,5,20,"[0, 1, 2, 3, 4]",sub-08,0.55,0.54,0.54695,0.5309,0.54,0.5240500000000001,1.5949999999999909,100,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3
SIRE-EEG,0,2,5,20,"[0, 1, 2, 3, 4]",sub-10,0.54,0.565,0.5295000000000001,0.52015,0.54,0.5123500000000001,2.7649999999999952,100,aeecbd3d7944f115e460bfd1fc896132517d7eefca5b709ef74ce7489926e1e3
EEGNet,1,2,5,20,"[0, 3, 4, 5, 6]",sub-05,0.55,0.545,0.5324500000000001,0.5201,0.545,0.51275,3.225,100,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529
EEGNet,1,2,5,20,"[0, 3, 4, 5, 6]",sub-06,0.625,0.57,0.5804999999999999,0.58795,0.57,0.56645,0.3549999999999942,100,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529
EEGNet,1,2,5,20,"[0, 3, 4, 5, 6]",sub-12,0.515,0.5549999999999999,0.5091,0.5237499999999999,0.515,0.5005,1.4500000000000068,100,e5933cbece091c533e86910b476cf8d5fb6510234e0989100ae38fe798403529
SIRE-EEG,1,2,4,20,"[2, 3, 4, 5]",sub-05,0.52,0.5549999999999999,0.53905,0.5102,0.52,0.50615,1.385000000000003,100,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8
SIRE-EEG,1,2,4,20,"[2, 3, 4, 5]",sub-06,0.635,0.68,0.5711999999999999,0.5773,0.635,0.5482,8.68,100,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8
SIRE-EEG,1,2,4,20,"[2, 3, 4, 5]",sub-12,0.53,0.575,0.5196000000000001,0.5241499999999999,0.53,0.50345,2.6550000000000074,100,db87b07b18daae5a608a5f32721ace1922dbee94aa6de94a854f6a60172e58a8
EEGNet,2,2,2,20,"[0, 3]",sub-01,0.755,0.75,0.5944499999999999,0.5984499999999999,0.75,0.5817999999999999,16.820000000000014,100,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d
EEGNet,2,2,2,20,"[0, 3]",sub-04,0.755,0.6499999999999999,0.5665,0.54365,0.6499999999999999,0.53045,11.954999999999993,100,9af0d95a67026838bbac37827695c920fabc4cca19b1197f1fa4141d0000d45d
SIRE-EEG,2,2,4,20,"[0, 2, 4, 5]",sub-01,0.685,0.61,0.6175,0.6147,0.61,0.5963,1.3699999999999934,100,59983710255efc4c0e2cb55a8c6963e06f063b3f184055843de78fa601846600
SIRE-EEG,2,2,4,20,"[0, 2, 4, 5]",sub-04,0.6699999999999999,0.59,0.5805,0.55685,0.59,0.5439999999999999,4.600000000000004,100,59983710255efc4c0e2cb55a8c6963e06f063b3f184055843de78fa601846600
EEGNet,3,2,5,20,"[0, 1, 2, 3, 4]",sub-07,0.56,0.585,0.5395000000000001,0.5425000000000001,0.56,0.52575,3.4250000000000003,100,41eb16ebd361e29e6438192b0b6c182915a413c1f9fdf9fa7eb5930ae353eecd
EEGNet,3,2,5,20,"[0, 1, 2, 3, 4]",sub-11,0.53,0.52,0.5183,0.5165,0.52,0.5000500000000001,1.9949999999999912,100,41eb16ebd361e29e6438192b0b6c182915a413c1f9fdf9fa7eb5930ae353eecd
SIRE-EEG,3,2,2,20,"[0, 3]",sub-07,0.5,0.52,0.5292,0.50875,0.5,0.49529999999999996,0.47000000000000375,100,edf87410393ce2b067bdd898ac8c634aed236f1db0b132f8b02447b4903058e3
SIRE-EEG,3,2,2,20,"[0, 3]",sub-11,0.525,0.535,0.51695,0.5174,0.525,0.5016999999999999,2.33000000000001,100,edf87410393ce2b067bdd898ac8c634aed236f1db0b132f8b02447b4903058e3
