diagnostic,model,mean_pp,CI95_low_pp,CI95_high_pp,biological_subjects,nonempty_fold_checkpoint_coverage,protected_ranks_seed_fold,bootstrap_draws
PEEH,EEGNet,5.539444444444443,1.4774756944444447,9.846277777777772,12,15/15,"[3, 3, 2, 2, 2, 3, 2, 5, 3, 2, 3, 5, 2, 5, 6]",20000
PSWA,EEGNet,7.263055555555556,3.368052083333333,11.798767361111109,12,15/15,"[3, 3, 2, 2, 2, 3, 2, 5, 3, 2, 3, 5, 2, 5, 6]",20000
PEEH,SIRE-EEG,3.1123611111111136,0.7329131944444487,5.494187499999997,12,15/15,"[6, 1, 3, 3, 2, 3, 3, 5, 2, 3, 5, 4, 4, 2, 3]",20000
PSWA,SIRE-EEG,5.152083333333335,3.4295798611111112,6.963902777777777,12,15/15,"[6, 1, 3, 3, 2, 3, 3, 5, 2, 3, 5, 4, 4, 2, 3]",20000
