subject_id,intact_probe_BA,protected_erased_BA,random_erased_BA,protected_harm_pp,random_harm_pp,PEEH_pp,task,model,fold,seed,protected_rank,checkpoint_sha256
sub-03,0.655,0.625,0.6587999999999999,3.0000000000000027,-0.37999999999999146,3.379999999999994,BNCI2015_001,SIRE-EEG,0,1,3,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4
sub-08,0.59,0.51,0.5606,7.9999999999999964,2.939999999999998,5.059999999999998,BNCI2015_001,SIRE-EEG,0,1,3,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4
sub-10,0.56,0.62,0.5669500000000001,-5.999999999999995,-0.6950000000000012,-5.304999999999993,BNCI2015_001,SIRE-EEG,0,1,3,323ceb1bb155373d585bcf1e9a988cc2966ad987f4a2ac75f697a4b45af4d0c4
sub-05,0.5,0.52,0.50275,-2.0000000000000018,-0.275000000000003,-1.7249999999999988,BNCI2015_001,EEGNet,1,1,2,82f8ef6af0907cc184d619e4b3927848f40b3f54b34c76911b4bfcac6e7613df
sub-06,0.63,0.67,0.6282,-4.0000000000000036,0.18000000000000238,-4.180000000000006,BNCI2015_001,EEGNet,1,1,2,82f8ef6af0907cc184d619e4b3927848f40b3f54b34c76911b4bfcac6e7613df
sub-12,0.585,0.6100000000000001,0.5889,-2.5000000000000133,-0.39000000000000146,-2.110000000000012,BNCI2015_001,EEGNet,1,1,2,82f8ef6af0907cc184d619e4b3927848f40b3f54b34c76911b4bfcac6e7613df
sub-05,0.53,0.54,0.534,-1.0000000000000009,-0.40000000000000036,-0.6000000000000005,BNCI2015_001,SIRE-EEG,1,1,3,794bedf5afc2654c331e8a6928094ca70515f37870610533cd552154a1d059ef
sub-06,0.725,0.5650000000000001,0.7123499999999998,15.999999999999993,1.2650000000000161,14.734999999999976,BNCI2015_001,SIRE-EEG,1,1,3,794bedf5afc2654c331e8a6928094ca70515f37870610533cd552154a1d059ef
sub-12,0.56,0.59,0.5634999999999999,-2.9999999999999916,-0.34999999999998366,-2.650000000000008,BNCI2015_001,SIRE-EEG,1,1,3,794bedf5afc2654c331e8a6928094ca70515f37870610533cd552154a1d059ef
sub-01,0.905,0.595,0.8668,31.000000000000007,3.820000000000001,27.180000000000003,BNCI2015_001,EEGNet,2,1,5,a0e020014c1883c555d32ae06c80cf88c52c79e7c1386869aeff026db8d002a4
