task,dataset,lr,folds,task_mean_delta_pp,positive_folds,zero_folds,negative_folds,mean_selected_step,mean_selected_residual_norm
OpenBMI_ERP,OpenBMI,3e-05,5,0.03131313131313318,4,1,0,52.0,0.05867726998403668
OpenBMI_MI,OpenBMI,3e-05,5,0.19999999999999796,4,1,0,57.6,0.039236368425190446
OpenBMI_SSVEP,OpenBMI,3e-05,5,0.03333333333333188,1,4,0,19.2,0.012486720085144043
WBCIC_MI,WBCIC,3e-05,5,0.1808333333333345,3,2,0,64.0,0.06891178712248802
