task,dataset,fold,lr,optimizer_step,BA,macro_F1,accuracy,XS_BA,XS_macro_F1,XS_accuracy,delta_BA,delta_BA_pp,residual_norm_mean,dW_norm,db_norm,loss
OpenBMI_ERP,OpenBMI,0,3e-05,0,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0,0.0,0.0,
OpenBMI_ERP,OpenBMI,0,3e-05,2,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0024848890025168657,0.002583826659247279,0.0006650223513133824,0.0939648300409317
OpenBMI_ERP,OpenBMI,0,3e-05,4,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.004895632155239582,0.005019679199904203,0.001300792209804058,0.11387509852647781
OpenBMI_ERP,OpenBMI,0,3e-05,8,0.8703030303030302,0.8349402395909769,0.8989898989898989,0.8703030303030305,0.8346155418696531,0.8986531986531987,-2.220446049250313e-16,-2.220446049250313e-14,0.009608419612050056,0.009736333042383194,0.002577020786702633,0.13338859379291534
OpenBMI_ERP,OpenBMI,0,3e-05,16,0.8702020202020201,0.835057827518992,0.899158249158249,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.00010101010101037922,-0.010101010101037922,0.01896251179277897,0.019053110852837563,0.005068391095846891,0.09960100054740906
OpenBMI_ERP,OpenBMI,0,3e-05,32,0.8696969696969696,0.8350831145088399,0.8993265993265994,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.000606060606060832,-0.0606060606060832,0.03864195570349693,0.038187120109796524,0.01006282027810812,0.12395545840263367
OpenBMI_ERP,OpenBMI,0,3e-05,64,0.8691414141414141,0.8356536949302257,0.9000841750841752,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.0011616161616163634,-0.11616161616163634,0.08091657608747482,0.0772281140089035,0.019946444779634476,0.1469719111919403
OpenBMI_ERP,OpenBMI,0,3e-05,96,0.8683333333333333,0.836761965694468,0.9014309764309765,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.0019696969696971767,-0.19696969696971767,0.12702375650405884,0.11758516728878021,0.02944113314151764,0.11195605993270874
OpenBMI_ERP,OpenBMI,0,3e-05,128,0.8685858585858587,0.8387123331386891,0.9031986531986531,0.8703030303030305,0.8346155418696531,0.8986531986531987,-0.0017171717171717837,-0.17171717171717837,0.17791017889976501,0.15815351903438568,0.03851019963622093,0.11729877442121506
OpenBMI_ERP,OpenBMI,1,3e-05,0,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.0,0.0,0.0,0.0,0.0,
OpenBMI_ERP,OpenBMI,1,3e-05,2,0.8296464646464647,0.7658259994152181,0.843013468013468,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.00010101010101015717,0.010101010101015717,0.0027949241921305656,0.0026511843316257,0.0006666595581918955,0.16592542827129364
OpenBMI_ERP,OpenBMI,1,3e-05,4,0.8294949494949494,0.7658335967085463,0.8430976430976432,0.8295454545454546,0.7656472414029128,0.8428451178451178,-5.050505050518961e-05,-0.005050505050518961,0.005307119805365801,0.005048850551247597,0.0013132187305018306,0.1407497376203537
OpenBMI_ERP,OpenBMI,1,3e-05,8,0.8294949494949494,0.7658335967085463,0.8430976430976432,0.8295454545454546,0.7656472414029128,0.8428451178451178,-5.050505050518961e-05,-0.005050505050518961,0.01037504617124796,0.009692582301795483,0.002609523478895426,0.16400429606437683
OpenBMI_ERP,OpenBMI,1,3e-05,16,0.8294444444444444,0.7660069211295908,0.8433501683501684,0.8295454545454546,0.7656472414029128,0.8428451178451178,-0.00010101010101015717,-0.010101010101015717,0.020578982308506966,0.01886838674545288,0.005143776070326567,0.18164639174938202
OpenBMI_ERP,OpenBMI,1,3e-05,32,0.8291414141414141,0.76686159637501,0.8445286195286196,0.8295454545454546,0.7656472414029128,0.8428451178451178,-0.00040404040404051766,-0.040404040404051766,0.04093048721551895,0.03710011765360832,0.010281405411660671,0.2318027913570404
OpenBMI_ERP,OpenBMI,1,3e-05,64,0.8301010101010102,0.7691585161723836,0.8468013468013468,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.0005555555555556424,0.05555555555556424,0.084530308842659,0.07469280064105988,0.019944386556744576,0.14034733176231384
