task,dataset,fold,lr,optimizer_step,BA,macro_F1,accuracy,XS_BA,XS_macro_F1,XS_accuracy,delta_BA,delta_BA_pp,residual_norm_mean,dW_norm,db_norm,loss,status
OpenBMI_ERP,OpenBMI,0,3e-05,0,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.8703030303030305,0.8346155418696531,0.8986531986531987,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_ERP,OpenBMI,1,3e-05,64,0.8301010101010102,0.7691585161723836,0.8468013468013468,0.8295454545454546,0.7656472414029128,0.8428451178451178,0.0005555555555556424,0.05555555555556424,0.084530308842659,0.07469280064105988,0.019944386556744576,0.14034733176231384,positive
OpenBMI_ERP,OpenBMI,2,3e-05,96,0.7963131313131314,0.76541849072087,0.8571548821548821,0.7959090909090909,0.762389930744643,0.8537878787878789,0.00040404040404051766,0.040404040404051766,0.08891155570745468,0.09195650368928909,0.027533769607543945,0.09676653146743774,positive
OpenBMI_ERP,OpenBMI,3,3e-05,4,0.8450000000000001,0.8171613980424762,0.8884680134680134,0.8448484848484851,0.8168361797068387,0.8882154882154882,0.0001515151515150137,0.015151515151501371,0.004377270583063364,0.005128042306751013,0.001335130538791418,0.06096717342734337,positive
OpenBMI_ERP,OpenBMI,4,3e-05,96,0.81989898989899,0.790675815091708,0.8745791245791246,0.8194444444444445,0.786969228762521,0.8707912457912458,0.00045454545454548523,0.04545454545454852,0.11556721478700638,0.12403327971696854,0.030543217435479164,0.08006943017244339,positive
OpenBMI_MI,OpenBMI,0,3e-05,16,0.7699999999999999,0.764632383348763,0.7699999999999999,0.7683333333333332,0.7627971665034042,0.7683333333333332,0.0016666666666667052,0.16666666666667052,0.012066616676747799,0.012781004421412945,0.00481985229998827,0.14430588483810425,positive
OpenBMI_MI,OpenBMI,1,3e-05,128,0.8116666666666666,0.8082035917599072,0.8116666666666666,0.81,0.8062744155005457,0.81,0.0016666666666665941,0.1666666666666594,0.07551971077919006,0.10963986814022064,0.006479102652519941,0.20967689156532288,positive
OpenBMI_MI,OpenBMI,2,3e-05,128,0.8099999999999999,0.7996722591618862,0.8099999999999999,0.805,0.7944971228059886,0.805,0.004999999999999893,0.49999999999998934,0.09513408690690994,0.11009369045495987,0.02782260812819004,0.11706947535276413,positive
OpenBMI_MI,OpenBMI,3,3e-05,16,0.8283333333333335,0.8254860915893557,0.8283333333333335,0.8266666666666668,0.8239289128509834,0.8266666666666668,0.0016666666666667052,0.16666666666667052,0.013461427763104439,0.015986783429980278,0.005065673030912876,0.15973840653896332,positive
OpenBMI_MI,OpenBMI,4,3e-05,0,0.7516666666666666,0.7463215085809177,0.7516666666666666,0.7516666666666666,0.7463215085809177,0.7516666666666666,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_SSVEP,OpenBMI,0,3e-05,0,0.9566666666666667,0.9567493067876359,0.9566666666666667,0.9566666666666667,0.9567493067876359,0.9566666666666667,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_SSVEP,OpenBMI,1,3e-05,96,0.9616666666666666,0.9615862225690934,0.9616666666666668,0.96,0.9598281473583327,0.96,0.0016666666666665941,0.1666666666666594,0.062433600425720215,0.08208372443914413,0.02423638105392456,0.011497064493596554,positive
OpenBMI_SSVEP,OpenBMI,2,3e-05,0,0.9383333333333334,0.9380673894701846,0.9383333333333334,0.9383333333333334,0.9380673894701846,0.9383333333333334,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_SSVEP,OpenBMI,3,3e-05,0,0.8799999999999999,0.8777608338442627,0.88,0.8799999999999999,0.8777608338442627,0.88,0.0,0.0,0.0,0.0,0.0,,zero
OpenBMI_SSVEP,OpenBMI,4,3e-05,0,0.9500000000000001,0.9489567369717521,0.9500000000000001,0.9500000000000001,0.9489567369717521,0.9500000000000001,0.0,0.0,0.0,0.0,0.0,,zero
WBCIC_MI,WBCIC,0,3e-05,64,0.707689393939394,0.7024263650233555,0.7076923076923076,0.7036477272727273,0.6977069542880573,0.7036666666666667,0.004041666666666721,0.4041666666666721,0.08833464980125427,0.06197714805603027,0.01747026853263378,0.2362930178642273,positive
WBCIC_MI,WBCIC,1,3e-05,128,0.8927108585858585,0.8925627789403663,0.8926666666666666,0.8917108585858585,0.8915565023037131,0.8916666666666666,0.0010000000000000009,0.10000000000000009,0.042036574333906174,0.0784473866224289,0.01565331406891346,0.3707868456840515,positive
WBCIC_MI,WBCIC,2,3e-05,0,0.883,0.8828306354292564,0.883,0.883,0.8828306354292564,0.883,0.0,0.0,0.0,0.0,0.0,,zero
WBCIC_MI,WBCIC,3,3e-05,0,0.744,0.7412185115398764,0.744,0.744,0.7412185115398764,0.744,0.0,0.0,0.0,0.0,0.0,,zero
WBCIC_MI,WBCIC,4,3e-05,128,0.774,0.7734043470530448,0.774,0.77,0.769171093564855,0.77,0.0040000000000000036,0.40000000000000036,0.21418771147727966,0.1639171987771988,0.03838638588786125,0.2064511626958847,positive
