projector_id,overlap,principal_angles_rad,mean_angle_rad,max_angle_rad
0,0.3228387236595154,"[0.3732731328724799, 0.47889796329413087, 0.6040197083089826, 0.7234706894813918, 0.784627432054788, 0.8544682250569369, 0.9066322486804995, 0.9888729866842882, 1.0809880831122376, 1.1192638670167014, 1.223038360976962, 1.303539782534528, 1.3792320834253489, 1.448787333200683, 1.485752093537502, 1.5296472770502203]",1.01778195420548,1.5296472770502203
1,0.32696372270584106,"[0.37166644531332566, 0.560856685825165, 0.5776845238511119, 0.725784720795498, 0.8011407644233051, 0.839114631333931, 0.8982978611737806, 1.0090989840220537, 1.0103943771351014, 1.1012024115145231, 1.2049975827633237, 1.2800163433939906, 1.3540662471997966, 1.4197509450903467, 1.460659149180812, 1.506087469456113]",1.0075511964045112,1.506087469456113
2,0.3320622444152832,"[0.3901501151972533, 0.4747896146642504, 0.5349443012371268, 0.7011810226038034, 0.7436985468230832, 0.8068116840595353, 0.9287026717832625, 0.9864328214263531, 1.0790635003684972, 1.1629053632401838, 1.1948839586337592, 1.2874833542032638, 1.3578945132267186, 1.4444970067131466, 1.5043883332275159, 1.5340055608701257]",1.0082395230173675,1.5340055608701257
3,0.33909329771995544,"[0.49126983176213596, 0.5461425375538738, 0.5988773923792174, 0.71490731162518, 0.7527505445580659, 0.7907101993943187, 0.8746093214632589, 0.9726764979059801, 1.0523304281391703, 1.0785024891960622, 1.1145716406694228, 1.2370521915318713, 1.279185246911943, 1.3765116092432566, 1.4343379176083446, 1.5411601739990408]",0.9909747083713214,1.5411601739990408
4,0.32950180768966675,"[0.43675918997579094, 0.5523839364619824, 0.6339226231154003, 0.7131768803316101, 0.7400784027706422, 0.8277733076358498, 0.9106104175739195, 0.952834326730832, 1.0193323840080246, 1.1858288152138587, 1.1990380495767525, 1.2023577649389745, 1.3141595302208828, 1.381324358733654, 1.4580762645765382, 1.544350723371937]",1.0045004359522904,1.544350723371937
5,0.3399350643157959,"[0.4246472488289649, 0.519748658203495, 0.600558648246399, 0.6640469272639037, 0.7894331717687921, 0.8335863843058854, 0.8610908933393335, 0.9324933243645182, 1.0226794279676876, 1.1051624003897562, 1.1636385595200116, 1.1855661945112603, 1.377173980680308, 1.447414269270677, 1.5174403054756864, 1.5401445995007241]",0.9990515621023378,1.5401445995007241
6,0.3153763711452484,"[0.4073220200720764, 0.5316731139888765, 0.6027076867610177, 0.6171850566418076, 0.7831947103543091, 0.849701878767362, 0.9535477485107705, 1.0044638394953427, 1.139422493419469, 1.1715137251443453, 1.2578547720158186, 1.3377017600551075, 1.3595103929706347, 1.3916895025047895, 1.496555130887599, 1.5680348806992606]",1.0295049195180366,1.5680348806992606
7,0.3507159352302551,"[0.30275246257681115, 0.46212517432075745, 0.5544361480645947, 0.6030068885568938, 0.7177367153070625, 0.8404069987578454, 0.875489420815161, 0.9003124071177883, 0.9930219888236163, 1.178483907453128, 1.2649757825333061, 1.3189653561614152, 1.3473268669472482, 1.391177242246153, 1.468934533809978, 1.5533791624144322]",0.9857831909941369,1.5533791624144322
8,0.3475775122642517,"[0.4641812424611307, 0.4791254647335814, 0.6796587988380585, 0.6924870036346013, 0.7523720570670139, 0.7742009943649584, 0.8109703560082703, 0.9132404593955632, 1.0227862127778737, 1.0416355477501327, 1.219819081560342, 1.228262635444467, 1.3161376421012292, 1.3560525049015, 1.4350805719345536, 1.5560793609593482]",0.983880620870789,1.5560793609593482
9,0.3093811273574829,"[0.4043191441416726, 0.48707578309807736, 0.5686170567458373, 0.6265064209243134, 0.8583899015839757, 0.9466690369634441, 0.967622394549749, 1.0653595670744125, 1.1092280831387316, 1.1584758952834815, 1.2400829942781837, 1.267997476922738, 1.3581151444433637, 1.3994520793547585, 1.4961444753181894, 1.55830017391176]",1.032022226733293,1.55830017391176
10,0.36806148290634155,"[0.2791160048419462, 0.4498974057241538, 0.5422307955592777, 0.6154704277805574, 0.7261507835346577, 0.8088700621517089, 0.8841389652935344, 0.8933633250559063, 0.9954554031279892, 1.1069536324260765, 1.175343653262272, 1.2243801722974677, 1.2588704454979895, 1.307572917458013, 1.533287692048649, 1.566119250212982]",0.9604513085170738,1.566119250212982
