task,metric,biological_subjects,intact,scale_collapse,random_rank16_mean,scale_harm_pp,random_harm_pp,excess_harm_pp,excess_ci95_low_pp,excess_ci95_high_pp,scale_harm_percentile_among_random,random_harm_q2_5_pp,random_harm_q25_pp,random_harm_q50_pp,random_harm_q75_pp,random_harm_q97_5_pp
OpenBMI_MI,BA,14,0.7490476190476192,0.6335238095238095,0.6224590476190476,11.552380952380949,12.658857142857142,-1.106476190476193,-2.9044797619047666,0.6340607142857115,31.0,8.6725,11.157142857142857,12.573809523809523,14.095238095238095,16.568928571428554
OpenBMI_MI,macro_F1,14,0.7404206922277161,0.5994243099744656,0.5723896935445602,14.099638225325027,16.803099868315563,-2.7034616429905363,-5.364957521323178,-0.10221533109801641,27.0,10.145221829402992,14.02194854035303,16.568832798435793,19.280071724701237,23.76344019536699
OpenBMI_MI,WS_BA,14,0.7144285714285715,0.6020952380952381,0.5901676190476189,11.233333333333333,12.426095238095238,-1.1927619047619034,-2.9491523809523814,0.445503571428571,27.0,8.727857142857143,11.05238095238095,12.528571428571428,13.803571428571427,15.885238095238089
OpenBMI_ERP,BA,14,0.8479668109668111,0.6754473304473304,0.6804216305916305,17.251948051948055,16.754518037518036,0.4974300144300178,-0.4151582972582932,1.3485136724386733,62.0,13.00725468975469,15.312373737373736,16.91277056277056,18.14206349206349,20.566204906204906
OpenBMI_ERP,macro_F1,14,0.8048852407749282,0.6868677655992018,0.6940029061110421,11.801747517572638,11.088233466388616,0.7135140511840236,-0.08816390962247252,1.4759680033673448,65.0,7.638477319153471,9.800998125401469,11.17078348644183,12.371940081442473,15.188083944435947
OpenBMI_ERP,WS_BA,14,0.8152478409670646,0.6535751642737695,0.6552769332850291,16.167267669329522,15.997090768203563,0.17017690112596004,-0.7646331851828534,1.107619563192348,54.0,12.5919038824527,14.70972555845206,16.04647707255348,17.152724441854215,19.186325609906568
OpenBMI_SSVEP,BA,14,0.9102380952380952,0.7337619047619047,0.723202380952381,17.647619047619045,18.703571428571433,-1.0559523809523863,-2.2056214285714346,0.19277261904761583,44.0,12.817380952380947,15.551190476190476,18.02619047619047,21.542857142857144,27.396428571428565
OpenBMI_SSVEP,macro_F1,14,0.9091469849006006,0.7158606551194909,0.7008034086416582,19.328632978110964,20.834357625894235,-1.50572464778327,-2.80466303666005,-0.13196476730232862,43.0,13.8866236227079,17.141781104754358,19.838157957057234,23.915024248889644,30.809149928903487
OpenBMI_SSVEP,WS_BA,14,0.8995714285714286,0.6958571428571428,0.6935171428571428,20.37142857142857,20.605428571428575,-0.23400000000000531,-1.6497630952380977,1.2372869047618962,51.0,14.473452380952377,17.434523809523807,20.15238095238095,23.30952380952381,30.992619047619037
WBCIC_MI,BA,10,0.8047333333333334,0.6648,0.6602386666666666,13.993333333333334,14.449466666666666,-0.4561333333333318,-1.125381666666666,0.2241458333333308,44.0,10.771500000000003,12.805000000000001,14.358333333333334,16.07916666666667,18.559249999999995
WBCIC_MI,macro_F1,10,0.8023025851215747,0.6228387738406862,0.6133672356386871,17.946381128088873,18.89353494828878,-0.9471538201999061,-1.8432102321577297,-0.04609147132393021,43.0,13.434577247412347,16.561630626804607,18.750740685591104,21.288878219525564,24.6319711737482
WBCIC_MI,WS_BA,10,0.7285999999999999,0.6160666666666667,0.6121283333333334,11.253333333333334,11.647166666666669,-0.3938333333333355,-0.8908333333333329,0.0989766666666624,41.0,8.929666666666664,10.371666666666668,11.716666666666669,12.88666666666667,14.448666666666664
