task,fold,seed,subject_id,session,condition,projector_id,BA,macro_F1,trials
OpenBMI_MI,0,0,4,S1,Intact,-1,0.73,0.72997299729973,100
OpenBMI_MI,0,0,4,S1,ScaleCollapse-fixed,-1,0.6,0.5477159656264134,100
OpenBMI_MI,0,0,4,S1,RandomRank16,0,0.58,0.5091164095371669,100
OpenBMI_MI,0,0,4,S1,RandomRank16,1,0.65,0.6072270227808326,100
OpenBMI_MI,0,0,4,S1,RandomRank16,2,0.56,0.5225694444444444,100
OpenBMI_MI,0,0,4,S1,RandomRank16,3,0.54,0.4165398274987316,100
OpenBMI_MI,0,0,4,S1,RandomRank16,4,0.7,0.6980676328502415,100
OpenBMI_MI,0,0,4,S1,RandomRank16,5,0.61,0.5623386825272135,100
OpenBMI_MI,0,0,4,S1,RandomRank16,6,0.5,0.3503118503118503,100
OpenBMI_MI,0,0,4,S1,RandomRank16,7,0.55,0.478623566214807,100
OpenBMI_MI,0,0,4,S1,RandomRank16,8,0.65,0.64996499649965,100
OpenBMI_MI,0,0,4,S1,RandomRank16,9,0.6699999999999999,0.6576408341114224,100
OpenBMI_MI,0,0,4,S1,RandomRank16,10,0.62,0.5924495924495925,100
OpenBMI_MI,0,0,4,S1,RandomRank16,11,0.6900000000000001,0.6726850385386971,100
OpenBMI_MI,0,0,4,S1,RandomRank16,12,0.52,0.39117199391172,100
OpenBMI_MI,0,0,4,S1,RandomRank16,13,0.62,0.5876736111111112,100
OpenBMI_MI,0,0,4,S1,RandomRank16,14,0.66,0.6392190152801358,100
OpenBMI_MI,0,0,4,S1,RandomRank16,15,0.59,0.5249681381068243,100
OpenBMI_MI,0,0,4,S1,RandomRank16,16,0.64,0.609375,100
OpenBMI_MI,0,0,4,S1,RandomRank16,17,0.66,0.6550324675324675,100
OpenBMI_MI,0,0,4,S1,RandomRank16,18,0.63,0.6254681647940075,100
OpenBMI_MI,0,0,4,S1,RandomRank16,19,0.69,0.6899689968996899,100
OpenBMI_MI,0,0,4,S1,RandomRank16,20,0.59,0.5899589958995899,100
OpenBMI_MI,0,0,4,S1,RandomRank16,21,0.6799999999999999,0.6666666666666666,100
OpenBMI_MI,0,0,4,S1,RandomRank16,22,0.6699999999999999,0.6396986570586308,100
OpenBMI_MI,0,0,4,S1,RandomRank16,23,0.6599999999999999,0.6587715776796468,100
OpenBMI_MI,0,0,4,S1,RandomRank16,24,0.54,0.4523809523809523,100
OpenBMI_MI,0,0,4,S1,RandomRank16,25,0.71,0.7013695808876532,100
OpenBMI_MI,0,0,4,S1,RandomRank16,26,0.64,0.6043956043956044,100
OpenBMI_MI,0,0,4,S1,RandomRank16,27,0.59,0.5327635327635327,100
OpenBMI_MI,0,0,4,S1,RandomRank16,28,0.55,0.4479205005520795,100
OpenBMI_MI,0,0,4,S1,RandomRank16,29,0.57,0.483110950835437,100
OpenBMI_MI,0,0,4,S1,RandomRank16,30,0.5800000000000001,0.525101763907734,100
OpenBMI_MI,0,0,4,S1,RandomRank16,31,0.51,0.3988467672678198,100
OpenBMI_MI,0,0,4,S1,RandomRank16,32,0.53,0.4725620020199753,100
OpenBMI_MI,0,0,4,S1,RandomRank16,33,0.59,0.5849782366636299,100
OpenBMI_MI,0,0,4,S1,RandomRank16,34,0.55,0.54995499549955,100
OpenBMI_MI,0,0,4,S1,RandomRank16,35,0.64,0.609375,100
OpenBMI_MI,0,0,4,S1,RandomRank16,36,0.63,0.6093337556752191,100
OpenBMI_MI,0,0,4,S1,RandomRank16,37,0.66,0.6458333333333333,100
OpenBMI_MI,0,0,4,S1,RandomRank16,38,0.6,0.570999570999571,100
OpenBMI_MI,0,0,4,S1,RandomRank16,39,0.64,0.609375,100
OpenBMI_MI,0,0,4,S1,RandomRank16,40,0.5800000000000001,0.5798319327731092,100
OpenBMI_MI,0,0,4,S1,RandomRank16,41,0.67,0.6643271284711627,100
OpenBMI_MI,0,0,4,S1,RandomRank16,42,0.53,0.4350282485875706,100
OpenBMI_MI,0,0,4,S1,RandomRank16,43,0.58,0.5738636363636364,100
OpenBMI_MI,0,0,4,S1,RandomRank16,44,0.59,0.5523528769516323,100
OpenBMI_MI,0,0,4,S1,RandomRank16,45,0.56,0.5225694444444444,100
OpenBMI_MI,0,0,4,S1,RandomRank16,46,0.55,0.5021573182874212,100
OpenBMI_MI,0,0,4,S1,RandomRank16,47,0.6599999999999999,0.6594551282051282,100
OpenBMI_MI,0,0,4,S1,RandomRank16,48,0.64,0.6138996138996139,100
OpenBMI_MI,0,0,4,S1,RandomRank16,49,0.66,0.6550324675324675,100
OpenBMI_MI,0,0,4,S1,RandomRank16,50,0.49,0.3453985367731998,100
OpenBMI_MI,0,0,4,S1,RandomRank16,51,0.54,0.4295634920634921,100
OpenBMI_MI,0,0,4,S1,RandomRank16,52,0.64,0.6328029375764994,100
OpenBMI_MI,0,0,4,S1,RandomRank16,53,0.5599999999999999,0.4761904761904761,100
OpenBMI_MI,0,0,4,S1,RandomRank16,54,0.66,0.6353496353496353,100
OpenBMI_MI,0,0,4,S1,RandomRank16,55,0.53,0.3967398280066743,100
OpenBMI_MI,0,0,4,S1,RandomRank16,56,0.61,0.5481404240528328,100
OpenBMI_MI,0,0,4,S1,RandomRank16,57,0.67,0.648,100
OpenBMI_MI,0,0,4,S1,RandomRank16,58,0.64,0.6216897856242118,100
OpenBMI_MI,0,0,4,S1,RandomRank16,59,0.66,0.6565656565656566,100
OpenBMI_MI,0,0,4,S1,RandomRank16,60,0.6499999999999999,0.6482765551200884,100
OpenBMI_MI,0,0,4,S1,RandomRank16,61,0.64,0.5989304812834224,100
OpenBMI_MI,0,0,4,S1,RandomRank16,62,0.65,0.6496847162446202,100
OpenBMI_MI,0,0,4,S1,RandomRank16,63,0.6,0.5604395604395604,100
OpenBMI_MI,0,0,4,S1,RandomRank16,64,0.6200000000000001,0.6186270574066639,100
