task,metric,replayed,official_artifact,abs_difference,pass
OpenBMI_MI,BA,0.7490476190476192,0.7490476190476192,0.0,True
OpenBMI_MI,macro_F1,0.740420692227716,0.740420692227716,0.0,True
OpenBMI_MI,WS_BA,0.7144285714285715,0.7144285714285715,0.0,True
OpenBMI_ERP,BA,0.8479668109668109,0.8479668109668111,2.220446049250313e-16,True
OpenBMI_ERP,macro_F1,0.8048852407749282,0.8048852407749282,0.0,True
OpenBMI_ERP,WS_BA,0.8152478409670646,0.8152478409670646,0.0,True
OpenBMI_SSVEP,BA,0.9102380952380952,0.9102380952380952,0.0,True
OpenBMI_SSVEP,macro_F1,0.9091469849006006,0.9091469849006006,0.0,True
OpenBMI_SSVEP,WS_BA,0.8995714285714286,0.8995714285714286,0.0,True
WBCIC_MI,BA,0.8047333333333334,0.8047333333333333,1.1102230246251565e-16,True
WBCIC_MI,macro_F1,0.8023025851215747,0.8023025851215749,2.220446049250313e-16,True
WBCIC_MI,WS_BA,0.7285999999999999,0.7285999999999999,0.0,True
