task,fold,Full_protected_rank,B1_protected_rank,Full_active_rank,B1_active_rank,rank_match
OpenBMI_ERP,0,5,5,20,20,yes
OpenBMI_ERP,1,5,5,20,20,yes
OpenBMI_ERP,2,4,5,20,20,no
OpenBMI_ERP,3,6,5,20,20,no
OpenBMI_ERP,4,9,4,20,20,no
OpenBMI_MI,0,8,2,20,20,no
OpenBMI_MI,1,8,8,20,20,yes
OpenBMI_MI,2,8,8,20,20,yes
OpenBMI_MI,3,8,4,20,20,no
OpenBMI_MI,4,4,4,20,20,yes
OpenBMI_SSVEP,0,4,4,20,20,yes
OpenBMI_SSVEP,1,4,8,20,20,no
OpenBMI_SSVEP,2,4,4,20,20,yes
OpenBMI_SSVEP,3,8,4,20,20,no
OpenBMI_SSVEP,4,8,8,20,20,yes
WBCIC_MI,0,3,2,20,20,no
WBCIC_MI,1,4,1,20,20,no
WBCIC_MI,2,4,2,20,20,no
WBCIC_MI,3,4,4,20,20,yes
WBCIC_MI,4,4,3,20,20,no
