subject_id,session,BA,macro_F1,task,fold,seed,checkpoint_sha256
4,S1,0.73,0.72997299729973,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
4,S2,0.8,0.797077922077922,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
12,S1,0.74,0.7373737373737375,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
12,S2,0.7,0.6875,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
13,S1,0.72,0.7181964573268921,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
13,S2,0.6799999999999999,0.6794871794871795,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
17,S1,0.72,0.72,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
17,S2,0.65,0.6457131288591963,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
18,S1,0.6200000000000001,0.6186270574066639,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
18,S2,0.6399999999999999,0.6386993175431553,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
24,S1,0.6499999999999999,0.6482765551200884,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
24,S2,0.55,0.5248653785239151,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
25,S1,0.74,0.7241086587436333,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
25,S2,0.96,0.9599358974358975,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
29,S1,0.61,0.6052232007288187,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
29,S2,0.65,0.64996499649965,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
36,S1,0.9299999999999999,0.9299929992999301,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
36,S2,0.9099999999999999,0.9097744360902256,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
37,S1,0.69,0.6897207486738064,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
37,S2,0.72,0.7126436781609196,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
39,S1,0.8,0.7996794871794872,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
39,S2,0.76,0.7596153846153846,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
42,S1,0.75,0.7457023700539112,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
42,S2,0.69,0.6892230576441103,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
51,S1,0.72,0.7159090909090908,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
51,S2,0.7,0.6921182266009853,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
54,S1,0.71,0.7085720028137876,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
54,S2,0.71,0.7076318177235609,OpenBMI_MI,0,0,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c
4,S1,0.6799999999999999,0.6715927750410509,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
4,S2,0.78,0.7726333195535345,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
12,S1,0.81,0.8098288459613652,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
12,S2,0.79,0.7874278773155178,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
13,S1,0.6799999999999999,0.6794871794871795,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
13,S2,0.66,0.6427070197562001,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
17,S1,0.73,0.712,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
17,S2,0.62,0.6161616161616161,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
18,S1,0.78,0.7756017951856384,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
18,S2,0.74,0.7395833333333333,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
24,S1,0.64,0.6328029375764994,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
24,S2,0.5800000000000001,0.525101763907734,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
25,S1,0.69,0.6656239887822242,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
25,S2,0.99,0.9899989998999901,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
29,S1,0.76,0.7584541062801933,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
29,S2,0.8300000000000001,0.8291628982011858,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
36,S1,0.87,0.8677652324280338,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
36,S2,0.96,0.9599358974358975,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
37,S1,0.71,0.7050147492625369,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
37,S2,0.8,0.797077922077922,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
39,S1,0.8200000000000001,0.8199279711884754,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
39,S2,0.78,0.7799119647859143,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
42,S1,0.76,0.7552019583843329,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
42,S2,0.7,0.6921182266009853,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
51,S1,0.75,0.7457023700539112,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
51,S2,0.6799999999999999,0.6692848284415047,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
54,S1,0.65,0.6457131288591963,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
54,S2,0.73,0.7266929851199515,OpenBMI_MI,0,1,666ec91dd0e33f5ece8021696698231735b7833317e0a0f2a2071a53093745fa
4,S1,0.76,0.7596153846153846,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
4,S2,0.76,0.75,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
12,S1,0.77,0.7613860358958398,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
12,S2,0.77,0.7647058823529411,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
13,S1,0.73,0.7253585596582239,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
13,S2,0.69,0.6892230576441103,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
17,S1,0.77,0.7699769976997699,OpenBMI_MI,0,2,e9a084001940b2e4ca46729c1c0f6ad19c110c11f09df99b2bf0d04a93004eac
