subspace,rank,persistence_strength,signed_causal_utility,decision_dependence,identity_evidence,removed_rms,source_subjects,held_fold
PUD_r1,1,0.8037747532079709,0.06733195238787831,0.6150573713967513,,3.0222966040982957,32,0
PERSISTENCE_r1,1,,9.841009617206353e-07,0.005299845056160511,,0.41512420378803966,32,0
UTILITY_r1,1,,0.10218419560934011,0.6626493773419279,,3.111216237027034,32,0
DECISION_r1,1,,0.10218419560934011,0.6626493773419279,,3.111216237027034,32,0
IDENTITY_r1,1,,-0.0011302942621058687,0.06746122811413653,2.120347226301474,3.288744835794867,32,0
PCA_r1,1,,0.4213002681677527,1.3783408770970653,,3.99658255632433,32,0
RANDOM_r1,1,,-0.000926160674019183,0.0831976029507997,,1.5758403191648762,32,0
PUD_r2,2,0.7689947608191794,0.08015746893035258,0.6820087278644344,,3.449457129655268,32,0
PERSISTENCE_r2,2,,-0.001103766017106711,0.06830742677789348,,3.3148409765082327,32,0
UTILITY_r2,2,,0.2627948118445841,1.1424330208035545,,4.337504263592688,32,0
DECISION_r2,2,,0.2627948118445841,1.1424330208035545,,4.337504263592688,32,0
IDENTITY_r2,2,,0.07285446010162944,0.6326033557881763,1.118347984799348,4.466555648160168,32,0
PCA_r2,2,,0.4213608254969856,1.3796057619781237,,5.247972007941909,32,0
RANDOM_r2,2,,0.004204207758902678,0.12642296746552925,,1.8294267021855584,32,0
PUD_r4,4,0.7269821657740159,0.10621968181819019,0.7756879253389141,,4.051503554002234,32,0
PERSISTENCE_r4,4,,0.09004053093918657,0.6981455458566398,,4.745094451539013,32,0
UTILITY_r4,4,,0.3487631596520402,1.2910319291233083,,4.896110175865573,32,0
DECISION_r4,4,,0.3487631596520402,1.2910319291233083,,4.896110175865573,32,0
IDENTITY_r4,4,,0.08951755940023337,0.6980048301128084,0.6041318265902493,4.828196389675364,32,0
PCA_r4,4,,0.420209720228911,1.3789608733705727,,5.9387396254871625,32,0
RANDOM_r4,4,,0.00011588635347020704,0.01816829172493936,,2.3595686861036933,32,0
PUD_r1,1,0.6369343552185379,0.09810888230266912,0.7593390908656571,,3.2640348200732077,32,1
PERSISTENCE_r1,1,,9.589943026627745e-05,0.0029489167749442153,,0.4365879163034657,32,1
UTILITY_r1,1,,0.09810888230266912,0.7593390908656571,,3.2640348200732077,32,1
DECISION_r1,1,,0.09810888230266912,0.7593390908656571,,3.2640348200732077,32,1
IDENTITY_r1,1,,-0.0015173704093893181,0.08499440153821167,1.7090879198403959,3.1691299964945308,32,1
PCA_r1,1,,0.4104812991786842,1.3948480957187344,,3.9717802151602966,32,1
RANDOM_r1,1,,-0.0021145760246275014,0.08348930804597042,,1.5637492355630607,32,1
PUD_r2,2,0.7202118170213345,0.17601193596565085,0.9783742013560892,,3.8329999626253426,32,1
PERSISTENCE_r2,2,,-0.0014425099748632264,0.08465892625134762,,3.1990614160005784,32,1
UTILITY_r2,2,,0.17601193596565085,0.9783742013560892,,3.8329999626253426,32,1
DECISION_r2,2,,0.17601193596565085,0.9783742013560892,,3.8329999626253426,32,1
IDENTITY_r2,2,,0.016619334126519336,0.35966349594952635,0.9713539320594983,4.0389481552956,32,1
PCA_r2,2,,0.41077867339978386,1.3922805803447584,,5.131757121386554,32,1
RANDOM_r2,2,,0.002156804044639804,0.12819137705417408,,1.832400502979884,32,1
PUD_r4,4,0.7457074944181593,0.3428314961151318,1.2940858977113239,,4.958098376063604,32,1
PERSISTENCE_r4,4,,0.057537357100199915,0.5614036980478311,,4.532292644640621,32,1
UTILITY_r4,4,,0.3428314961151318,1.2940858977113239,,4.958098376063604,32,1
DECISION_r4,4,,0.3428314961151318,1.2940858977113237,,4.958098376063604,32,1
IDENTITY_r4,4,,0.032568436079649044,0.43146390165760606,0.5343344307605485,4.6117166906586675,32,1
PCA_r4,4,,0.40948594274681743,1.3935854056459407,,5.865428887883977,32,1
RANDOM_r4,4,,-0.00028117071065530963,0.018549979597480105,,2.315940986827439,32,1
PUD_r1,1,0.672468791030735,0.0955841672421815,0.7563992838960475,,3.301393528525244,32,2
PERSISTENCE_r1,1,,1.3150256943483818e-05,0.0004305600857387687,,0.38184076071040557,32,2
UTILITY_r1,1,,0.0955841672421815,0.7563992838960475,,3.301393528525244,32,2
DECISION_r1,1,,0.0955841672421815,0.7563992838960475,,3.301393528525244,32,2
IDENTITY_r1,1,,0.0007713954856324312,0.05929727183855598,1.7248794901775855,2.979403022266775,32,2
PCA_r1,1,,0.4319503295095561,1.416207133287877,,4.080112619371298,32,2
RANDOM_r1,1,,0.003685101045718342,0.1443268580171411,,1.5655594546720193,32,2
PUD_r2,2,0.7443556209064911,0.1662737740752674,0.9645988564218476,,3.868973405645375,32,2
PERSISTENCE_r2,2,,0.0007838455710384995,0.05928883833716773,,3.0037717515870432,32,2
UTILITY_r2,2,,0.1662737740752674,0.9645988564218476,,3.868973405645375,32,2
DECISION_r2,2,,0.1662737740752674,0.9645988564218476,,3.868973405645375,32,2
IDENTITY_r2,2,,0.016550225657966267,0.3105698179559472,0.9847267164661213,3.8748928557434836,32,2
PCA_r2,2,,0.4310444412327766,1.4150540332131893,,5.109945109343723,32,2
RANDOM_r2,2,,0.0030614827055627236,0.12979767428033193,,1.8539882315635579,32,2
PUD_r4,4,0.7398545049150282,0.3353883805435803,1.2939345078516606,,5.027457445304931,32,2
PERSISTENCE_r4,4,,0.052604533286452926,0.508976348722246,,4.385242637920347,32,2
UTILITY_r4,4,,0.3353883805435803,1.2939345078516606,,5.027457445304931,32,2
DECISION_r4,4,,0.33538838054358017,1.2939345078516606,,5.027457445304931,32,2
IDENTITY_r4,4,,0.015557071492082908,0.319338906521359,0.5302636452886099,4.327433447288612,32,2
PCA_r4,4,,0.43044149541192295,1.4156491764715609,,5.84618992359238,32,2
RANDOM_r4,4,,9.167649665514643e-05,0.018876938680717915,,2.2209710883678193,32,2
PUD_r1,1,0.7423495780013218,0.1052709451992655,0.7850346334523146,,3.3402506303695816,32,3
PERSISTENCE_r1,1,,1.0785535820012626e-05,0.0007852005031782048,,0.39711711961317503,32,3
UTILITY_r1,1,,0.1052709451992655,0.7850346334523146,,3.3402506303695816,32,3
DECISION_r1,1,,0.1052709451992655,0.7850346334523146,,3.3402506303695816,32,3
IDENTITY_r1,1,,-0.00021108600592190108,0.03237802324259322,1.8099560712642175,3.166499819211496,32,3
PCA_r1,1,,0.439589821886417,1.4188923850589772,,4.050257108134323,32,3
RANDOM_r1,1,,0.00018890304953889103,0.08575549064355906,,1.588658578488624,32,3
PUD_r2,2,0.7335171838467616,0.24188926804666738,1.1306935268781757,,4.043688977764048,32,3
PERSISTENCE_r2,2,,-0.00019813012951430675,0.03250172446849815,,3.191304296327176,32,3
UTILITY_r2,2,,0.24188926804666738,1.1306935268781757,,4.043688977764048,32,3
DECISION_r2,2,,0.24188926804666738,1.1306935268781757,,4.043688977764048,32,3
IDENTITY_r2,2,,0.008574074235296714,0.21138665986909225,1.0269290556857222,3.8767080800721616,32,3
PCA_r2,2,,0.439271251496069,1.4179185866587927,,5.229523840931499,32,3
RANDOM_r2,2,,0.004614975474775018,0.12855120343771861,,1.824748245487207,32,3
PUD_r4,4,0.7587214229739895,0.32833431234336424,1.2853777748384685,,4.94963403130448,32,3
PERSISTENCE_r4,4,,0.01608051804125976,0.24396905020407356,,4.281574430827202,32,3
UTILITY_r4,4,,0.3151948906729745,1.2392227363378978,,4.688991099970401,32,3
DECISION_r4,4,,0.32833431234336424,1.2853777748384685,,4.94963403130448,32,3
IDENTITY_r4,4,,0.015901219059663907,0.24338703128483374,0.5687589342671973,4.419286934984641,32,3
PCA_r4,4,,0.438796362956377,1.4189771715102302,,5.915633600995001,32,3
RANDOM_r4,4,,3.090512020853531e-05,0.01809995396717588,,2.33629460571701,32,3
PUD_r1,1,0.6681272649023848,0.11851196558344473,0.7912144814290255,,3.3021317312999137,32,4
PERSISTENCE_r1,1,,0.00015839765077130252,0.009894095176168327,,0.48635553495306816,32,4
UTILITY_r1,1,,0.11851196558344473,0.7912144814290255,,3.3021317312999137,32,4
DECISION_r1,1,,0.11851196558344473,0.7912144814290255,,3.3021317312999137,32,4
IDENTITY_r1,1,,-0.00036792042827277216,0.055836209711317544,1.6360836389283908,3.137370764134367,32,4
PCA_r1,1,,0.40754279457673437,1.3713343135413703,,3.971027791875983,32,4
RANDOM_r1,1,,-0.001141054549869236,0.08485034179220899,,1.5760667104434043,32,4
PUD_r2,2,0.7461938661717429,0.22871795216720692,1.0986823123369245,,4.247950009538623,32,4
PERSISTENCE_r2,2,,-0.00022028681344332668,0.05663510812706725,,3.174844408474933,32,4
UTILITY_r2,2,,0.22871795216720692,1.0986823123369245,,4.247950009538623,32,4
DECISION_r2,2,,0.22871795216720692,1.0986823123369245,,4.247950009538623,32,4
IDENTITY_r2,2,,0.036657108808044514,0.4526846078686719,0.9115268997594861,4.121177092085037,32,4
PCA_r2,2,,0.4066391568769583,1.3692937794294766,,5.128070281673182,32,4
RANDOM_r2,2,,0.0035057713834293347,0.12790702361106973,,1.8468075935647028,32,4
PUD_r4,4,0.7517072955735381,0.30572837827812516,1.224492285890937,,4.914630812204136,32,4
PERSISTENCE_r4,4,,0.056398922762646575,0.5424649513185148,,4.506463273529868,32,4
UTILITY_r4,4,,0.30572837827812516,1.224492285890937,,4.914630812204136,32,4
DECISION_r4,4,,0.30572837827812516,1.224492285890937,,4.914630812204136,32,4
IDENTITY_r4,4,,0.040377870920652925,0.46307566520774346,0.5146907250351038,4.57325546408608,32,4
PCA_r4,4,,0.40458041776260223,1.3691539318568358,,5.857419831495439,32,4
RANDOM_r4,4,,-0.00022925485746200236,0.018398333787934124,,2.3088818683775996,32,4
