outer_fold,method,mean_BA
0,DECISION_ONLY_PROTECT,0.88625
0,DGUG_GATED,0.885
0,DGUG_PROTECT,0.86875
0,GENERIC,0.885
0,IDENTITY_PROTECT,0.87
0,NOADAPT,0.88375
0,PCA_PROTECT,0.88375
0,PERSISTENCE_ONLY_PROTECT,0.87
0,RANDOM_PROTECT,0.885
0,RISK_GATED,0.885
0,UTILITY_ONLY_PROTECT,0.88625
0,UTILITY_TRUST_REGION,0.8887499999999999
1,DECISION_ONLY_PROTECT,0.895
1,DGUG_GATED,0.88375
1,DGUG_PROTECT,0.895
1,GENERIC,0.88375
1,IDENTITY_PROTECT,0.8925
1,NOADAPT,0.885
1,PCA_PROTECT,0.885
1,PERSISTENCE_ONLY_PROTECT,0.87625
1,RANDOM_PROTECT,0.8825
1,RISK_GATED,0.88375
1,UTILITY_ONLY_PROTECT,0.895
1,UTILITY_TRUST_REGION,0.89
2,DECISION_ONLY_PROTECT,0.88
2,DGUG_GATED,0.875
2,DGUG_PROTECT,0.88
2,GENERIC,0.875
2,IDENTITY_PROTECT,0.875
2,NOADAPT,0.8825
2,PCA_PROTECT,0.88
2,PERSISTENCE_ONLY_PROTECT,0.87
2,RANDOM_PROTECT,0.87625
2,RISK_GATED,0.875
2,UTILITY_ONLY_PROTECT,0.88
2,UTILITY_TRUST_REGION,0.875
3,DECISION_ONLY_PROTECT,0.865
3,DGUG_GATED,0.8574999999999999
3,DGUG_PROTECT,0.865
3,GENERIC,0.8574999999999999
3,IDENTITY_PROTECT,0.85625
3,NOADAPT,0.85
3,PCA_PROTECT,0.8674999999999999
3,PERSISTENCE_ONLY_PROTECT,0.85625
3,RANDOM_PROTECT,0.86125
3,RISK_GATED,0.8574999999999999
3,UTILITY_ONLY_PROTECT,0.85375
3,UTILITY_TRUST_REGION,0.8625
4,DECISION_ONLY_PROTECT,0.91375
4,DGUG_GATED,0.91
4,DGUG_PROTECT,0.91375
4,GENERIC,0.91
4,IDENTITY_PROTECT,0.91125
4,NOADAPT,0.905
4,PCA_PROTECT,0.9075
4,PERSISTENCE_ONLY_PROTECT,0.915
4,RANDOM_PROTECT,0.91125
4,RISK_GATED,0.91
4,UTILITY_ONLY_PROTECT,0.91375
4,UTILITY_TRUST_REGION,0.90875
