subject_id,generic_delta_vs_noadapt,ours_method,ours_delta_vs_noadapt,ours_minus_generic,generic_harmed,ours_harmed,generic_harmed_rescued,newly_harmed
1,-0.009999999999999898,DGUG_PROTECT,0.0,0.009999999999999898,True,False,True,False
2,0.02000000000000013,DGUG_PROTECT,0.020000000000000018,-1.1102230246251565e-16,False,False,False,False
3,0.0,DGUG_PROTECT,0.0,0.0,False,False,False,False
5,-0.010000000000000009,DGUG_PROTECT,0.010000000000000009,0.020000000000000018,True,False,True,False
6,0.0,DGUG_PROTECT,0.0,0.0,False,False,False,False
7,0.0,DGUG_PROTECT,-0.040000000000000036,-0.040000000000000036,False,True,False,True
8,0.0,DGUG_PROTECT,0.0,0.0,False,False,False,False
9,-0.010000000000000009,DGUG_PROTECT,0.019999999999999907,0.029999999999999916,True,False,True,False
10,-0.04999999999999993,DGUG_PROTECT,-0.019999999999999907,0.030000000000000027,True,True,False,False
11,0.050000000000000044,DGUG_PROTECT,0.06000000000000005,0.010000000000000009,False,False,False,False
14,0.010000000000000009,DGUG_PROTECT,-0.050000000000000044,-0.06000000000000005,False,True,False,True
15,-0.040000000000000036,DGUG_PROTECT,-0.009999999999999898,0.030000000000000138,True,True,False,False
16,0.009999999999999898,DGUG_PROTECT,0.0,-0.009999999999999898,False,False,False,False
19,0.09999999999999998,DGUG_PROTECT,0.09000000000000008,-0.009999999999999898,False,False,False,False
20,-0.010000000000000009,DGUG_PROTECT,0.0,0.010000000000000009,True,False,True,False
21,0.0,DGUG_PROTECT,0.0,0.0,False,False,False,False
22,-0.020000000000000018,DGUG_PROTECT,0.0,0.020000000000000018,True,False,True,False
23,-0.010000000000000009,DGUG_PROTECT,-0.010000000000000009,0.0,True,True,False,False
26,0.010000000000000009,DGUG_PROTECT,0.010000000000000009,0.0,False,False,False,False
27,0.0,DGUG_PROTECT,0.010000000000000009,0.010000000000000009,False,False,False,False
28,0.0,DGUG_PROTECT,0.020000000000000018,0.020000000000000018,False,False,False,False
30,0.020000000000000018,DGUG_PROTECT,0.020000000000000018,0.0,False,False,False,False
31,0.0,DGUG_PROTECT,0.0,0.0,False,False,False,False
32,-0.030000000000000138,DGUG_PROTECT,-0.020000000000000018,0.01000000000000012,True,True,False,False
33,0.0,DGUG_PROTECT,-0.010000000000000009,-0.010000000000000009,False,True,False,True
34,0.0,DGUG_PROTECT,-0.010000000000000009,-0.010000000000000009,False,True,False,True
35,-0.07999999999999996,DGUG_PROTECT,0.0,0.07999999999999996,True,False,True,False
38,-0.039999999999999925,DGUG_PROTECT,-0.029999999999999916,0.010000000000000009,True,True,False,False
40,0.05999999999999994,DGUG_PROTECT,0.06999999999999995,0.010000000000000009,False,False,False,False
41,0.009999999999999898,DGUG_PROTECT,0.0,-0.009999999999999898,False,False,False,False
43,-0.010000000000000009,DGUG_PROTECT,-0.020000000000000018,-0.010000000000000009,True,True,False,False
44,0.010000000000000009,DGUG_PROTECT,0.0,-0.010000000000000009,False,False,False,False
45,0.0,DGUG_PROTECT,0.0,0.0,False,False,False,False
46,-0.010000000000000009,DGUG_PROTECT,-0.010000000000000009,0.0,True,True,False,False
47,0.010000000000000009,DGUG_PROTECT,0.0,-0.010000000000000009,False,False,False,False
48,0.020000000000000018,DGUG_PROTECT,-0.020000000000000018,-0.040000000000000036,False,True,False,True
49,0.07999999999999996,DGUG_PROTECT,0.050000000000000044,-0.029999999999999916,False,False,False,False
50,-0.010000000000000009,DGUG_PROTECT,0.0,0.010000000000000009,True,False,True,False
52,-0.009999999999999898,DGUG_PROTECT,-0.009999999999999898,0.0,True,True,False,False
53,-0.020000000000000018,DGUG_PROTECT,0.009999999999999898,0.029999999999999916,True,False,True,False
