seed,representation,method,mean_BA,delta_vs_generic,negative_transfer_rate,internal_holdout_used
0,MI_SPECIFIC_EEGNET,DGUG_PROTECT,0.8845000000000001,0.0022499999999999,0.325,False
0,MI_SPECIFIC_EEGNET,UTILITY_TRUST_REGION,0.885,0.0027499999999999,0.325,False
0,MI_SPECIFIC_EEGNET,DECISION_ONLY_PROTECT,0.8880000000000001,0.00575,0.275,False
1,MI_SPECIFIC_EEGNET,DGUG_PROTECT,0.8845000000000001,0.0022499999999999,0.325,False
1,MI_SPECIFIC_EEGNET,UTILITY_TRUST_REGION,0.885,0.0027499999999999,0.325,False
1,MI_SPECIFIC_EEGNET,DECISION_ONLY_PROTECT,0.8880000000000001,0.00575,0.275,False
2,MI_SPECIFIC_EEGNET,DGUG_PROTECT,0.8845000000000001,0.0022499999999999,0.325,False
2,MI_SPECIFIC_EEGNET,UTILITY_TRUST_REGION,0.885,0.0027499999999999,0.325,False
2,MI_SPECIFIC_EEGNET,DECISION_ONLY_PROTECT,0.8880000000000001,0.00575,0.275,False
