held_fold,method,rank,utility_drop,source_BA,source_delta_vs_generic,source_harm_rate,protected_rate,selected
0,DGUG_PROTECT,4,0.0,0.8834375,-0.0031250000000000444,0.40625,1.0,False
0,DGUG_PROTECT,4,0.25,0.8834375,-0.0031250000000000444,0.40625,1.0,False
0,DGUG_PROTECT,4,0.5,0.8834375,-0.0031250000000000444,0.40625,1.0,False
0,DGUG_GATED,4,0.0,0.8865625,0.0,0.46875,0.0,False
0,DGUG_GATED,4,0.25,0.8865625,0.0,0.46875,0.0,False
0,DGUG_GATED,4,0.5,0.8865625,0.0,0.46875,0.0,False
0,UTILITY_TRUST_REGION,4,0.0,0.8875,0.0009374999999999245,0.4375,0.25,True
0,UTILITY_TRUST_REGION,4,0.25,0.8875,0.0009374999999999245,0.4375,0.25,False
0,UTILITY_TRUST_REGION,4,0.5,0.8875,0.0009374999999999245,0.4375,0.25,False
0,RISK_GATED,4,0.0,0.8865625,0.0,0.46875,0.0,False
0,RISK_GATED,4,0.25,0.8865625,0.0,0.46875,0.0,False
0,RISK_GATED,4,0.5,0.8865625,0.0,0.46875,0.0,False
0,UTILITY_ONLY_PROTECT,4,0.0,0.8840625,-0.0025000000000000577,0.4375,1.0,False
0,UTILITY_ONLY_PROTECT,4,0.25,0.8840625,-0.0025000000000000577,0.4375,1.0,False
0,UTILITY_ONLY_PROTECT,4,0.5,0.8840625,-0.0025000000000000577,0.4375,1.0,False
0,PERSISTENCE_ONLY_PROTECT,4,0.0,0.875625,-0.010937500000000044,0.53125,1.0,False
0,PERSISTENCE_ONLY_PROTECT,4,0.25,0.875625,-0.010937500000000044,0.53125,1.0,False
0,PERSISTENCE_ONLY_PROTECT,4,0.5,0.875625,-0.010937500000000044,0.53125,1.0,False
0,DECISION_ONLY_PROTECT,4,0.0,0.8840625,-0.0025000000000000577,0.4375,1.0,False
0,DECISION_ONLY_PROTECT,4,0.25,0.8840625,-0.0025000000000000577,0.4375,1.0,False
0,DECISION_ONLY_PROTECT,4,0.5,0.8840625,-0.0025000000000000577,0.4375,1.0,False
0,IDENTITY_PROTECT,4,0.0,0.875,-0.011562500000000031,0.5625,1.0,False
0,IDENTITY_PROTECT,4,0.25,0.875,-0.011562500000000031,0.5625,1.0,False
0,IDENTITY_PROTECT,4,0.5,0.875,-0.011562500000000031,0.5625,1.0,False
0,RANDOM_PROTECT,4,0.0,0.885625,-0.0009375000000000355,0.4375,1.0,False
0,RANDOM_PROTECT,4,0.25,0.885625,-0.0009375000000000355,0.4375,1.0,False
0,RANDOM_PROTECT,4,0.5,0.885625,-0.0009375000000000355,0.4375,1.0,False
0,PCA_PROTECT,4,0.0,0.88375,-0.0028124999999999956,0.375,1.0,False
0,PCA_PROTECT,4,0.25,0.88375,-0.0028124999999999956,0.375,1.0,False
0,PCA_PROTECT,4,0.5,0.88375,-0.0028124999999999956,0.375,1.0,False
1,DGUG_PROTECT,4,0.0,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,DGUG_PROTECT,4,0.25,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,DGUG_PROTECT,4,0.5,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,DGUG_GATED,4,0.0,0.886875,0.0,0.40625,0.0,False
1,DGUG_GATED,4,0.25,0.886875,0.0,0.40625,0.0,False
1,DGUG_GATED,4,0.5,0.886875,0.0,0.40625,0.0,False
1,UTILITY_TRUST_REGION,4,0.0,0.8890625,0.002187500000000009,0.28125,0.84375,True
1,UTILITY_TRUST_REGION,4,0.25,0.8890625,0.002187500000000009,0.28125,0.84375,False
1,UTILITY_TRUST_REGION,4,0.5,0.8890625,0.002187500000000009,0.28125,0.84375,False
1,RISK_GATED,4,0.0,0.886875,0.0,0.40625,0.0,False
1,RISK_GATED,4,0.25,0.886875,0.0,0.40625,0.0,False
1,RISK_GATED,4,0.5,0.886875,0.0,0.40625,0.0,False
1,UTILITY_ONLY_PROTECT,4,0.0,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,UTILITY_ONLY_PROTECT,4,0.25,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,UTILITY_ONLY_PROTECT,4,0.5,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,PERSISTENCE_ONLY_PROTECT,4,0.0,0.8778124999999999,-0.009062500000000084,0.40625,1.0,False
1,PERSISTENCE_ONLY_PROTECT,4,0.25,0.8778124999999999,-0.009062500000000084,0.40625,1.0,False
1,PERSISTENCE_ONLY_PROTECT,4,0.5,0.8778124999999999,-0.009062500000000084,0.40625,1.0,False
1,DECISION_ONLY_PROTECT,4,0.0,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,DECISION_ONLY_PROTECT,4,0.25,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,DECISION_ONLY_PROTECT,4,0.5,0.8859375,-0.0009374999999999245,0.25,1.0,False
1,IDENTITY_PROTECT,4,0.0,0.8781249999999999,-0.008750000000000036,0.4375,1.0,False
1,IDENTITY_PROTECT,4,0.25,0.8781249999999999,-0.008750000000000036,0.4375,1.0,False
1,IDENTITY_PROTECT,4,0.5,0.8781249999999999,-0.008750000000000036,0.4375,1.0,False
1,RANDOM_PROTECT,4,0.0,0.88625,-0.0006249999999999867,0.375,1.0,False
1,RANDOM_PROTECT,4,0.25,0.88625,-0.0006249999999999867,0.375,1.0,False
1,RANDOM_PROTECT,4,0.5,0.88625,-0.0006249999999999867,0.375,1.0,False
1,PCA_PROTECT,4,0.0,0.88375,-0.0031249999999999334,0.34375,1.0,False
1,PCA_PROTECT,4,0.25,0.88375,-0.0031249999999999334,0.34375,1.0,False
1,PCA_PROTECT,4,0.5,0.88375,-0.0031249999999999334,0.34375,1.0,False
2,DGUG_PROTECT,4,0.0,0.889375,0.0012500000000000844,0.25,1.0,False
2,DGUG_PROTECT,4,0.25,0.889375,0.0012500000000000844,0.25,1.0,False
2,DGUG_PROTECT,4,0.5,0.889375,0.0012500000000000844,0.25,1.0,False
2,DGUG_GATED,4,0.0,0.8881249999999999,0.0,0.21875,0.0,False
2,DGUG_GATED,4,0.25,0.8881249999999999,0.0,0.21875,0.0,False
2,DGUG_GATED,4,0.5,0.8881249999999999,0.0,0.21875,0.0,False
2,UTILITY_TRUST_REGION,4,0.0,0.8890624999999999,0.0009374999999999245,0.15625,0.71875,True
2,UTILITY_TRUST_REGION,4,0.25,0.8890624999999999,0.0009374999999999245,0.15625,0.71875,False
2,UTILITY_TRUST_REGION,4,0.5,0.8890624999999999,0.0009374999999999245,0.15625,0.71875,False
2,RISK_GATED,4,0.0,0.8881249999999999,0.0,0.21875,0.0,False
2,RISK_GATED,4,0.25,0.8881249999999999,0.0,0.21875,0.0,False
2,RISK_GATED,4,0.5,0.8881249999999999,0.0,0.21875,0.0,False
2,UTILITY_ONLY_PROTECT,4,0.0,0.889375,0.0012500000000000844,0.25,1.0,False
2,UTILITY_ONLY_PROTECT,4,0.25,0.889375,0.0012500000000000844,0.25,1.0,False
2,UTILITY_ONLY_PROTECT,4,0.5,0.889375,0.0012500000000000844,0.25,1.0,False
2,PERSISTENCE_ONLY_PROTECT,4,0.0,0.884375,-0.00374999999999992,0.34375,1.0,False
2,PERSISTENCE_ONLY_PROTECT,4,0.25,0.884375,-0.00374999999999992,0.34375,1.0,False
2,PERSISTENCE_ONLY_PROTECT,4,0.5,0.884375,-0.00374999999999992,0.34375,1.0,False
2,DECISION_ONLY_PROTECT,4,0.0,0.889375,0.0012500000000000844,0.25,1.0,False
2,DECISION_ONLY_PROTECT,4,0.25,0.889375,0.0012500000000000844,0.25,1.0,False
2,DECISION_ONLY_PROTECT,4,0.5,0.889375,0.0012500000000000844,0.25,1.0,False
2,IDENTITY_PROTECT,4,0.0,0.8828125,-0.005312499999999942,0.34375,1.0,False
2,IDENTITY_PROTECT,4,0.25,0.8828125,-0.005312499999999942,0.34375,1.0,False
2,IDENTITY_PROTECT,4,0.5,0.8828125,-0.005312499999999942,0.34375,1.0,False
2,RANDOM_PROTECT,4,0.0,0.8871875,-0.0009374999999999245,0.1875,1.0,False
2,RANDOM_PROTECT,4,0.25,0.8871875,-0.0009374999999999245,0.1875,1.0,False
2,RANDOM_PROTECT,4,0.5,0.8871875,-0.0009374999999999245,0.1875,1.0,False
2,PCA_PROTECT,4,0.0,0.885625,-0.0024999999999999467,0.25,1.0,False
2,PCA_PROTECT,4,0.25,0.885625,-0.0024999999999999467,0.25,1.0,False
2,PCA_PROTECT,4,0.5,0.885625,-0.0024999999999999467,0.25,1.0,False
3,DGUG_PROTECT,4,0.0,0.8884375,-0.0050000000000000044,0.53125,1.0,False
3,DGUG_PROTECT,4,0.25,0.8884375,-0.0050000000000000044,0.53125,1.0,False
3,DGUG_PROTECT,4,0.5,0.8884375,-0.0050000000000000044,0.53125,1.0,False
3,DGUG_GATED,4,0.0,0.8934375,0.0,0.375,0.0,False
3,DGUG_GATED,4,0.25,0.8934375,0.0,0.375,0.0,False
3,DGUG_GATED,4,0.5,0.8934375,0.0,0.375,0.0,False
3,UTILITY_TRUST_REGION,4,0.0,0.89625,0.0028124999999999956,0.28125,0.875,True
3,UTILITY_TRUST_REGION,4,0.25,0.89625,0.0028124999999999956,0.28125,0.875,False
3,UTILITY_TRUST_REGION,4,0.5,0.89625,0.0028124999999999956,0.28125,0.875,False
3,RISK_GATED,4,0.0,0.8934375,0.0,0.375,0.0,False
3,RISK_GATED,4,0.25,0.8934375,0.0,0.375,0.0,False
3,RISK_GATED,4,0.5,0.8934375,0.0,0.375,0.0,False
3,UTILITY_ONLY_PROTECT,4,0.0,0.89375,0.00031250000000004885,0.28125,1.0,False
3,UTILITY_ONLY_PROTECT,4,0.25,0.89375,0.00031250000000004885,0.28125,1.0,False
3,UTILITY_ONLY_PROTECT,4,0.5,0.89375,0.00031250000000004885,0.28125,1.0,False
3,PERSISTENCE_ONLY_PROTECT,4,0.0,0.8890625,-0.004375000000000018,0.4375,1.0,False
3,PERSISTENCE_ONLY_PROTECT,4,0.25,0.8890625,-0.004375000000000018,0.4375,1.0,False
3,PERSISTENCE_ONLY_PROTECT,4,0.5,0.8890625,-0.004375000000000018,0.4375,1.0,False
3,DECISION_ONLY_PROTECT,4,0.0,0.8884375,-0.0050000000000000044,0.53125,1.0,False
3,DECISION_ONLY_PROTECT,4,0.25,0.8884375,-0.0050000000000000044,0.53125,1.0,False
3,DECISION_ONLY_PROTECT,4,0.5,0.8884375,-0.0050000000000000044,0.53125,1.0,False
3,IDENTITY_PROTECT,4,0.0,0.8865624999999999,-0.0068750000000000755,0.46875,1.0,False
3,IDENTITY_PROTECT,4,0.25,0.8865624999999999,-0.0068750000000000755,0.46875,1.0,False
3,IDENTITY_PROTECT,4,0.5,0.8865624999999999,-0.0068750000000000755,0.46875,1.0,False
3,RANDOM_PROTECT,4,0.0,0.8915625,-0.00187499999999996,0.375,1.0,False
3,RANDOM_PROTECT,4,0.25,0.8915625,-0.00187499999999996,0.375,1.0,False
3,RANDOM_PROTECT,4,0.5,0.8915625,-0.00187499999999996,0.375,1.0,False
3,PCA_PROTECT,4,0.0,0.8878124999999999,-0.005625000000000102,0.40625,1.0,False
3,PCA_PROTECT,4,0.25,0.8878124999999999,-0.005625000000000102,0.40625,1.0,False
3,PCA_PROTECT,4,0.5,0.8878124999999999,-0.005625000000000102,0.40625,1.0,False
4,DGUG_PROTECT,4,0.0,0.88,0.0006249999999999867,0.25,1.0,True
4,DGUG_PROTECT,4,0.25,0.88,0.0006249999999999867,0.25,1.0,False
4,DGUG_PROTECT,4,0.5,0.88,0.0006249999999999867,0.25,1.0,False
4,DGUG_GATED,4,0.0,0.879375,0.0,0.28125,0.0,False
4,DGUG_GATED,4,0.25,0.879375,0.0,0.28125,0.0,False
4,DGUG_GATED,4,0.5,0.879375,0.0,0.28125,0.0,False
4,UTILITY_TRUST_REGION,4,0.0,0.8799999999999999,0.0006249999999998757,0.25,0.6875,False
4,UTILITY_TRUST_REGION,4,0.25,0.8799999999999999,0.0006249999999998757,0.25,0.6875,False
4,UTILITY_TRUST_REGION,4,0.5,0.8799999999999999,0.0006249999999998757,0.25,0.6875,False
4,RISK_GATED,4,0.0,0.879375,0.0,0.28125,0.0,False
4,RISK_GATED,4,0.25,0.879375,0.0,0.28125,0.0,False
4,RISK_GATED,4,0.5,0.879375,0.0,0.28125,0.0,False
4,UTILITY_ONLY_PROTECT,4,0.0,0.88,0.0006249999999999867,0.25,1.0,False
4,UTILITY_ONLY_PROTECT,4,0.25,0.88,0.0006249999999999867,0.25,1.0,False
4,UTILITY_ONLY_PROTECT,4,0.5,0.88,0.0006249999999999867,0.25,1.0,False
4,PERSISTENCE_ONLY_PROTECT,4,0.0,0.8753124999999999,-0.00406250000000008,0.25,1.0,False
4,PERSISTENCE_ONLY_PROTECT,4,0.25,0.8753124999999999,-0.00406250000000008,0.25,1.0,False
4,PERSISTENCE_ONLY_PROTECT,4,0.5,0.8753124999999999,-0.00406250000000008,0.25,1.0,False
4,DECISION_ONLY_PROTECT,4,0.0,0.88,0.0006249999999999867,0.25,1.0,False
4,DECISION_ONLY_PROTECT,4,0.25,0.88,0.0006249999999999867,0.25,1.0,False
4,DECISION_ONLY_PROTECT,4,0.5,0.88,0.0006249999999999867,0.25,1.0,False
4,IDENTITY_PROTECT,4,0.0,0.875,-0.004375000000000018,0.3125,1.0,False
