representation,method,mean_BA,delta_vs_Generic,negative_transfer_rate,negative_transfer_severity,subjects_favoring,utility_retention,decision_grounding_specificity,random_control_gap,PCA_control_gap,identity_control_gap,persistence_control_gap,parameter_count,selection_scope
MI_SPECIFIC_EEGNET,DECISION_ONLY_PROTECT,0.8880000000000001,0.00575,0.275,-0.0037499999999999,19,0.3535052498588198,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,DGUG_GATED,0.88225,0.0,0.4,-0.0092499999999999,0,0.2293755620029447,1,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,DGUG_PROTECT,0.8845000000000001,0.0022499999999999,0.325,-0.0064999999999999,17,0.3106373313441799,1,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,GENERIC,0.88225,0.0,0.4,-0.0092499999999999,0,,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,IDENTITY_PROTECT,0.8809999999999999,-0.00125,0.4,-0.0117499999999999,19,0.0631529214504947,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,NOADAPT,0.88125,-0.001,0.0,0.0,17,,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,PCA_PROTECT,0.88475,0.0024999999999999,0.35,-0.0044999999999999,17,0.4032018365590439,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,PERSISTENCE_ONLY_PROTECT,0.8775000000000001,-0.0047499999999999,0.4,-0.0137499999999999,16,0.0850770035670109,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,RANDOM_PROTECT,0.88325,0.001,0.375,-0.0089999999999999,12,0.0017715048389668,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,RISK_GATED,0.88225,0.0,0.4,-0.0092499999999999,0,,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,UTILITY_ONLY_PROTECT,0.88575,0.0034999999999999,0.275,-0.0047499999999999,17,0.3497450554992493,0,,,,,65,development descriptive
MI_SPECIFIC_EEGNET,UTILITY_TRUST_REGION,0.885,0.0027499999999999,0.325,-0.0077499999999999,9,0.2753483723490394,1,,,,,65,development descriptive
CONFORMER_NORM,DECISION_ONLY_PROTECT,0.8852499999999999,-0.0095,0.525,-0.01125,5,0.3633383818799273,0,,,,,65,development descriptive
CONFORMER_NORM,DGUG_GATED,0.8947499999999999,0.0,0.325,-0.00375,0,0.277505505922624,1,,,,,65,development descriptive
CONFORMER_NORM,DGUG_PROTECT,0.8855000000000001,-0.00925,0.45,-0.01,6,0.2325741850122216,1,,,,,65,development descriptive
CONFORMER_NORM,GENERIC,0.8947499999999999,0.0,0.325,-0.00375,0,,0,,,,,65,development descriptive
CONFORMER_NORM,IDENTITY_PROTECT,0.8942499999999999,-0.0005,0.25,-0.0055,16,0.0107631541171233,0,,,,,65,development descriptive
CONFORMER_NORM,NOADAPT,0.893,-0.0017499999999999,0.0,0.0,13,,0,,,,,65,development descriptive
CONFORMER_NORM,PCA_PROTECT,0.8872499999999999,-0.0075,0.4,-0.0085,8,0.4086738926505492,0,,,,,65,development descriptive
CONFORMER_NORM,PERSISTENCE_ONLY_PROTECT,0.89375,-0.001,0.25,-0.00425,11,0.1994577068087768,0,,,,,65,development descriptive
CONFORMER_NORM,RANDOM_PROTECT,0.8960000000000001,0.00125,0.25,-0.0035,7,0.01101731109162,0,,,,,65,development descriptive
CONFORMER_NORM,RISK_GATED,0.8947499999999999,0.0,0.325,-0.00375,0,,0,,,,,65,development descriptive
CONFORMER_NORM,UTILITY_ONLY_PROTECT,0.8852499999999999,-0.0095,0.525,-0.01125,5,0.3633383818799273,0,,,,,65,development descriptive
