fold,seed,direction,rho,persistence_correlation,permutation_p95,P_pass,utility_harm_mean,matched_random_utility_mean,utility_specific_mean,utility_specific_CI95_L,utility_specific_CI95_U,U_pass,D_finite,D_finite_matched_random_mean,D_finite_ratio,D_pass,PUD_pass,D_flip_used,identity_used
0,0,0,0.5774718602017341,0.8908998828910235,0.17766886532394624,True,-2.8113511856331636e-05,0.04068061332773269,-0.040708726839589024,-0.053208787164297215,-0.0308318663440031,False,0.01218654699520479,0.48436430876216663,0.025159878163501615,False,False,False,False
0,0,1,0.2573407478395985,0.8477769590903217,0.09298063420427596,True,8.506683472915501e-05,0.01669052420507221,-0.016605457370343055,-0.020117832377282794,-0.013553641823698621,False,0.12644804608851123,0.3186364852272531,0.39684107737482693,False,False,False,False
0,0,2,0.1296405557277313,0.7439720093927845,0.04097908221723072,True,0.005372362938758178,0.008696815827619483,-0.003324452888861305,-0.007073303076761792,0.0004016827135929854,False,0.21995766354473356,0.23480940489766752,0.9367498019961913,False,False,False,False
0,0,3,0.12415632247890941,0.8960464454203224,0.028165942920409737,True,0.11163234874452466,0.023153544458948898,0.08847880428557575,0.07131588865305126,0.105459825777866,True,0.9170418902646882,0.4077117366691852,2.2492408429457855,True,True,False,False
0,0,4,0.11154697162068021,0.8060829007714394,0.030806236116529283,True,0.022375635965103682,0.02270511483898173,-0.00032947887387804937,-0.007901704353240873,0.0072145610721804955,False,0.4095732061613902,0.3804684179097696,1.0764972514972924,True,False,False,False
0,0,5,0.0954816281035822,0.8288982286033212,0.03195174711404172,True,0.08808716951227383,0.01850217582723874,0.06958499368503507,0.05410595921736537,0.08689365399985514,True,0.8886452600199102,0.36782190199560105,2.4159661379559116,True,True,False,False
0,0,6,0.06866051579154414,0.8185115710850238,0.02449545072141068,True,0.05889637950919008,0.015425214411629234,0.04347116509756084,0.03175589789251653,0.05576069418108639,True,0.6493603019062958,0.3165326977893784,2.0514793777746827,True,True,False,False
0,0,7,0.06081465534405017,0.6674573067341312,0.02832946071451969,True,0.014856035247003631,0.00656760382451491,0.00828843142248872,0.0028891856591827117,0.013798695635573668,True,0.3465282425538945,0.20152539365531583,1.7195264391672054,True,True,False,False
0,0,8,0.04812175643156355,0.6131426945372792,0.01821802089140963,True,-5.5644133942456896e-05,0.004355718566816608,-0.004411362700759065,-0.004800445111662402,-0.004019870758663019,False,0.007599166128345278,0.16624645055783868,0.045710245859964735,False,False,False,False
0,0,9,0.03716178578604455,0.8306410533114137,0.015689708596767122,True,0.07282766823652272,0.017298964150098937,0.05552870408642379,0.044709419969256724,0.06647926359767022,True,0.7223730491925214,0.33369406730191015,2.1647764224077544,True,True,False,False
0,0,10,0.03240762751706604,0.4949116743722618,0.01423510087356518,True,0.0025425865834571544,0.007481048925038694,-0.0049384623415815385,-0.007297548120980777,-0.002745567526344288,False,0.15733966226733584,0.2073088088556914,0.7589627432419463,False,False,False,False
0,0,11,0.026367248148744492,0.6811794222162484,0.011095584314374171,True,0.012008957471602306,0.007424939654175558,0.004584017817426749,0.0005364520233433088,0.008433001304055762,True,0.2812577843641549,0.21260132952839383,1.3229352092390922,True,True,False,False
0,0,12,0.024392379077961955,0.5353217832503407,0.009377384676626525,True,0.0044231731745240244,0.007007200187727493,-0.0025840270132034687,-0.004786162032270993,-0.00026389518278148737,False,0.1888995598237791,0.20586347727574367,0.9175962745968667,False,False,False,False
0,0,13,0.021250837134887707,0.5034991159113057,0.00894326710789057,True,5.239871141266123e-05,0.005217072883605424,-0.005164674172192763,-0.00582535811259524,-0.004476597603005509,False,0.004329071453434992,0.17956341546145735,0.02410887230179809,False,False,False,False
0,0,14,0.020542447589452183,0.5327911023160928,0.008518376909266786,True,0.0035458228391470675,0.007526824764721184,-0.003981001925574115,-0.006417175089309613,-0.001685802045192469,False,0.18516987834098136,0.21217673236793022,0.8727152891575455,False,False,False,False
0,0,15,0.016080726901756354,0.39685882442626125,0.007564062813903135,True,0.00021699813110933637,0.007392238557030633,-0.007175240425921296,-0.008500441403126434,-0.005828333134820208,False,0.09170860002123564,0.20926584228287287,0.43823970037723364,False,False,False,False
0,0,16,0.012120788887853218,0.582191445521686,0.005859818814231972,True,0.007395572549022053,0.010714618319012627,-0.0033190457699905757,-0.0063573679279902515,-0.0003374291405268671,False,0.2507903391308973,0.2538070045280503,0.9881143335552839,False,False,False,False
0,0,17,0.009209973864481018,0.3109586754996836,0.006943425422909699,True,0.001005821202710788,0.004866390216025906,-0.0038605690133151184,-0.004798665644223982,-0.0029355049267444176,False,0.06285272906717482,0.16816683549751688,0.37375222576572115,False,False,False,False
0,0,18,0.006449155075546295,0.253277942515154,0.00794170370284487,False,0.003401521426462369,0.006397497857934584,-0.0029959764314722147,-0.00569988759780274,-0.0002716145658968433,False,0.1793771939050219,0.19510717265429844,0.9193777525691084,False,False,False,False
0,0,19,0.0055862324481088755,0.37723976095589334,0.005106202302230615,True,0.005271988380010093,0.005803563284408512,-0.00053157490439842,-0.0026046615475784846,0.0015268281582938228,False,0.17143496542970735,0.18582969501950083,0.9225380551354674,False,False,False,False
0,0,20,0.002506146665659186,0.2794572061565236,0.00615099757148431,False,0.005878338761078654,0.006085476718608315,-0.00020713795752966063,-0.0026177635281370293,0.0019902194238975088,False,0.1989965913420315,0.19174872551492994,1.0377987692363422,True,False,False,False
0,0,21,0.0005332606921889588,0.2752177610728447,0.007182474530266163,False,0.01111855290171758,0.008067407038252395,0.0030511458634651855,-0.0013082091667602558,0.00750030938541021,False,0.26839756085304983,0.21980244823535505,1.221085401949942,True,False,False,False
0,0,22,-0.0008186241711178537,0.1628871817041342,0.0060364680331089085,False,0.004996333698257515,0.0071028013923936035,-0.0021064676941360883,-0.004150812263993899,-5.669680092646431e-05,False,0.17556600544309384,0.20761990479611936,0.8456125900621035,False,False,False,False
0,0,23,-0.0031903691710518708,-0.1605391367198311,0.005549739139452925,False,5.653898100981753e-05,0.007020055289917716,-0.006963516308907897,-0.007922122967912275,-0.006048154678436215,False,0.03228827556553898,0.20469158067035254,0.1577411022954478,False,False,False,False
0,0,24,-0.005353358538444507,-0.16352084406321743,0.004307504220254931,False,0.0012460646823675013,0.007216445156300963,-0.005970380473933461,-0.007531239689158189,-0.004378642308116933,False,0.1349242052583503,0.20630374551228292,0.6540075407904661,False,False,False,False
0,0,25,-0.006785915405906747,-0.2744440122118014,0.005939375615439728,False,-0.00013330240253538934,0.006869833066370671,-0.00700313546890606,-0.007774679750881114,-0.006189702230987346,False,0.06276833493850009,0.2000492232804571,0.313764452114381,False,False,False,False
0,0,26,-0.013404602197196617,-0.19341659902831881,0.008090675237695617,False,0.003793709594652552,0.009456761571255665,-0.005663051976603115,-0.008078585557292961,-0.003257112661530212,False,0.22434879565801422,0.23559565002090768,0.9522620457470442,False,False,False,False
0,0,27,-0.014591033456177245,-0.4436278718233152,0.006598108422767464,False,-0.002456417106783462,0.005673638857840089,-0.00813005596462355,-0.009722842841779383,-0.006573393855941043,False,0.15752929951006966,0.17921509617519776,0.8789957033311054,False,False,False,False
