benchmark,method_id,mean_subject_BA,lock_source,target_future_labels_used_for_fit,OUTER_TEST_USED
OpenBMI,MI_SPECIFIC_BACKBONE_ADAPTED,0.832037037037037,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\FINAL_DECISION.json,False,False
WBCIC,V5_FIXED_LOGIT_BLEND__A_FUTURE_SESSION_TARGET_ADAPTED,0.8208170115792067,D:\nips-temp\TotalP\P1\CRCICLR_V6_PERSIST_SA\experiments\persist_eeg_final_model_v6\outputs\FINAL_DECISION.json,False,False
