dataset,fold,subject_id,eegnet_BA,eegnet_F1,compact_erm_BA,compact_erm_F1,compact_tg_BA,compact_tg_F1,tg_vs_erm_delta_BA_pp,status
OpenBMI,0,15,0.71,0.7076318177235609,0.79,0.7821350762527233,0.78,0.7777777777777778,-1.0000000000000009,harmed
OpenBMI,0,38,0.59,0.5805626598465473,0.71,0.7085720028137876,0.69,0.6892230576441103,-2.0000000000000018,harmed
OpenBMI,0,6,0.95,0.9499949994999499,0.9199999999999999,0.9197109594540345,0.94,0.9399038461538461,2.0000000000000018,improved
OpenBMI,0,33,0.75,0.74997499749975,0.8400000000000001,0.8389694041867954,0.79,0.7874278773155178,-5.000000000000004,harmed
OpenBMI,0,32,0.64,0.6398559423769508,0.6699999999999999,0.6683750376846548,0.69,0.6828644501278772,2.0000000000000018,improved
OpenBMI,0,3,0.81,0.8099809980998101,0.87,0.8696741854636592,0.9,0.8999599839935974,3.0000000000000027,improved
OpenBMI,0,5,0.76,0.7596153846153846,0.74,0.7348021215830274,0.69,0.6874684948079444,-5.000000000000004,harmed
OpenBMI,0,47,0.75,0.7493734335839599,0.85,0.8487750781328763,0.87,0.8696741854636592,2.0000000000000018,improved
OpenBMI,0,26,0.8400000000000001,0.8397435897435898,0.76,0.7536945812807883,0.76,0.7564935064935066,0.0,tie
OpenBMI,0,2,0.6,0.5920032639738881,0.7,0.6980676328502415,0.6799999999999999,0.6798719487795117,-2.0000000000000018,harmed
OpenBMI,0,14,0.74,0.7383252818035426,0.64,0.6363636363636364,0.66,0.66,2.0000000000000018,improved
OpenBMI,0,31,0.76,0.7591328783621036,0.8,0.797077922077922,0.8200000000000001,0.818840579710145,2.0000000000000018,improved
OpenBMI,0,28,0.78,0.779205138498595,0.88,0.8799519807923168,0.85,0.84998499849985,-3.0000000000000027,harmed
OpenBMI,0,35,0.8200000000000001,0.8164014687882497,0.8200000000000001,0.818840579710145,0.8,0.7987117552334944,-2.0000000000000018,harmed
OpenBMI,1,40,0.73,0.712,0.76,0.7596153846153846,0.77,0.7647058823529411,1.0000000000000009,improved
OpenBMI,1,43,0.8400000000000001,0.8397435897435898,0.86,0.8590982286634461,0.88,0.8787878787878788,2.0000000000000018,improved
OpenBMI,1,50,0.65,0.64996499649965,0.62,0.6124031007751938,0.54,0.45238095238095233,-7.9999999999999964,harmed
OpenBMI,1,52,0.72,0.7106242248863166,0.8,0.797979797979798,0.78,0.7742200328407225,-2.0000000000000018,harmed
OpenBMI,1,23,0.69,0.6862030569895738,0.7,0.696969696969697,0.75,0.74997499749975,5.000000000000004,improved
OpenBMI,1,1,0.6799999999999999,0.6788438378161381,0.69,0.6615351020853806,0.75,0.742559983523839,6.000000000000005,improved
OpenBMI,1,30,0.72,0.7181964573268921,0.8,0.7999199679871949,0.72,0.7181964573268921,-8.000000000000007,harmed
OpenBMI,1,48,0.74,0.7398959583833533,0.66,0.6550324675324675,0.63,0.6009060511271707,-3.0000000000000027,harmed
OpenBMI,1,11,0.7,0.6921182266009853,0.67,0.6659580929243851,0.66,0.6458333333333333,-1.0000000000000009,harmed
OpenBMI,1,8,0.76,0.7564935064935066,0.78,0.7777777777777778,0.84,0.8399359743897559,5.999999999999995,improved
OpenBMI,1,45,0.74,0.7362012987012987,0.8,0.7999199679871949,0.8400000000000001,0.839421918908069,4.0000000000000036,improved
OpenBMI,1,34,0.69,0.6862030569895738,0.6799999999999999,0.677938808373591,0.6799999999999999,0.6692848284415047,0.0,tie
OpenBMI,1,27,0.88,0.8787878787878788,0.85,0.8474214220323466,0.89,0.8891017239641092,4.0000000000000036,improved
OpenBMI,2,49,0.87,0.8698828946051447,0.88,0.8787878787878788,0.83,0.8270776116366596,-5.000000000000004,harmed
OpenBMI,2,10,0.69,0.6828644501278772,0.78,0.7785829307568438,0.76,0.7599039615846338,-2.0000000000000018,harmed
