dataset,eegnet_BA,compact_erm_BA,compact_tg_BA,architecture_gain_pp,tg_gain_pp,total_gain_pp,eegnet_macro_F1,compact_erm_macro_F1,compact_tg_macro_F1,tg_vs_erm_mean_subject_delta_pp,tg_vs_erm_median_subject_delta_pp,tg_vs_erm_ci_low_pp,tg_vs_erm_ci_high_pp,tg_improved_subjects,tg_tied_subjects,tg_harmed_subjects,tg_positive_folds,total_folds
OpenBMI,0.742,0.7727499999999999,0.773,3.0749999999999944,0.02500000000000835,3.1000000000000028,0.7387729600169824,0.7689566875943983,0.7670391972031877,0.025000000000000022,0.0,-1.0750000000000006,1.1000000000000005,17,6,17,2,3
WBCIC,0.7897431981101334,0.7734496171391333,0.7644210247637667,-1.6293580971000088,-0.9028592375366573,-2.532217334636666,0.7888962150015965,0.7657172498019169,0.7601085686717167,-0.902859237536656,-1.0000000000000009,-1.7888654692082069,-0.032258064516129045,11,3,17,0,3
