dataset,diagnostic,n_fresh_eligible_pairs,spearman_rho,mean_G_test,min_G_test,max_G_test
OpenBMI,EC,0,,,,
OpenBMI,disagreement,0,,,,
OpenBMI,margin_diversity,0,,,,
OpenBMI,G_dev,0,,,,
WBCIC,EC,0,,,,
WBCIC,disagreement,0,,,,
WBCIC,margin_diversity,0,,,,
WBCIC,G_dev,0,,,,
