dataset,fold,model,BA,macro_F1,accuracy
OpenBMI,0,EEGNet,0.8,0.7980293041049831,0.8
OpenBMI,0,LiteBN,0.8262499999999999,0.8239583329302678,0.82625
OpenBMI,0,TCFormer,0.54375,0.5359695918062964,0.54375
OpenBMI,0,ST-EEGFormer-small,0.73875,0.7363321433839974,0.73875
OpenBMI,0,LaBraM-base,0.495,0.4647317621913972,0.495
OpenBMI,0,CBraMod,0.49624999999999997,0.3411680911680911,0.49624999999999997
OpenBMI,1,EEGNet,0.8125,0.8098641814985617,0.8125
OpenBMI,1,LiteBN,0.8325,0.8303223777063318,0.8325
OpenBMI,1,TCFormer,0.67375,0.6464924299521222,0.67375
OpenBMI,1,ST-EEGFormer-small,0.6312500000000001,0.6157728568606666,0.63125
OpenBMI,1,LaBraM-base,0.50375,0.4991196119733058,0.50375
OpenBMI,1,CBraMod,0.49875,0.3548247039575254,0.49875
OpenBMI,2,EEGNet,0.6875,0.6837343060916314,0.6875
OpenBMI,2,LiteBN,0.7275,0.7222554584824781,0.7275
OpenBMI,2,TCFormer,0.6599999999999999,0.6464139196325004,0.6599999999999999
OpenBMI,2,ST-EEGFormer-small,0.63625,0.628810383375508,0.63625
OpenBMI,2,LaBraM-base,0.5025000000000001,0.49839171762764667,0.5025000000000001
OpenBMI,2,CBraMod,0.5,0.3333333333333333,0.5
OpenBMI,3,EEGNet,0.76,0.7585738439416407,0.76
OpenBMI,3,LiteBN,0.7875000000000001,0.7851528645934953,0.7875000000000001
OpenBMI,3,TCFormer,0.6799999999999999,0.6786355222395852,0.6799999999999999
OpenBMI,3,ST-EEGFormer-small,0.6225,0.5903841389958612,0.6225
OpenBMI,3,LaBraM-base,0.5900000000000001,0.585138600931131,0.59
OpenBMI,3,CBraMod,0.49375,0.36920479572128484,0.49375
OpenBMI,4,EEGNet,0.7275,0.7246468038147498,0.7275
OpenBMI,4,LiteBN,0.78375,0.7764506670099987,0.78375
OpenBMI,4,TCFormer,0.64625,0.6229179032563452,0.64625
OpenBMI,4,ST-EEGFormer-small,0.7175,0.7121580749229748,0.7175
OpenBMI,4,LaBraM-base,0.5,0.3333333333333333,0.5
OpenBMI,4,CBraMod,0.50125,0.3360639557836558,0.50125
WBCIC,0,EEGNet,0.7714285714285715,0.7663173858192158,0.7714285714285715
WBCIC,0,LiteBN,0.7785714285714286,0.7769163005136652,0.7785714285714286
WBCIC,0,TCFormer,0.5907142857142859,0.5867994184937437,0.5907142857142859
WBCIC,0,ST-EEGFormer-small,0.5,0.3333333333333333,0.5
WBCIC,0,LaBraM-base,0.7249999999999999,0.7201115318063958,0.7249999999999999
WBCIC,0,CBraMod,0.5,0.3333333333333333,0.5
WBCIC,1,EEGNet,0.8125,0.8121228120711376,0.8125
WBCIC,1,LiteBN,0.7733333333333333,0.7532636467401564,0.7733333333333333
WBCIC,1,TCFormer,0.7783333333333333,0.7640554161317118,0.7783333333333333
WBCIC,1,ST-EEGFormer-small,0.7866666666666667,0.7800186389756975,0.7866666666666665
WBCIC,1,LaBraM-base,0.7758333333333334,0.7685240905943825,0.7758333333333334
WBCIC,1,CBraMod,0.7758333333333333,0.7718023449335506,0.7758333333333333
WBCIC,2,EEGNet,0.7491666666666666,0.7454095174814169,0.7491666666666666
WBCIC,2,LiteBN,0.7558333333333334,0.7545843026841036,0.7558333333333334
WBCIC,2,TCFormer,0.7733333333333333,0.7726685691873212,0.7733333333333334
WBCIC,2,ST-EEGFormer-small,0.725,0.7112636105514838,0.725
WBCIC,2,LaBraM-base,0.7349999999999999,0.7344713528550005,0.7349999999999999
WBCIC,2,CBraMod,0.7075,0.7060893990687491,0.7075
WBCIC,3,EEGNet,0.8146811868686868,0.8141112934835281,0.8146581196581196
WBCIC,3,LiteBN,0.8405408249158248,0.8399306310758425,0.8404914529914529
WBCIC,3,TCFormer,0.7349589646464646,0.7286760951278134,0.7351495726495726
WBCIC,3,ST-EEGFormer-small,0.5,0.33276059564719357,0.4987179487179487
WBCIC,3,LaBraM-base,0.7929629629629629,0.7920605022178698,0.7932478632478633
WBCIC,3,CBraMod,0.5,0.3339002267573696,0.5012820512820513
WBCIC,4,EEGNet,0.7675,0.7647839030557401,0.7675000000000001
WBCIC,4,LiteBN,0.7875,0.7856051426792515,0.7875
WBCIC,4,TCFormer,0.7541666666666665,0.7524659014833577,0.7541666666666665
WBCIC,4,ST-EEGFormer-small,0.7516666666666666,0.7493030026214278,0.7516666666666666
WBCIC,4,LaBraM-base,0.7216666666666667,0.7207877862633093,0.7216666666666667
WBCIC,4,CBraMod,0.7341666666666667,0.7253439224388031,0.7341666666666667
