dataset,model,mean_outer_dev_BA,mean_outer_dev_macro_F1,mean_outer_dev_accuracy
OpenBMI,CBraMod,0.49800000000000005,0.3469189759927781,0.49800000000000005
OpenBMI,EEGNet,0.7575000000000001,0.7549696878903134,0.7575000000000001
OpenBMI,LaBraM-base,0.51825,0.47614300521136277,0.51825
OpenBMI,LiteBN,0.7915,0.7876279401445143,0.7915
OpenBMI,ST-EEGFormer-small,0.6692500000000001,0.6566915195078016,0.66925
OpenBMI,TCFormer,0.6407499999999999,0.6260858733773699,0.6407499999999999
WBCIC,CBraMod,0.6435000000000001,0.5740938453063611,0.6437564102564103
WBCIC,EEGNet,0.783055284992785,0.7805489823822077,0.7830506715506715
WBCIC,LaBraM-base,0.7500925925925925,0.7471910527473916,0.7501495726495726
WBCIC,LiteBN,0.787155784030784,0.7820600047386039,0.7871459096459097
WBCIC,ST-EEGFormer-small,0.6526666666666666,0.5813358362258272,0.6524102564102564
WBCIC,TCFormer,0.7263013167388167,0.7209330800847896,0.7263394383394384
