dataset,n_fresh_eligible_pairs,EC_selected_pair,Gdev_selected_pair,EC_selected_gain,Gdev_selected_gain,random_pair_mean_gain,oracle_best_pair,oracle_gain,oracle_minus_random
OpenBMI,0,,,,,,,,
WBCIC,0,,,,,,,,
