opt_seed,method,selected_epoch,val_BA,val_NLL,selection_scope
0,ERM,9,0.6616666666666667,0.7618376314640045,source_validation_only
0,MLDG,20,0.685,0.5868262151877085,source_validation_only
1,ERM,7,0.6833333333333332,0.6526168833176295,source_validation_only
1,MLDG,17,0.6900000000000001,0.6357398579518,source_validation_only
2,ERM,11,0.6783333333333333,0.7048173447450002,source_validation_only
2,MLDG,12,0.6783333333333333,0.7095460544029871,source_validation_only
