opt_seed,subject,ERM_BA,MLDG_BA,delta_BA_pp
0,25,96.0,66.5,-29.5
0,29,87.0,54.0,-32.99999999999999
0,32,59.00000000000001,52.0,-7.000000000000006
0,34,56.00000000000001,51.0,-5.000000000000004
0,48,75.0,52.5,-22.5
1,25,50.0,98.0,48.0
1,29,50.0,87.0,37.0
1,32,50.0,58.00000000000001,8.000000000000007
1,34,50.0,57.00000000000001,7.000000000000006
1,48,50.0,77.5,27.500000000000004
2,25,50.0,90.99999999999999,40.99999999999999
2,29,53.0,71.0,17.999999999999993
2,32,49.5,53.49999999999999,3.9999999999999925
2,34,50.0,50.0,0.0
2,48,50.0,65.99999999999999,15.999999999999993
